time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025175,675.0,25.3,2363.6,125.5,3011.6,330.5,685.3,2378.2,3040.2,235,72.8,3.3
0.027175,681.2,23.7,2372.6,120.9,3027.0,350.6,686,2379.3,3043.2,235,73.3,4
0.029175,686.7,24.0,2382.5,109.6,3048.9,373.6,686.9,2380.9,3047.7,235.1,73.6,5.1
0.031175,691.2,25.8,2389.0,97.5,3065.9,389.2,688.1,2383.2,3053.2,235.2,73.7,6.9
0.033175,694.5,28.6,2392.2,89.6,3072.0,394.6,689.3,2385.9,3059.1,235.2,73.6,9
0.035175,696.5,32.0,2394.3,86.6,3073.1,391.9,690.5,2388.9,3064.5,235.3,73.5,11
0.037175,696.8,35.3,2396.0,87.4,3075.3,380.8,691.3,2392,3068.8,235.3,73.3,12.7
0.039175,695.5,38.3,2397.6,90.5,3077.2,357.5,691.6,2395.3,3071.2,235.3,73,13.8
0.041175,693.1,40.8,2399.3,94.4,3076.3,324.9,691.3,2398.5,3071.4,235.3,72.8,14.4
0.043175,689.9,43.5,2402.3,96.6,3074.0,292.3,690.3,2401.6,3069,235.3,72.7,14.7
0.045175,686.4,46.8,2406.2,95.6,3072.0,274.5,688.5,2404.5,3064.2,235.3,72.5,14.8
0.047175,682.8,50.7,2410.0,93.7,3069.2,277.1,686,2407.2,3057.1,235.2,72.4,14.9
0.049175,679.4,54.2,2412.5,93.9,3061.5,302.0,682.8,2409.7,3048.3,235.2,72.4,15
0.051175,676.4,56.4,2413.7,98.6,3044.1,347.1,679,2411.9,3038.4,235.1,72.3,14.9
0.053175,673.2,58.3,2413.7,109.0,3017.2,396.8,674.8,2414,3028.3,235,72.2,14.7
0.055175,669.4,61.1,2411.9,122.3,2991.4,420.6,670.3,2415.9,3018.7,234.9,72.2,14.6
0.057175,665.5,64.4,2407.8,131.3,2975.4,411.5,665.9,2417.6,3010.5,234.8,72.2,14.5
0.059175,662.0,67.4,2404.3,135.1,2968.1,394.5,661.6,2419.2,3004.3,234.7,72.2,14.7
0.061175,658.8,70.0,2406.0,134.8,2975.4,375.7,657.7,2420.6,3000.6,234.5,72.2,15
0.063175,655.5,72.3,2415.0,133.2,2998.8,358.2,654.3,2421.8,2999.6,234.4,72.2,15.5
0.065175,651.9,74.4,2428.6,133.0,3026.9,348.3,651.6,2422.6,3001.2,234.2,72.2,16
0.067175,649.4,76.5,2438.9,134.0,3044.9,347.9,649.7,2423,3005.1,234,72.2,16.4
0.069175,648.4,78.7,2441.9,135.9,3049.4,355.4,648.6,2422.8,3010.9,233.9,72.2,16.8
0.071175,649.0,80.2,2437.2,138.7,3042.7,365.4,648.3,2422,3017.7,233.7,72.2,17
0.073175,650.2,80.8,2428.4,140.9,3035.3,367.2,648.7,2420.4,3024.7,233.5,72.2,17.1
0.075175,651.5,80.7,2418.4,141.4,3036.1,359.8,649.8,2417.8,3031.3,233.3,72.2,17.3
0.077175,652.9,80.0,2407.9,141.6,3038.8,358.8,651.4,2414.2,3036.5,233.1,72.3,17.5
0.079175,654.5,78.3,2396.4,142.9,3035.4,375.3,653.3,2409.6,3039.8,232.9,72.4,17.8
0.081175,656.2,76.0,2387.8,145.6,3022.7,409.7,655.5,2403.9,3040.9,232.7,72.5,18.1
0.083175,657.7,73.9,2385.8,149.2,3001.7,445.4,657.8,2397.2,3039.7,232.6,72.5,18.6
0.085175,658.9,72.4,2387.8,150.2,2986.8,455.5,660,2389.6,3036.4,232.4,72.6,19
0.087175,660.0,71.3,2388.4,146.7,2990.9,451.2,662.1,2381.3,3031.3,232.2,72.7,19.4
0.089175,661.1,70.3,2384.0,140.7,3013.1,455.3,664,2372.5,3025.3,232,72.7,19.9
0.091175,662.5,68.7,2373.5,134.6,3040.0,474.2,665.6,2363.3,3019,231.8,72.8,20.4
0.093175,664.6,66.1,2357.5,128.2,3058.6,499.9,666.9,2354.1,3013.5,231.6,72.9,21
0.095175,666.7,62.8,2341.2,121.4,3062.2,519.6,667.9,2345,3009.7,231.5,73,21.5
0.097175,668.7,59.5,2327.6,114.4,3053.0,536.0,668.7,2336.3,3008.3,231.3,73,22
0.099175,670.6,56.3,2318.4,107.9,3032.8,557.7,669.2,2328.2,3009.8,231.1,73.2,22.3
0.101175,672.1,53.6,2313.7,103.3,3006.2,589.8,669.5,2320.9,3014.7,231,73.3,22.4
0.103175,672.9,51.4,2312.4,102.1,2984.9,633.4,669.8,2314.4,3022.9,230.8,73.3,22.5
0.105175,672.8,49.9,2313.3,104.5,2985.6,687.9,669.9,2308.8,3034,230.7,73.4,22.5
0.107175,672.0,49.0,2314.1,109.1,3013.9,735.3,670,2304.2,3047.5,230.5,73.5,22.6
0.109175,671.0,48.2,2312.9,113.4,3054.7,767.5,670,2300.4,3062.5,230.4,73.6,22.8
0.111175,670.1,47.4,2308.5,115.7,3091.3,798.1,670.1,2297.5,3077.8,230.2,73.7,23.1
0.113175,669.5,46.4,2301.8,115.8,3116.6,847.6,670.1,2295.3,3092.5,230.1,73.7,23.4
0.115175,669.0,45.2,2294.7,116.1,3127.9,928.0,670.1,2293.7,3105.3,230,73.8,23.7
0.117175,668.8,43.8,2289.2,118.9,3122.3,1010.4,670.2,2292.7,3115.3,229.8,73.9,23.9
0.119175,668.8,42.4,2284.0,124.6,3110.9,1045.4,670.2,2292.1,3121.6,229.7,73.9,23.8
0.121175,668.8,41.0,2277.3,131.0,3117.3,1012.1,670.2,2291.9,3123.7,229.6,74,23.5
