time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025950,668.4,112.8,2388.7,93.7,3188.4,523.0,663.3,2403.5,3224.1,246.9,71.7,4.5
0.027950,667.6,110.3,2396.5,86.9,3207.5,458.9,661.9,2403.1,3225.1,247,72.3,5.5
0.029950,663.0,109.6,2402.4,88.3,3222.0,417.4,659.6,2402.5,3226.8,247,72.7,6.7
0.031950,656.4,111.3,2405.3,95.6,3233.6,398.9,656.6,2401.8,3229.1,247.1,73.1,8
0.033950,649.1,114.3,2405.8,106.1,3245.7,390.7,652.9,2400.9,3232.2,247.2,73.4,9.4
0.035950,642.2,117.2,2405.1,118.0,3257.8,388.9,648.7,2400.2,3236,247.2,73.6,11
0.037950,637.5,118.1,2404.0,128.3,3265.3,394.9,644.1,2399.5,3240.4,247.2,73.9,12.8
0.039950,634.3,117.5,2402.9,136.1,3266.6,407.5,639.4,2399,3245.4,247.3,74.1,15.1
0.041950,632.1,116.5,2402.0,139.9,3263.2,420.2,634.7,2398.8,3251.1,247.3,74.2,17.6
0.043950,630.1,116.3,2401.1,140.9,3259.4,431.5,630.2,2398.8,3257.3,247.3,74.4,20
0.045950,627.7,116.7,2400.7,140.4,3258.0,446.2,626,2399.2,3263.9,247.3,74.5,21.9
0.047950,625.1,117.5,2401.4,140.2,3259.9,468.6,622.3,2399.8,3270.9,247.3,74.6,23.2
0.049950,622.3,118.2,2403.2,141.8,3264.5,500.7,619.1,2400.7,3278,247.3,74.7,23.9
0.051950,619.8,119.0,2404.6,145.6,3272.2,527.4,616.5,2401.6,3285.2,247.3,74.7,24.2
0.053950,617.6,119.7,2404.0,151.1,3283.2,532.2,614.6,2402.6,3292.3,247.2,74.8,24.3
0.055950,615.6,120.1,2401.3,156.6,3294.3,514.7,613.4,2403.4,3299.1,247.2,74.9,24.3
0.057950,614.3,119.8,2398.2,159.9,3302.3,494.1,612.9,2404.1,3305.5,247.1,75,24.4
0.059950,613.4,119.3,2396.9,161.2,3310.5,475.4,613,2404.4,3311.2,247,75.1,24.4
0.061950,613.1,119.3,2398.3,162.1,3320.0,454.0,613.7,2404.2,3316.1,246.9,75.2,24.3
0.063950,613.2,120.1,2400.6,164.1,3329.4,427.7,614.9,2403.6,3320.1,246.8,75.3,24
0.065950,613.9,121.7,2401.9,167.2,3335.0,402.9,616.5,2402.5,3323,246.6,75.4,23.6
0.067950,615.6,123.3,2401.0,170.8,3333.6,387.3,618.6,2400.8,3324.8,246.5,75.5,23
0.069950,618.6,124.7,2398.1,174.6,3325.5,379.2,621.1,2398.8,3325.5,246.3,75.6,22
0.071950,622.5,125.2,2394.7,176.3,3315.2,375.2,623.8,2396.5,3324.9,246.1,75.7,20.7
0.073950,626.9,124.6,2392.0,173.2,3308.6,369.4,626.7,2393.9,3323.1,245.9,75.7,19.6
0.075950,631.1,123.1,2390.6,165.5,3309.4,360.0,629.9,2391.3,3320.1,245.6,75.8,18.7
0.077950,634.6,122.0,2390.7,158.5,3314.9,349.6,633.3,2388.7,3316.1,245.4,75.8,18.5
0.079950,637.6,121.8,2391.9,155.0,3319.0,338.7,636.9,2386.4,3311,245.1,75.9,18.8
0.081950,640.8,122.1,2393.2,155.4,3316.3,329.6,640.7,2384.2,3305,244.8,75.9,19.4
0.083950,644.8,122.1,2393.0,157.6,3307.5,323.0,644.7,2382.4,3298.1,244.5,75.9,20.1
0.085950,649.7,121.1,2389.3,160.4,3295.8,318.5,648.9,2380.8,3290.5,244.2,75.9,20.6
0.087950,654.3,119.1,2382.6,163.2,3284.4,314.8,653.2,2379.4,3282.3,243.9,75.9,20.7
