time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025601,443.9,128.8,2625.9,133.3,3387.5,459.2,478.7,2617.2,3321.4,273.2,74,10.9
0.027601,459.0,113.7,2618.8,129.1,3348.5,410.2,479.8,2617.9,3322,272.8,74.7,12.3
0.029601,472.3,99.1,2612.2,126.5,3317.2,356.6,481.6,2618.9,3323.1,272.4,75.2,13.6
0.031601,483.9,87.6,2606.6,120.1,3297.1,301.9,484,2620.4,3324.6,271.9,75.6,14.8
0.033601,494.3,77.4,2604.0,112.6,3288.5,257.1,486.9,2622.1,3326.6,271.5,75.9,15.8
0.035601,502.6,67.8,2605.8,108.4,3289.9,228.4,490.3,2624,3329.1,271,76.2,16.7
0.037601,509.0,58.7,2612.5,109.7,3297.8,215.3,494,2626.1,3332.2,270.4,76.4,17.5
0.039601,513.5,50.1,2624.1,117.4,3309.9,219.7,498,2628.2,3335.7,269.9,76.7,18
0.041601,516.2,42.7,2637.9,130.0,3326.0,242.2,502,2630.2,3339.8,269.3,77,18.4
0.043601,518.0,36.7,2651.2,143.7,3348.4,273.9,506,2632,3344.4,268.7,77.2,18.8
0.045601,519.4,32.9,2659.3,148.3,3371.9,285.8,509.9,2633.6,3349.5,268,77.5,19.2
0.047601,520.6,30.9,2660.2,140.0,3388.4,266.4,513.6,2634.7,3355,267.3,77.8,19.6
0.049601,521.4,29.5,2654.7,125.8,3396.6,239.8,516.8,2635.4,3360.9,266.6,78.1,20.1
0.051601,521.8,27.8,2646.2,113.0,3400.3,224.6,519.7,2635.5,3367,265.9,78.3,20.5
0.053601,521.6,25.9,2638.1,104.7,3401.6,222.9,521.9,2634.9,3373.1,265.2,78.6,20.8
0.055601,521.1,23.7,2632.5,104.0,3398.8,235.3,523.6,2633.6,3379.3,264.4,78.9,20.9
0.057601,520.4,21.6,2629.0,110.9,3391.0,259.7,524.7,2631.6,3385.2,263.7,79.1,20.8
0.059601,519.5,19.5,2626.8,121.2,3379.5,282.8,525.2,2628.7,3390.6,262.9,79.4,20.4
0.061601,518.4,17.7,2624.4,127.6,3370.3,289.7,525,2625.1,3395.5,262.1,79.6,20
0.063601,517.0,15.8,2618.8,125.9,3369.2,285.9,524.2,2620.8,3399.6,261.3,79.9,19.6
0.065601,515.5,14.2,2608.9,115.3,3376.2,284.0,522.9,2615.7,3402.8,260.4,80.1,19.5
0.067601,514.2,12.9,2597.5,99.5,3387.5,293.7,521.1,2610,3404.8,259.6,80.3,19.7
0.069601,512.9,12.1,2588.5,84.9,3398.2,320.9,518.9,2603.7,3405.6,258.8,80.4,20
0.071601,511.8,11.8,2582.5,75.9,3401.4,357.3,516.3,2596.9,3405.1,258,80.5,20.5
0.073601,510.5,11.7,2577.1,73.1,3393.1,390.5,513.6,2589.7,3403.1,257.1,80.6,20.9
0.075601,509.0,11.6,2571.3,77.6,3380.5,425.7,510.6,2582.3,3399.7,256.3,80.7,21.1
0.077601,507.0,11.4,2565.7,89.6,3378.5,488.7,507.7,2574.8,3394.8,255.5,80.7,21
0.079601,505.0,11.4,2561.0,103.4,3391.5,553.1,504.8,2567.3,3388.6,254.7,80.7,20.7
0.081601,503.2,12.0,2557.1,110.9,3403.0,551.1,502,2559.9,3381.2,253.9,80.7,20.4
0.083601,501.6,13.0,2553.2,114.4,3405.6,508.1,499.5,2552.8,3372.7,253,80.8,20.2
0.085601,500.3,13.8,2550.1,116.9,3398.3,470.6,497.2,2546.2,3363.4,252.2,80.8,20.2
0.087601,499.4,14.2,2549.3,119.9,3381.5,458.6,495.3,2540,3353.4,251.4,80.8,20.6
0.089601,498.8,14.2,2549.7,124.9,3358.7,472.5,493.7,2534.4,3343,250.6,80.8,21.2
0.091601,498.3,14.0,2548.8,133.1,3337.1,500.8,492.5,2529.5,3332.6,249.9,80.8,22
0.093601,497.8,13.9,2544.7,144.8,3318.2,531.3,491.7,2525.4,3322.3,249.1,80.8,22.6
0.095601,497.1,14.2,2537.8,157.5,3300.6,550.2,491.3,2522,3312.5,248.3,80.7,22.8
0.097601,496.1,14.7,2530.3,171.4,3287.3,572.9,491.2,2519.4,3303.3,247.5,80.6,22.6
0.099601,494.8,15.4,2523.3,186.8,3278.6,623.8,491.4,2517.5,3295.1,246.8,80.4,22
0.101601,493.6,16.2,2516.6,198.7,3268.0,691.3,491.8,2516.4,3288.1,246,80.2,21.4
0.103601,492.6,17.3,2510.7,202.0,3257.3,727.6,492.5,2515.9,3282.3,245.3,80,20.7
0.105601,492.2,19.0,2508.1,196.2,3261.7,695.6,493.3,2516,3278,244.5,79.7,20.2
0.107601,492.3,21.3,2508.9,188.2,3273.6,620.4,494.1,2516.5,3275,243.8,79.5,19.9
0.109601,492.5,24.3,2511.6,184.6,3283.2,539.1,494.9,2517.4,3273.6,243,79.2,19.7
0.111601,492.6,27.5,2513.7,186.9,3289.2,472.8,495.7,2518.5,3273.4,242.3,78.9,19.6
0.113601,492.4,31.1,2513.8,191.3,3291.8,420.1,496.3,2519.7,3274.6,241.6,78.6,19.5
0.115601,492.0,34.7,2512.2,191.7,3291.5,380.5,496.7,2520.8,3276.8,240.9,78.3,19.4
0.117601,491.5,37.8,2510.6,186.4,3289.9,350.2,496.9,2521.6,3279.9,240.1,78.1,19.4
0.119601,491.2,40.2,2510.9,178.6,3287.6,323.3,496.9,2522.2,3283.7,239.4,77.9,19.4
0.121601,491.3,41.8,2513.4,171.8,3285.0,297.1,496.5,2522.2,3287.9,238.7,77.8,19.4
0.123601,491.7,42.4,2517.9,167.6,3283.8,273.5,495.8,2521.7,3292.2,238,77.8,19.4
