time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025553,486.0,35.9,2642.4,194.0,3358.1,419.0,498.5,2623.7,3354.3,173.5,69.2,8.4
0.027553,500.1,29.0,2614.8,186.2,3329.7,387.8,500.9,2614.5,3343.9,173.1,69.5,7.9
0.029553,510.5,24.2,2593.0,174.0,3313.3,354.4,504.9,2599.8,3327.4,172.6,69.8,8.4
0.031553,518.6,21.1,2574.2,163.4,3299.9,332.1,510.4,2580.6,3306.1,172.2,70.1,9.2
0.033553,525.5,19.6,2554.3,155.8,3284.8,320.2,517.3,2558.3,3281.4,171.7,70.3,10
0.035553,531.7,19.4,2531.7,150.1,3267.9,316.4,525.6,2534.2,3255.1,171.2,70.3,10.3
0.037553,536.5,20.6,2506.7,145.7,3247.4,321.7,535,2509.6,3228.8,170.7,70.1,9.7
0.039553,540.1,24.1,2480.7,142.8,3220.7,333.9,545.3,2486,3203.9,170.2,69.8,8
0.041553,544.7,31.4,2458.5,141.2,3190.3,346.8,556.3,2464.4,3181.4,169.7,69.2,5.8
0.043553,555.1,43.2,2443.8,140.9,3163.0,358.6,567.8,2445.6,3162.1,169.2,68.6,3.8
0.045553,574.1,53.9,2435.0,139.8,3141.9,369.2,579.4,2429.9,3146.2,168.7,68.1,2.6
0.047553,594.3,54.9,2427.5,136.1,3124.7,377.7,590.8,2417.6,3133.6,168.3,67.7,2.9
0.049553,608.7,49.0,2418.0,132.1,3108.9,385.3,601.7,2408.3,3123.8,167.8,67.5,4.6
0.051553,618.7,43.1,2407.0,129.8,3098.5,388.3,611.9,2401.5,3116.1,167.3,67.5,7.3
0.053553,626.4,40.0,2397.6,129.0,3099.7,388.8,621,2396.7,3109.7,166.9,67.6,10
0.055553,632.4,39.1,2392.0,129.5,3107.1,391.8,629,2393.1,3104,166.5,67.8,12.1
0.057553,637.5,38.2,2387.1,131.0,3104.9,394.8,635.6,2390,3098.2,166.1,67.9,12.9
0.059553,641.5,36.6,2381.2,131.9,3093.6,393.4,640.9,2386.8,3092.3,165.7,68,12.7
0.061553,643.8,34.5,2375.5,129.8,3085.2,388.3,644.8,2383.1,3086,165.4,68.1,12
0.063553,644.5,32.7,2370.3,125.8,3083.2,385.9,647.4,2378.5,3079.7,165.1,68.2,11
0.065553,644.5,32.1,2366.3,122.7,3084.0,389.4,649,2373.1,3073.6,164.9,68.3,10.4
0.067553,645.0,32.3,2364.5,121.9,3084.4,399.7,649.6,2366.8,3068.4,164.6,68.3,10.5
0.069553,645.6,32.6,2364.9,125.0,3080.1,416.4,649.5,2360,3064.6,164.4,68.3,10.9
0.071553,646.0,32.5,2364.3,132.5,3066.3,434.0,648.9,2352.8,3062.4,164.3,68.2,11.6
0.073553,646.6,31.9,2358.7,140.1,3049.8,443.2,647.9,2345.6,3062.1,164.1,68.1,12.5
0.075553,647.8,31.0,2347.3,141.6,3044.4,442.5,646.9,2338.7,3063.4,164,68,13.2
0.077553,648.7,30.4,2333.4,136.8,3052.0,439.4,645.8,2332.1,3066.1,164,67.8,13.8
0.079553,649.1,30.0,2321.3,130.1,3063.9,447.7,644.8,2326,3069.3,163.9,67.6,14.5
0.081553,648.9,29.9,2312.7,125.4,3075.0,484.7,644,2320.3,3072.2,163.9,67.4,15.1
0.083553,648.3,30.3,2306.8,124.3,3084.4,561.3,643.3,2315,3073.7,163.8,67.2,15.6
0.085553,647.0,31.1,2303.0,128.2,3085.2,650.7,642.7,2309.7,3073,163.8,66.9,15.9
0.087553,644.5,31.5,2300.3,140.6,3065.8,663.7,642.3,2304.5,3069.4,163.9,66.6,15.8
0.089553,640.6,31.7,2297.2,162.3,3040.2,593.1,641.9,2299,3062.3,163.9,66.3,15.3
0.091553,637.1,31.9,2293.6,185.5,3027.9,521.1,641.5,2293.3,3051.8,163.9,65.9,14.7
0.093553,635.5,32.1,2290.5,198.8,3031.4,494.4,641.2,2287.3,3038.3,164,65.5,13.8
0.095553,635.1,32.4,2287.5,197.9,3043.7,508.8,640.8,2281.2,3022.6,164,65.1,12.9
0.097553,634.6,33.1,2284.5,190.4,3049.1,526.5,640.4,2275.2,3005.8,164.1,64.7,12
0.099553,634.4,34.1,2280.3,186.8,3031.0,499.6,640,2269.7,2989.3,164.1,64.2,11
0.101553,635.4,35.4,2271.8,186.5,2992.4,429.0,639.7,2264.9,2974.5,164.2,63.7,10
0.103553,638.6,38.3,2260.3,177.0,2956.4,356.3,639.4,2261.2,2962.9,164.3,63,8.9
0.105553,645.0,44.8,2250.4,152.5,2929.6,302.7,639.2,2258.8,2955.4,164.3,62.3,7.7
0.107553,653.4,57.5,2244.6,125.2,2908.1,267.9,639.2,2258,2952.8,164.4,61.5,6.3
