time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025884,441.5,25.5,2956.2,263.8,3614.0,372.9,440.3,2951,3617,225.3,70.6,23.5
0.027884,440.6,26.6,2945.2,250.1,3613.0,347.0,440,2946.8,3615.5,224.9,70.6,23.4
0.029884,440.0,27.8,2929.6,221.3,3605.3,301.4,439.6,2940,3613.2,224.5,70.5,23.4
0.031884,439.6,29.1,2915.9,180.9,3598.8,250.7,438.9,2931.1,3610.2,224.1,70.5,23.3
0.033884,439.1,29.6,2907.7,145.3,3598.3,216.8,438.2,2920.6,3606.6,223.7,70.5,23.2
0.035884,437.8,28.4,2903.5,121.5,3604.0,208.9,437.4,2909,3602.8,223.2,70.6,22.9
0.037884,436.1,26.1,2899.3,103.0,3610.6,218.5,436.5,2897.1,3598.9,222.8,70.7,22.5
0.039884,434.3,23.5,2893.5,87.0,3611.4,237.2,435.6,2885.5,3595.3,222.2,70.8,22
0.041884,432.9,21.1,2887.2,76.2,3604.4,258.3,434.7,2874.7,3591.9,221.7,70.9,21.4
0.043884,431.8,18.7,2880.8,71.8,3594.4,283.6,433.8,2865.3,3588.9,221.1,71.1,20.9
0.045884,431.0,16.3,2874.7,74.3,3588.0,316.9,433,2857.7,3586.4,220.5,71.3,20.6
0.047884,430.6,14.3,2868.4,80.0,3585.2,354.4,432.3,2852.1,3584.3,219.9,71.5,20.4
0.049884,430.7,13.0,2861.4,84.8,3583.3,384.3,431.6,2848.6,3582.4,219.3,71.8,20.4
0.051884,431.1,12.1,2853.9,86.1,3581.0,396.7,431.1,2847.1,3580.6,218.6,72.1,20.5
0.053884,431.5,11.5,2846.7,84.6,3578.1,389.6,430.5,2847.4,3578.5,218,72.4,20.6
0.055884,431.8,10.9,2842.0,83.2,3575.7,371.2,430.1,2849.1,3575.9,217.2,72.7,20.6
0.057884,431.7,10.0,2840.5,86.6,3573.2,357.2,429.6,2851.9,3572.6,216.5,73.1,20.6
0.059884,431.2,8.9,2840.3,98.6,3567.4,353.8,429.1,2855.1,3568.1,215.8,73.4,20.5
0.061884,430.4,8.1,2839.2,119.5,3557.4,358.0,428.5,2858.3,3562.2,215,73.8,20.4
0.063884,429.3,7.5,2838.4,146.1,3544.5,371.3,427.8,2861,3554.8,214.2,74.1,20.3
0.065884,427.9,7.1,2842.0,167.5,3529.4,400.0,427,2862.6,3545.9,213.4,74.4,20.1
0.067884,426.2,6.7,2850.8,177.0,3514.1,433.2,425.9,2862.9,3535.3,212.6,74.6,19.8
0.069884,424.2,6.3,2860.7,182.4,3507.1,445.2,424.7,2861.5,3523.3,211.8,74.8,19.3
0.071884,422.2,5.9,2868.0,192.8,3510.3,439.5,423.2,2858.4,3510.1,210.9,74.9,18.9
0.073884,420.0,5.8,2869.4,206.9,3513.0,424.8,421.5,2853.4,3496,210.1,75,18.4
0.075884,417.8,6.1,2862.9,216.3,3505.2,405.0,419.5,2846.8,3481.4,209.2,75,18.1
0.077884,415.6,6.6,2852.7,218.3,3486.3,384.4,417.4,2838.7,3466.9,208.3,75,17.8
0.079884,413.1,7.1,2843.6,217.6,3463.0,370.8,415.2,2829.4,3452.8,207.5,74.9,17.6
0.081884,410.7,7.5,2834.3,218.5,3441.9,369.7,412.9,2819.3,3439.7,206.6,74.9,17.5
0.083884,408.5,7.9,2820.4,216.9,3425.2,375.8,410.6,2808.6,3427.9,205.7,74.8,17.4
0.085884,407.1,8.6,2802.8,207.0,3416.9,385.2,408.4,2797.7,3417.8,204.8,74.8,17.4
0.087884,406.5,9.6,2785.9,194.1,3415.3,410.6,406.4,2786.9,3409.7,203.9,74.8,17.6
0.089884,406.5,10.7,2771.6,186.0,3413.7,465.4,404.7,2776.3,3403.6,202.9,74.7,17.9
0.091884,406.8,11.5,2759.3,182.1,3406.7,533.7,403.4,2766,3399.5,202,74.6,18.2
0.093884,406.9,12.4,2746.3,176.9,3392.2,579.3,402.6,2756.1,3397.3,201.1,74.5,18.5
0.095884,406.7,13.5,2733.3,167.1,3376.7,571.7,402.4,2746.2,3396.6,200.2,74.3,18.6
0.097884,406.3,15.5,2722.9,155.1,3370.7,541.0,402.9,2736.3,3397,199.3,74.1,18.5
0.099884,406.2,18.8,2715.7,145.8,3376.9,514.6,404.2,2726,3398.1,198.4,73.9,18.3
0.101884,406.8,22.9,2708.8,141.2,3389.1,486.9,406.1,2715,3399.3,197.5,73.6,17.9
0.103884,407.9,27.0,2698.6,142.2,3399.9,445.4,408.9,2703,3400.1,196.6,73.3,17.5
0.105884,409.5,29.8,2684.0,149.3,3406.0,396.3,412.4,2689.5,3399.9,195.7,73,17
0.107884,411.9,32.0,2667.0,158.1,3408.5,350.5,416.7,2674.4,3398.3,194.8,72.7,16.4
0.109884,415.3,35.3,2651.8,161.6,3407.5,313.0,421.6,2657.4,3395,193.9,72.4,15.6
0.111884,419.8,40.9,2640.7,159.3,3402.6,287.1,427,2638.7,3389.7,193.1,72,14.7
0.113884,426.4,49.6,2629.9,157.0,3394.0,272.4,432.8,2618.2,3382.4,192.2,71.6,14
0.115884,436.0,60.2,2615.9,160.4,3382.1,271.7,439,2596.3,3373.3,191.4,71.1,13.4
0.117884,448.1,70.0,2595.8,170.5,3366.7,284.9,445.3,2573.3,3362.5,190.6,70.6,13.3
0.119884,460.0,74.8,2569.9,184.7,3348.8,307.8,451.5,2549.9,3350.5,189.8,70.1,13.3
0.121884,468.1,73.2,2541.2,198.0,3331.6,326.5,457.5,2526.7,3337.8,189,69.7,13.4
0.123884,472.3,68.4,2509.4,204.7,3317.6,322.6,463.2,2504.5,3324.9,188.3,69.5,13.6
0.125884,474.0,64.1,2479.6,200.0,3309.2,289.1,468.3,2483.9,3312.6,187.6,69.4,13.7
0.127884,475.0,61.5,2457.0,188.0,3302.9,245.5,472.7,2465.9,3301.4,186.9,69.3,13.8
0.129884,476.1,59.8,2442.9,176.0,3294.7,214.1,476.3,2451,3292,186.3,69.2,14.1
0.131884,476.3,57.7,2434.5,168.5,3285.2,204.3,478.9,2439.9,3284.9,185.7,69,14.2
0.133884,474.7,54.6,2426.1,168.8,3276.4,221.4,480.5,2433.1,3280.4,185.1,68.8,14.1
0.135884,470.7,51.0,2413.9,179.7,3273.4,273.4,481.1,2430.8,3278.9,184.6,68.6,13.5
