time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025367,493.9,29.1,1965.3,107.7,2867.5,117.4,495.9,2006.4,2876.6,245.3,77.9,12
0.027367,497.9,26.8,1975.0,113.8,2874.9,118.8,497.2,2010.9,2878.6,245.3,78.8,12.6
0.029367,501.1,26.4,1988.0,126.4,2880.8,126.5,499.4,2018.1,2881.8,245.3,79.6,13.5
0.031367,504.1,27.6,2005.0,143.4,2886.0,139.9,502.4,2028,2886.4,245.3,80.1,14.5
0.033367,507.4,30.6,2029.1,160.9,2890.5,158.2,506.2,2040.3,2892.1,245.2,80.4,15.4
0.035367,511.0,35.2,2059.7,170.3,2894.7,176.8,510.5,2054.6,2898.9,245.2,80.5,16.4
0.037367,515.3,41.3,2094.5,166.1,2901.0,190.6,515.3,2070.6,2906.7,245.2,80.5,17.6
0.039367,520.2,48.5,2125.9,150.2,2911.2,194.7,520.6,2087.8,2915.4,245.2,80.4,18.7
0.041367,525.5,55.8,2149.8,131.8,2924.1,191.4,526.1,2105.9,2925,245.2,80.2,19.9
0.043367,530.9,62.9,2167.6,116.6,2938.9,187.8,531.7,2124.4,2935.1,245.2,80,21
0.045367,535.8,68.6,2180.6,107.1,2954.3,189.6,537.3,2143,2945.8,245.1,79.7,22
0.047367,540.6,73.4,2191.4,101.1,2970.4,196.9,542.9,2161.3,2956.9,245.1,79.5,23
0.049367,545.7,77.7,2200.2,97.1,2984.7,207.3,548.2,2178.9,2968.3,245.1,79.3,24
0.051367,551.1,81.6,2206.7,94.7,2994.6,217.0,553.2,2195.6,2979.7,245.1,79.2,24.8
0.053367,556.9,85.4,2211.4,94.0,3000.1,223.5,557.8,2211.2,2991.2,245.1,79,25.5
0.055367,562.4,88.7,2215.3,95.9,3004.4,227.6,562,2225.5,3002.6,245,78.9,25.8
0.057367,567.2,91.7,2220.2,101.4,3011.4,232.8,565.7,2238.4,3013.7,245,78.8,25.9
0.059367,571.0,94.2,2226.5,111.2,3021.2,240.2,569,2249.9,3024.4,245,78.7,25.8
0.061367,574.0,96.0,2233.9,124.4,3031.9,247.7,571.8,2260.1,3034.8,244.9,78.7,25.8
0.063367,576.5,96.9,2242.5,140.0,3042.7,253.0,574.1,2269,3044.6,244.9,78.6,26
0.065367,578.3,97.0,2252.0,154.1,3052.1,254.5,576,2276.8,3053.8,244.8,78.6,26.3
0.067367,579.7,96.4,2262.2,165.1,3059.0,251.8,577.6,2283.7,3062.4,244.7,78.6,26.8
0.069367,580.9,95.7,2271.9,171.5,3061.9,246.3,578.9,2289.8,3070.3,244.7,78.6,27.3
0.071367,581.8,95.2,2280.9,173.8,3062.3,242.2,580,2295.5,3077.5,244.6,78.5,27.7
0.073367,581.9,95.3,2291.0,175.0,3064.0,244.5,581,2300.8,3084,244.5,78.5,28
0.075367,581.2,96.0,2302.8,178.5,3070.8,253.9,581.9,2306,3089.8,244.4,78.5,27.9
0.077367,580.1,96.8,2316.6,185.1,3083.0,265.0,582.9,2311.2,3094.9,244.2,78.5,27.8
0.079367,579.7,97.5,2330.0,190.7,3096.7,271.5,583.9,2316.7,3099.4,244.1,78.5,27.5
0.081367,580.7,98.4,2340.9,190.8,3107.6,272.8,585.1,2322.4,3103.2,243.9,78.4,27.2
0.083367,582.8,99.3,2348.9,184.6,3115.0,271.6,586.5,2328.5,3106.4,243.8,78.4,26.9
0.085367,585.7,99.8,2354.6,175.0,3119.8,267.5,588.1,2334.8,3109.1,243.6,78.4,26.6
