time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025454,478.6,18.6,2470.6,131.6,3097.4,407.4,478.5,2537.1,3191.7,239.3,76.4,24.4
0.027454,479.0,19.0,2487.6,134.7,3107.4,420.7,478.4,2537.7,3191.7,239.2,76.5,25.7
0.029454,479.2,19.3,2506.1,137.8,3129.5,439.4,478.2,2538.7,3191.7,239.1,76.6,26.4
0.031454,479.2,19.4,2525.8,140.1,3155.4,458.5,478,2540.2,3191.8,238.9,76.8,26.7
0.033454,479.1,19.4,2547.0,137.9,3178.0,475.7,477.7,2542,3191.8,238.8,76.9,26.8
0.035454,479.1,19.3,2564.1,130.2,3190.6,485.9,477.4,2544.1,3191.9,238.7,77,26.9
0.037454,479.2,19.0,2574.3,121.4,3194.9,492.2,477,2546.6,3192,238.5,77.2,27
0.039454,479.5,18.4,2577.6,115.4,3199.0,501.0,476.6,2549.4,3192,238.4,77.3,27
0.041454,479.7,17.9,2578.1,110.2,3213.0,509.0,476.2,2552.4,3192.1,238.2,77.4,26.9
0.043454,479.8,17.6,2579.0,100.9,3238.0,500.7,475.8,2555.6,3192.1,238,77.5,26.7
0.045454,479.8,17.7,2581.3,88.4,3257.2,474.6,475.4,2559,3192.1,237.9,77.5,26.5
0.047454,479.5,18.1,2584.2,76.1,3261.7,449.0,475,2562.5,3192.1,237.7,77.5,26.4
0.049454,479.1,18.5,2586.7,68.2,3253.0,439.5,474.7,2566,3192,237.5,77.5,26.2
0.051454,478.5,18.9,2588.5,65.2,3237.7,445.9,474.4,2569.6,3191.9,237.3,77.5,26
0.053454,478.0,19.2,2589.1,66.5,3218.7,458.3,474.2,2573.1,3191.7,237,77.4,25.8
0.055454,477.6,19.5,2587.8,71.6,3200.2,457.5,474.1,2576.5,3191.4,236.8,77.3,25.6
0.057454,477.2,20.1,2583.8,79.3,3187.1,435.5,474.2,2579.8,3191.1,236.6,77.2,25.2
0.059454,476.8,20.9,2578.5,87.0,3186.3,414.6,474.3,2582.8,3190.6,236.3,77,24.7
0.061454,476.2,21.7,2575.5,92.6,3196.3,421.6,474.7,2585.6,3190.1,236.1,76.8,24.2
0.063454,475.4,22.5,2577.0,95.6,3209.0,461.9,475.1,2588.1,3189.5,235.8,76.7,23.8
0.065454,474.9,23.7,2581.8,94.8,3211.6,509.7,475.8,2590.2,3188.7,235.6,76.5,23.5
0.067454,474.7,25.6,2586.6,92.3,3201.3,531.0,476.7,2591.9,3187.9,235.3,76.3,23.4
0.069454,475.1,28.1,2588.2,90.8,3188.1,506.9,477.8,2593.1,3186.9,235.1,76.1,23.4
0.071454,475.8,30.8,2585.4,90.4,3179.1,459.5,479.1,2593.8,3185.8,234.8,75.9,23.5
