time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025596,483.7,16.9,2467.2,62.8,3113.0,360.8,481.6,2475.2,3054.5,243.2,75.3,12.6
0.027596,483.9,14.9,2468.6,69.0,3121.1,341.9,481.8,2477.4,3058.4,243.2,75.6,15
0.029596,483.9,13.4,2469.8,83.1,3118.4,331.7,482.1,2481,3064.7,243.1,75.8,17.5
0.031596,483.9,12.2,2471.3,103.6,3106.1,328.1,482.5,2485.9,3073.3,243,75.9,20.2
0.033596,483.9,11.3,2474.2,122.1,3091.5,325.2,483,2492.1,3084,243,76,22.8
0.035596,484.0,10.4,2480.4,135.4,3078.2,322.7,483.6,2499.4,3096.5,242.9,76.1,25.1
0.037596,484.2,9.6,2490.6,145.8,3070.4,329.5,484.3,2507.8,3110.4,242.8,76.2,26.8
0.039596,484.4,9.1,2505.7,160.4,3072.0,354.5,484.9,2517.1,3125.3,242.8,76.3,27.7
0.041596,484.5,9.0,2526.5,180.4,3089.0,400.1,485.6,2527.2,3140.9,242.7,76.3,28
0.043596,484.6,9.1,2548.0,197.1,3118.6,448.5,486.2,2537.9,3156.8,242.6,76.4,28
0.045596,484.6,9.1,2568.4,203.2,3154.0,486.0,486.8,2548.9,3172.4,242.5,76.5,27.8
0.047596,484.5,8.9,2585.8,194.6,3183.4,499.6,487.3,2560.3,3187.3,242.5,76.5,27.6
0.049596,484.5,8.4,2601.5,174.6,3205.1,489.6,487.6,2571.7,3201.3,242.4,76.6,27.3
0.051596,484.4,7.8,2614.1,150.1,3217.5,464.6,487.8,2583,3213.7,242.3,76.7,26.9
0.053596,484.3,7.3,2621.7,129.8,3220.2,443.9,487.9,2594,3224.4,242.2,76.8,26.4
0.055596,484.2,6.8,2626.2,114.5,3217.2,439.4,487.8,2604.6,3233,242.1,76.9,25.9
0.057596,484.1,6.3,2629.0,105.3,3211.8,457.5,487.5,2614.6,3239.1,242.1,77,25.7
0.059596,484.1,5.8,2632.0,100.5,3207.2,487.2,487.1,2623.9,3242.7,242,77.1,25.8
0.061596,484.3,5.5,2635.8,98.4,3208.9,498.6,486.5,2632.3,3243.6,241.9,77.2,26
0.063596,484.5,5.4,2639.3,97.5,3220.0,486.9,485.7,2639.7,3241.7,241.8,77.4,26.4
0.065596,484.7,5.3,2642.2,97.5,3235.5,476.1,484.8,2646,3237,241.7,77.5,26.7
0.067596,484.9,5.2,2644.8,99.4,3248.6,472.9,483.8,2651.1,3229.7,241.6,77.6,26.9
0.069596,485.1,5.1,2648.6,104.6,3253.2,463.9,482.8,2655,3219.7,241.5,77.8,27
0.071596,485.2,5.0,2653.2,113.6,3242.2,435.3,481.7,2657.7,3207.4,241.4,77.9,27
0.073596,485.3,4.9,2655.4,122.0,3220.2,396.2,480.6,2659,3193,241.3,78.1,27
0.075596,485.4,4.9,2653.8,126.8,3197.9,365.2,479.6,2659.1,3176.9,241.2,78.2,27
0.077596,485.4,4.8,2650.0,129.9,3182.2,361.7,478.7,2657.8,3159.3,241.1,78.4,26.9
0.079596,485.4,4.7,2645.0,135.9,3168.7,387.0,478.1,2655.2,3140.7,240.9,78.5,27
0.081596,485.5,4.6,2638.3,146.6,3151.8,434.4,477.6,2651.4,3121.5,240.8,78.7,27
0.083596,485.7,4.6,2629.0,159.7,3127.6,477.0,477.5,2646.3,3102.2,240.6,78.8,27.1
0.085596,485.9,4.7,2615.9,173.6,3091.6,500.8,477.7,2640.1,3083.1,240.4,78.9,27.1
0.087596,486.1,5.0,2601.4,183.9,3049.1,499.7,478.3,2632.8,3064.7,240.2,79,26.9
0.089596,486.4,5.4,2588.1,189.9,3005.8,491.8,479.5,2624.4,3047.4,240,79.1,26.6
0.091596,486.6,6.1,2580.5,193.4,2968.0,512.4,481.1,2615.1,3031.6,239.8,79.1,26.1
0.093596,486.9,7.0,2582.2,192.0,2946.9,590.0,483.3,2604.9,3017.6,239.5,79.1,25.6
0.095596,487.3,8.1,2589.7,178.5,2956.2,763.0,486.1,2593.8,3005.7,239.2,79.1,25
0.097596,487.9,9.5,2593.8,159.5,3018.9,1029.1,489.5,2582,2996.2,239,79,24.3
0.099596,488.5,11.3,2593.0,147.3,3098.8,1428.5,493.6,2569.5,2989,238.7,78.8,23.4
0.101596,489.3,13.7,2588.8,143.3,3080.2,1764.1,498.4,2556.3,2984.5,238.3,78.5,22.3
0.103596,490.3,16.6,2581.1,146.9,3019.2,1865.5,503.8,2542.5,2982.6,238,78.1,21.1
0.105596,492.0,20.7,2569.0,160.1,2959.4,1775.2,509.8,2528.2,2983.2,237.6,77.7,20.1
0.107596,494.8,25.7,2553.2,181.7,2928.7,1576.2,516.5,2513.3,2986.2,237.2,77.2,19.3
0.109596,499.2,32.1,2532.8,206.7,2929.9,1351.7,523.8,2498,2991.5,236.8,76.6,18.8
0.111596,506.3,40.4,2507.7,227.7,2957.3,1134.9,531.7,2482.2,2998.7,236.4,76.1,18.5
0.113596,516.0,49.7,2482.7,239.2,2992.7,955.9,540.1,2465.9,3007.6,236,75.5,18.3
0.115596,529.1,60.2,2457.7,245.5,3030.0,799.8,548.9,2449.2,3017.8,235.6,75,18.2
0.117596,544.2,69.9,2433.7,248.1,3060.7,663.8,558.2,2432.1,3029,235.1,74.5,18
0.119596,561.1,78.5,2406.9,244.1,3074.1,553.9,567.7,2414.5,3040.6,234.6,74.1,17.8
0.121596,580.5,85.0,2374.8,225.8,3078.4,479.2,577.6,2396.5,3052.2,234.2,73.7,17.5
0.123596,600.5,88.1,2345.3,194.5,3081.6,433.0,587.5,2378,3063.4,233.7,73.4,17.3
0.125596,621.4,87.4,2321.5,159.2,3086.3,407.6,597.6,2359.1,3073.7,233.2,73.2,17.1
0.127596,639.5,83.6,2305.7,134.5,3089.8,396.5,607.7,2339.7,3082.7,232.7,73.1,16.8
0.129596,653.9,78.4,2293.9,122.9,3090.9,379.3,617.7,2319.9,3089.9,232.2,73,16.5
0.131596,664.7,72.6,2282.1,125.6,3089.6,346.7,627.5,2299.7,3095.1,231.6,73.1,16.1
0.133596,671.3,66.9,2269.0,141.0,3087.0,314.1,637,2279.2,3097.8,231.1,73.3,15.7
0.135596,675.4,61.2,2252.2,164.2,3082.3,292.0,646.2,2258.2,3097.7,230.6,73.5,15.4
0.137596,677.5,56.7,2234.1,181.6,3074.2,286.1,655,2236.9,3094.8,230,73.8,15.3
0.139596,678.4,53.6,2216.8,188.7,3061.7,296.3,663.3,2215.3,3088.7,229.5,74.1,15.4
0.141596,678.3,52.0,2200.8,191.7,3046.0,321.2,671.1,2193.5,3079.6,228.9,74.4,15.8
0.143596,677.5,51.8,2186.5,196.9,3033.9,346.9,678.3,2171.6,3067.3,228.4,74.6,16.2
0.145596,676.5,52.8,2170.4,205.0,3027.8,363.4,684.9,2149.6,3051.9,227.8,74.7,16.7
0.147596,676.0,54.0,2150.8,212.7,3022.5,372.7,690.7,2127.5,3033.7,227.2,74.8,16.9
0.149596,676.9,54.7,2125.4,218.9,3008.1,389.5,695.9,2105.6,3012.8,226.7,74.7,17
0.151596,679.3,54.4,2093.3,222.3,2976.2,415.3,700.4,2083.9,2989.5,226.1,74.6,16.9
0.153596,682.3,53.9,2062.5,221.0,2938.6,424.4,704.1,2062.5,2964.2,225.5,74.4,16.8
0.155596,685.5,54.3,2036.0,216.7,2912.8,413.1,707.1,2041.5,2937.3,224.9,74.2,16.7
0.157596,688.3,56.2,2016.7,213.1,2903.6,401.2,709.4,2021,2909.1,224.3,73.9,16.6
0.159596,691.0,59.3,1999.7,212.4,2900.2,399.8,710.9,2001.2,2880.3,223.8,73.6,16.4
0.161596,693.5,63.6,1982.1,215.4,2894.6,409.7,711.8,1982.1,2851.2,223.2,73.3,16.3
0.163596,695.6,68.8,1967.2,222.7,2882.9,424.7,712.1,1963.9,2822.4,222.6,73.1,16.1
0.165596,697.7,75.8,1954.3,236.4,2861.0,442.2,711.8,1946.7,2794.3,222,72.8,15.9
