time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025590,548.9,108.3,2170.5,128.9,3062.9,307.4,575.4,2251.7,3048.5,230.7,75.6,23.4
0.027590,550.3,108.7,2193.5,140.9,3077.3,285.6,575.9,2252.6,3049.4,230.7,75.6,23.7
0.029590,553.0,109.6,2220.1,144.6,3091.7,258.7,576.7,2254.1,3050.9,230.7,75.6,24
0.031590,557.5,111.0,2243.3,138.3,3099.9,238.8,577.8,2256.2,3053,230.6,75.7,24.1
0.033590,564.6,112.8,2260.3,122.7,3099.3,229.6,579.2,2258.9,3055.7,230.5,75.7,24.2
0.035590,572.9,113.9,2269.4,105.2,3092.1,231.1,580.9,2262.2,3059,230.5,75.7,24.2
0.037590,580.8,114.0,2275.2,90.2,3086.6,235.9,582.9,2266,3062.8,230.4,75.8,24.3
0.039590,588.1,113.3,2281.6,77.8,3089.7,235.5,585.1,2270.3,3067.1,230.3,75.8,24.3
0.041590,593.5,112.2,2288.9,69.4,3101.0,224.2,587.6,2275.1,3071.9,230.3,75.9,24.2
0.043590,597.6,111.3,2297.0,64.2,3112.8,206.0,590.3,2280.4,3077.1,230.2,75.9,24.1
0.045590,600.9,110.5,2305.0,61.3,3121.4,187.9,593.1,2286.1,3082.8,230.1,76,23.9
0.047590,604.0,109.8,2312.3,60.3,3127.0,175.2,596.2,2292.2,3088.8,230,76.1,23.4
0.049590,607.5,108.2,2318.6,61.2,3129.6,170.5,599.5,2298.7,3095.1,229.9,76.2,22.9
0.051590,611.1,105.6,2324.3,64.4,3129.7,173.6,602.8,2305.5,3101.7,229.8,76.2,22.2
0.053590,614.7,102.4,2329.9,69.8,3129.7,180.9,606.3,2312.5,3108.6,229.7,76.3,21.7
0.055590,618.9,98.8,2335.8,76.8,3128.5,190.1,609.9,2319.8,3115.6,229.6,76.4,21.2
0.057590,623.9,95.2,2340.3,82.6,3119.8,200.6,613.5,2327.3,3122.8,229.5,76.4,20.9
0.059590,629.6,91.2,2343.1,86.7,3101.7,213.2,617.1,2334.9,3130.1,229.4,76.5,20.6
0.061590,635.1,86.8,2345.1,91.3,3081.2,226.3,620.7,2342.7,3137.4,229.2,76.6,20.4
0.063590,639.7,82.1,2347.5,98.4,3068.3,238.5,624.3,2350.5,3144.7,229.1,76.7,20.3
0.065590,643.3,77.9,2351.4,108.3,3068.3,252.1,627.8,2358.3,3151.9,229,76.7,20.4
