time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025392,497.1,22.9,2305.3,91.4,2956.0,266.8,488.7,2396.5,2971.8,243.5,76.7,11
0.027392,497.3,21.1,2326.7,97.1,2962.3,269.5,489.3,2397.7,2972.9,243.1,77.2,12
0.029392,497.0,20.8,2351.3,106.1,2972.2,277.7,490.2,2399.6,2974.6,242.5,77.5,12.8
0.031392,496.3,21.7,2380.1,119.7,2985.1,289.2,491.6,2402.3,2977,242,77.6,13.5
0.033392,495.7,23.7,2406.5,133.0,2999.5,299.0,493.3,2405.7,2980,241.4,77.6,14.2
0.035392,495.3,26.7,2424.4,142.6,3013.2,304.5,495.4,2409.8,2983.5,240.8,77.4,14.8
0.037392,495.6,30.8,2433.1,148.2,3020.9,308.2,497.8,2414.4,2987.6,240.2,77.1,15.4
0.039392,496.9,36.5,2438.5,149.6,3019.9,312.6,500.6,2419.6,2992.2,239.6,76.8,15.9
0.041392,499.3,43.6,2444.5,147.1,3010.2,318.9,503.7,2425.3,2997.2,239,76.5,16.3
0.043392,502.4,51.1,2452.1,146.0,2998.7,333.2,507.1,2431.3,3002.5,238.4,76.1,16.6
0.045392,506.0,58.1,2461.7,150.2,2994.0,359.2,510.8,2437.7,3008,237.7,75.8,17
0.047392,509.7,63.2,2470.9,158.5,3001.3,384.5,514.8,2444.2,3013.8,237.1,75.6,17.6
0.049392,513.6,66.7,2478.6,168.7,3017.5,399.8,519,2450.9,3019.6,236.4,75.4,18.5
0.051392,517.3,68.7,2484.4,177.6,3035.6,407.6,523.5,2457.6,3025.4,235.8,75.2,19.6
0.053392,520.7,70.0,2489.7,180.7,3049.2,415.5,528.2,2464.2,3031.1,235.1,75.1,20.7
0.055392,524.4,71.9,2495.9,175.5,3055.8,424.1,533.1,2470.6,3036.6,234.5,75,21.6
0.057392,529.0,74.9,2502.8,165.0,3053.5,428.9,538.1,2476.8,3041.8,233.9,74.9,21.9
0.059392,535.5,79.7,2508.9,153.6,3041.3,427.9,543.3,2482.6,3046.7,233.3,74.8,21.6
0.061392,543.4,85.5,2511.5,145.9,3022.4,424.8,548.7,2487.9,3051.1,232.7,74.6,20.7
0.063392,551.6,90.8,2511.4,142.4,3010.2,430.3,554.1,2492.7,3054.9,232.1,74.5,19.5
0.065392,560.0,94.9,2511.1,140.0,3015.7,448.2,559.6,2496.8,3058.2,231.5,74.3,18.5
0.067392,568.7,97.2,2510.6,137.1,3032.9,459.3,565.1,2500.3,3060.8,230.9,74.2,18
0.069392,577.9,98.2,2509.3,134.7,3045.8,451.3,570.7,2502.9,3062.7,230.4,74.1,18.2
0.071392,586.0,97.7,2507.0,134.5,3045.6,434.9,576.3,2504.6,3063.7,229.8,74.1,18.7
0.073392,591.4,95.8,2503.5,135.3,3038.5,423.6,581.9,2505.5,3063.9,229.3,74.2,19.5
0.075392,594.9,93.2,2497.8,134.3,3034.3,421.1,587.4,2505.4,3063.3,228.8,74.3,20.1
0.077392,597.4,90.4,2491.0,130.5,3039.8,425.9,592.9,2504.2,3061.7,228.3,74.4,20.4
0.079392,600.4,87.4,2484.0,126.5,3053.3,429.2,598.3,2502.1,3059.2,227.8,74.5,20.1
0.081392,604.8,84.1,2476.9,125.7,3063.0,414.8,603.7,2498.8,3055.8,227.3,74.7,19.6
0.083392,610.8,80.6,2469.8,127.5,3060.9,382.2,608.9,2494.5,3051.5,226.9,74.7,19
0.085392,618.4,76.1,2462.8,130.3,3051.9,346.7,614.1,2489.1,3046.3,226.4,74.8,18.4
0.087392,626.0,71.0,2457.1,133.2,3043.8,326.1,619.1,2482.7,3040.1,226,74.9,17.9
0.089392,633.3,64.8,2451.8,137.2,3036.9,321.4,624,2475.1,3033.2,225.5,75,17.6
0.091392,639.7,58.3,2445.6,141.2,3028.6,326.7,628.8,2466.6,3025.5,225,75.1,17.4
0.093392,644.6,52.3,2438.5,143.2,3017.7,333.1,633.4,2457,3017,224.6,75.2,17.3
0.095392,648.5,46.9,2431.8,143.4,3006.9,338.3,637.9,2446.5,3007.9,224.1,75.4,17.2
0.097392,651.1,42.8,2426.9,144.5,3001.4,344.6,642.3,2435.1,2998.2,223.7,75.6,17.2
0.099392,653.0,39.7,2421.2,149.0,2999.2,352.5,646.6,2422.9,2988,223.2,75.8,17.4
0.101392,654.7,37.6,2411.3,156.5,2995.0,356.8,650.8,2409.8,2977.4,222.7,76.1,17.8
0.103392,656.3,36.3,2397.8,164.1,2988.2,355.6,654.8,2396,2966.5,222.3,76.3,18.2
0.105392,658.1,35.4,2383.0,173.4,2981.1,356.8,658.8,2381.5,2955.4,221.8,76.5,18.5
0.107392,659.5,34.9,2370.2,189.7,2974.2,371.4,662.7,2366.5,2944.2,221.3,76.6,18.6
0.109392,660.3,34.7,2358.1,218.6,2961.3,398.9,666.5,2350.9,2933.1,220.7,76.6,18.4
0.111392,660.5,35.3,2343.8,253.1,2937.8,413.2,670.3,2335,2922.1,220.2,76.6,18
0.113392,660.5,37.0,2325.2,277.0,2915.2,393.2,674,2318.7,2911.4,219.7,76.5,17.4
0.115392,660.4,40.4,2304.0,288.1,2904.8,356.8,677.8,2302.1,2901.1,219.1,76.2,16.9
0.117392,660.3,45.1,2285.5,295.4,2905.7,333.3,681.5,2285.3,2891.4,218.6,75.9,16.4
0.119392,660.8,51.6,2269.1,303.8,2909.9,329.5,685.3,2268.5,2882.2,218,75.6,16.1
0.121392,662.7,59.8,2255.4,310.2,2911.7,345.9,689.2,2251.6,2873.8,217.4,75.2,15.7
0.123392,666.7,69.3,2244.4,313.4,2908.1,375.3,693.1,2234.7,2866.2,216.8,74.8,15.3
0.125392,673.6,80.1,2233.8,318.4,2896.9,411.6,697.1,2218,2859.6,216.1,74.4,15.1
0.127392,682.9,89.9,2221.9,331.1,2880.0,448.8,701.2,2201.5,2854,215.5,74,14.9
0.129392,693.0,97.0,2207.7,351.3,2864.9,482.1,705.4,2185.3,2849.6,214.9,73.7,15
0.131392,703.8,101.5,2189.3,373.9,2854.8,509.5,709.7,2169.3,2846.3,214.2,73.5,15.2
0.133392,714.5,103.8,2169.0,388.3,2845.7,523.9,714.2,2153.8,2844.3,213.5,73.3,15.5
0.135392,726.0,105.0,2148.7,392.4,2829.3,520.2,718.9,2138.7,2843.6,212.8,73,15.7
0.137392,737.4,105.7,2131.1,387.1,2808.9,491.3,723.7,2124.1,2844.3,212.2,72.8,15.7
0.139392,749.6,106.2,2113.8,372.4,2793.5,445.0,728.7,2110.1,2846.4,211.5,72.6,15.4
0.141392,762.1,106.5,2096.4,352.9,2787.3,404.8,733.8,2096.6,2849.8,210.7,72.5,14.9
0.143392,773.3,106.7,2078.1,336.3,2787.3,383.0,739.1,2083.7,2854.7,210,72.3,14.3
0.145392,782.1,107.5,2057.4,326.2,2790.5,386.4,744.6,2071.5,2860.9,209.3,72.1,13.7
0.147392,785.6,109.9,2040.3,327.1,2796.5,433.5,750.2,2059.9,2868.6,208.6,72,13.3
