time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025583,489.1,29.9,2493.2,228.8,3316.0,214.1,499.2,2554.5,3361.3,255.5,74.8,8.1
0.027583,492.5,25.3,2513.1,289.3,3335.3,236.3,499,2555.2,3360.5,255.2,75.2,11
0.029583,494.6,21.9,2531.6,338.5,3344.0,256.3,498.7,2556.3,3359.2,255,75.6,14.2
0.031583,496.0,19.1,2544.2,372.1,3343.7,265.9,498.4,2557.8,3357.4,254.7,76.1,17.1
0.033583,496.9,17.0,2553.9,397.1,3341.5,268.5,497.9,2559.7,3355,254.5,76.5,19.4
0.035583,497.6,15.5,2565.7,414.2,3342.5,271.9,497.4,2561.8,3352.1,254.2,76.9,20.9
0.037583,498.4,14.2,2578.2,411.5,3347.3,279.1,496.8,2564.2,3348.6,253.8,77.3,21.8
0.039583,499.3,13.3,2585.7,384.5,3352.8,283.5,496.3,2566.7,3344.7,253.5,77.7,22.5
0.041583,500.4,12.8,2588.3,342.3,3353.7,276.0,495.8,2569.3,3340.1,253.2,78,23
0.043583,501.4,12.5,2591.1,303.3,3348.6,255.4,495.4,2571.8,3335,252.8,78.4,23.5
0.045583,502.2,12.2,2598.3,272.7,3342.1,232.2,495.1,2574.2,3329.4,252.5,78.8,24
0.047583,502.9,12.0,2606.2,248.2,3336.6,217.7,494.9,2576.4,3323.3,252.1,79.1,24.3
0.049583,503.2,11.9,2605.6,228.1,3330.1,212.8,494.9,2578.2,3316.6,251.7,79.4,24.6
0.051583,503.4,11.9,2594.0,210.2,3320.5,211.4,495.2,2579.6,3309.4,251.3,79.7,24.8
0.053583,503.4,12.1,2579.6,196.9,3310.0,210.9,495.7,2580.4,3301.8,250.8,79.9,24.8
0.055583,503.2,12.3,2570.0,189.1,3299.9,214.9,496.6,2580.6,3293.6,250.4,80.1,24.6
0.057583,503.1,12.8,2566.9,188.7,3288.3,232.5,497.8,2580,3285.1,249.9,80.2,24.2
0.059583,502.8,13.4,2567.7,198.1,3273.2,274.3,499.4,2578.6,3276.2,249.5,80.3,23.8
0.061583,502.5,14.2,2569.2,219.3,3250.0,351.8,501.4,2576.2,3267,249,80.2,23.3
