time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025685,481.3,28.7,2327.3,84.2,2963.6,285.3,483.4,2365.1,3002.3,235,80.3,22.7
0.027685,482.7,29.2,2338.7,69.1,2979.1,255.5,483.4,2365.8,3003.2,234.9,80.3,23.5
0.029685,483.9,29.3,2346.7,58.8,2989.8,235.8,483.5,2367.1,3004.7,234.9,80.3,24.2
0.031685,485.0,29.5,2352.9,51.3,2996.8,222.4,483.5,2368.9,3006.8,234.8,80.3,24.8
0.033685,485.9,30.2,2357.9,46.0,3001.8,211.8,483.6,2371.1,3009.5,234.7,80.2,25.3
0.035685,486.7,31.4,2362.3,43.0,3008.4,202.8,483.7,2373.9,3012.7,234.6,80.2,25.9
0.037685,487.2,32.5,2366.5,42.8,3018.2,198.9,483.9,2377,3016.5,234.5,80.2,26.5
0.039685,487.1,33.1,2370.4,45.9,3028.9,202.9,484,2380.6,3020.7,234.4,80.1,27
0.041685,486.9,33.4,2374.3,52.4,3038.5,212.8,484.2,2384.6,3025.4,234.2,80,27.3
0.043685,486.7,33.9,2378.2,61.8,3045.8,223.4,484.5,2389,3030.5,234.1,79.8,27.5
0.045685,486.6,34.6,2383.1,74.0,3050.9,233.7,484.8,2393.8,3036,233.9,79.7,27.2
0.047685,486.4,35.5,2389.7,88.7,3052.9,244.5,485.2,2398.8,3041.8,233.8,79.6,26.7
0.049685,486.2,36.7,2398.2,103.3,3052.2,254.5,485.6,2404.1,3047.9,233.6,79.5,26.1
0.051685,486.3,38.3,2409.7,115.8,3051.0,262.2,486.1,2409.7,3054.2,233.4,79.4,25.5
0.053685,486.7,40.2,2423.0,123.2,3051.9,265.4,486.7,2415.4,3060.6,233.2,79.3,25.4
0.055685,487.4,42.3,2436.6,125.5,3055.1,266.2,487.3,2421.4,3067.2,233,79.2,25.7
0.057685,488.2,43.9,2448.9,124.9,3060.3,269.4,488.1,2427.4,3073.8,232.8,79.1,26.4
0.059685,488.7,44.7,2458.6,124.6,3067.7,279.4,488.9,2433.5,3080.5,232.6,79.1,27.3
0.061685,488.8,44.6,2466.6,127.1,3078.1,298.7,489.9,2439.6,3087.1,232.4,79,27.9
0.063685,488.8,44.1,2473.0,131.4,3089.8,322.9,490.9,2445.8,3093.5,232.1,78.9,28.1
0.065685,488.8,44.0,2478.9,133.4,3101.9,345.1,492.1,2451.8,3099.8,231.9,78.8,27.6
0.067685,489.1,44.5,2485.4,132.0,3115.9,364.4,493.4,2457.8,3105.9,231.7,78.7,26.7
0.069685,489.7,45.7,2492.3,128.7,3131.4,379.7,494.9,2463.6,3111.7,231.4,78.6,25.6
0.071685,490.7,48.0,2498.7,123.6,3146.2,384.3,496.4,2469.2,3117.2,231.1,78.5,24.6
0.073685,492.2,51.2,2503.0,116.7,3155.2,375.7,498.2,2474.6,3122.3,230.9,78.3,24.1
0.075685,494.1,54.6,2504.8,109.0,3157.8,365.6,500.1,2479.7,3127,230.6,78.2,24.2
0.077685,495.9,57.5,2505.4,102.6,3157.4,366.3,502.1,2484.5,3131.3,230.3,78.1,24.6
0.079685,497.5,59.2,2505.9,99.6,3157.0,383.7,504.3,2488.9,3135,230,78,25.2
0.081685,498.9,60.1,2506.0,99.8,3155.5,417.8,506.6,2493,3138.2,229.7,77.8,25.7
0.083685,500.7,61.3,2504.8,99.9,3150.2,449.2,509.2,2496.6,3140.9,229.4,77.7,25.9
0.085685,503.2,63.6,2502.7,97.9,3143.9,467.7,511.9,2499.8,3143,229.1,77.6,25.8
0.087685,506.3,66.4,2501.3,96.0,3143.5,487.0,514.7,2502.4,3144.4,228.8,77.4,25.4
0.089685,509.7,69.1,2501.2,95.4,3148.5,506.7,517.7,2504.6,3145.3,228.5,77.3,24.9
0.091685,513.8,71.7,2501.5,96.2,3152.2,513.7,520.9,2506.2,3145.5,228.2,77.1,24.3
0.093685,518.3,74.2,2501.1,97.1,3149.8,498.6,524.3,2507.2,3145.1,227.9,76.9,23.8
0.095685,523.6,77.2,2499.3,96.2,3144.3,464.7,527.8,2507.7,3144.1,227.6,76.7,23.4
0.097685,530.0,81.5,2496.1,92.5,3138.0,419.4,531.5,2507.5,3142.4,227.2,76.6,23
0.099685,537.4,86.6,2492.3,87.3,3129.9,374.1,535.4,2506.8,3140.1,226.9,76.4,22.5
0.101685,545.8,91.1,2488.1,83.4,3120.4,342.6,539.4,2505.4,3137.3,226.6,76.2,22.1
0.103685,553.8,92.4,2484.4,83.9,3113.5,342.8,543.5,2503.4,3133.8,226.2,76.1,21.8
0.105685,560.8,90.2,2481.4,89.0,3111.6,379.2,547.8,2500.7,3129.8,225.9,76,21.5
0.107685,567.0,86.2,2478.8,97.1,3112.5,436.6,552.3,2497.4,3125.3,225.5,76,21.3
0.109685,572.9,82.7,2476.0,104.7,3112.3,475.4,556.8,2493.4,3120.3,225.2,76,21.1
0.111685,579.0,80.6,2472.6,109.8,3108.6,475.9,561.5,2488.9,3114.9,224.8,76,20.9
0.113685,584.6,79.4,2469.0,111.2,3101.2,456.9,566.3,2483.7,3109.1,224.4,76,20.7
0.115685,589.4,78.3,2465.1,109.8,3091.7,442.7,571.2,2477.8,3102.9,224,76,20.4
0.117685,593.5,76.8,2460.4,107.0,3083.5,439.0,576.3,2471.4,3096.4,223.6,76.1,20.1
0.119685,596.9,74.5,2454.7,104.6,3078.4,438.0,581.4,2464.4,3089.6,223.3,76.2,19.8
