time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025955,394.2,112.4,2711.0,264.0,3457.6,166.2,434.4,2668.5,3476,265.2,71.7,18.4
0.027955,402.2,111.9,2701.2,265.2,3474.8,169.3,434.6,2669.1,3475.8,265.1,71.7,19.2
0.029955,409.7,111.8,2697.9,265.0,3484.4,178.1,435,2669.9,3475.6,264.9,71.7,19.9
0.031955,417.2,112.1,2700.4,260.2,3488.6,188.4,435.4,2671.2,3475.3,264.8,71.6,20.3
0.033955,423.5,111.3,2699.9,250.4,3488.3,194.9,436.1,2672.7,3475,264.6,71.6,20.7
0.035955,428.5,109.1,2689.5,232.8,3485.5,194.8,436.8,2674.6,3474.5,264.4,71.6,21.1
0.037955,432.9,106.6,2674.4,209.2,3483.1,187.8,437.7,2676.8,3474,264.2,71.5,21.4
0.039955,437.5,104.3,2663.8,187.2,3481.7,176.0,438.7,2679.3,3473.4,264,71.4,21.5
0.041955,443.0,101.3,2660.1,172.5,3478.1,161.9,439.9,2682.1,3472.8,263.8,71.3,21.7
0.043955,448.7,97.5,2660.0,164.9,3471.0,148.7,441.1,2685.2,3472.1,263.6,71.2,21.8
0.045955,454.3,93.2,2659.6,159.5,3462.9,137.4,442.5,2688.5,3471.3,263.4,71.2,21.8
0.047955,458.9,88.9,2657.9,155.3,3457.8,130.1,444,2692.1,3470.5,263.2,71.1,21.9
0.049955,462.3,84.5,2655.6,153.6,3456.2,127.9,445.6,2695.9,3469.7,263,71,21.9
0.051955,464.8,79.6,2653.5,156.1,3456.1,130.3,447.3,2699.9,3468.8,262.8,70.9,21.9
0.053955,466.4,74.7,2652.3,163.6,3456.4,137.1,449.1,2704.1,3468,262.6,70.8,21.9
0.055955,467.6,70.2,2652.5,175.5,3456.9,146.6,450.9,2708.5,3467.1,262.4,70.7,22
0.057955,468.5,67.0,2655.0,189.1,3457.4,155.6,452.9,2713,3466.2,262.2,70.7,22.2
0.059955,469.1,65.5,2660.7,202.8,3457.3,162.9,454.9,2717.6,3465.3,262,70.7,22.4
0.061955,469.4,65.0,2670.4,217.4,3456.7,170.9,457,2722.4,3464.4,261.8,70.7,22.7
0.063955,469.5,65.3,2682.4,232.5,3456.8,180.9,459.1,2727.2,3463.6,261.6,70.8,22.9
0.065955,469.6,66.1,2695.4,248.8,3458.2,191.2,461.3,2732,3462.8,261.5,70.8,23.1
0.067955,469.7,66.8,2708.0,268.1,3459.8,198.3,463.5,2736.8,3462,261.3,70.9,23.4
0.069955,469.9,66.8,2721.0,293.9,3459.7,200.2,465.8,2741.7,3461.3,261.1,71.1,23.8
0.071955,470.5,65.9,2739.6,325.1,3455.9,198.4,468.1,2746.5,3460.6,261,71.2,24
0.073955,471.9,64.3,2766.5,349.3,3450.9,197.3,470.4,2751.3,3460,260.8,71.3,23.9
0.075955,474.2,61.8,2797.7,354.5,3447.9,199.4,472.7,2755.9,3459.4,260.7,71.5,23.3
0.077955,477.1,57.9,2822.2,337.2,3447.7,204.0,475,2760.5,3458.9,260.6,71.7,22.1
0.079955,480.1,52.9,2836.2,311.0,3448.0,211.3,477.3,2765,3458.5,260.5,71.9,20.5
0.081955,482.8,48.0,2847.3,292.3,3448.8,225.0,479.6,2769.3,3458.2,260.4,72.1,19
0.083955,484.5,44.2,2859.3,286.7,3454.2,245.4,481.9,2773.4,3457.9,260.3,72.3,17.9
0.085955,485.6,41.7,2867.6,288.0,3465.0,266.2,484.2,2777.3,3457.7,260.2,72.5,17.5
0.087955,486.5,40.2,2864.8,290.1,3473.0,272.5,486.4,2781,3457.6,260.2,72.7,17.8
0.089955,487.7,39.6,2849.8,285.0,3469.4,255.8,488.6,2784.5,3457.6,260.1,72.9,18.5
0.091955,489.3,39.2,2830.1,264.4,3459.3,224.9,490.8,2787.7,3457.6,260.1,73,19.3
0.093955,491.2,38.3,2816.1,237.5,3453.0,199.6,492.9,2790.7,3457.8,260.1,73.2,20
0.095955,493.1,36.4,2809.8,218.9,3453.7,187.1,494.9,2793.4,3458,260.1,73.4,20.4
0.097955,494.8,34.0,2811.4,214.1,3461.2,187.8,496.9,2795.8,3458.2,260.1,73.6,20.6
0.099955,496.5,31.8,2819.4,212.8,3474.9,196.5,498.9,2797.8,3458.6,260.2,73.8,20.7
0.101955,498.4,30.5,2828.2,201.7,3492.5,204.1,500.7,2799.6,3459,260.2,74,20.8
0.103955,500.2,29.9,2829.6,185.1,3505.9,207.8,502.5,2801,3459.5,260.3,74.2,20.9
0.105955,501.7,29.1,2823.4,173.3,3511.1,213.6,504.3,2802.2,3460,260.4,74.4,21
0.107955,502.8,28.0,2815.0,168.9,3510.5,222.3,505.9,2802.9,3460.6,260.5,74.5,21.1
0.109955,503.7,26.7,2809.3,170.8,3507.8,228.7,507.5,2803.4,3461.2,260.6,74.6,21.2
0.111955,504.5,25.7,2805.2,181.1,3502.0,227.0,509,2803.5,3461.8,260.7,74.8,21.2
0.113955,505.5,24.9,2796.5,200.9,3488.4,215.3,510.4,2803.3,3462.5,260.8,74.9,21.2
0.115955,506.6,24.1,2780.0,218.5,3468.4,195.3,511.8,2802.7,3463.2,260.9,75,20.9
0.117955,507.9,23.5,2766.3,216.7,3451.6,176.3,513,2801.9,3463.9,261.1,75.2,20.4
0.119955,508.9,22.8,2766.9,203.1,3443.5,170.3,514.2,2800.7,3464.6,261.2,75.3,19.7
0.121955,509.9,22.1,2776.6,192.4,3443.8,177.2,515.3,2799.2,3465.3,261.4,75.5,19
0.123955,510.8,21.3,2783.0,188.5,3450.1,184.2,516.3,2797.4,3466,261.5,75.6,18.6
0.125955,512.0,20.7,2780.8,188.3,3458.1,180.6,517.2,2795.4,3466.6,261.7,75.6,18.5
0.127955,513.4,20.5,2774.3,188.5,3462.9,167.5,518,2793,3467.2,261.8,75.6,18.6
0.129955,515.0,20.7,2770.0,190.1,3461.5,152.5,518.8,2790.5,3467.8,261.9,75.6,18.9
0.131955,516.5,21.0,2769.7,198.3,3456.3,142.3,519.5,2787.7,3468.4,262.1,75.6,19.3
0.133955,517.8,21.1,2770.0,215.6,3453.3,136.3,520.1,2784.6,3468.8,262.2,75.6,19.8
0.135955,518.7,20.7,2765.4,234.1,3454.8,130.4,520.6,2781.4,3469.3,262.3,75.6,20.3
0.137955,519.6,19.9,2751.3,238.2,3458.4,122.7,521.1,2778.1,3469.6,262.4,75.6,21
0.139955,520.6,19.0,2731.1,220.3,3461.4,115.6,521.5,2774.5,3469.9,262.5,75.6,21.9
0.141955,521.5,18.0,2712.7,191.6,3463.0,111.7,521.8,2770.9,3470.1,262.6,75.7,22.6
0.143955,522.4,16.8,2701.4,170.0,3461.8,112.5,522.1,2767.2,3470.2,262.7,75.7,23.1
0.145955,523.1,15.6,2696.0,160.0,3457.0,117.8,522.3,2763.4,3470.3,262.7,75.8,23.2
0.147955,523.6,14.6,2697.5,162.1,3450.7,128.6,522.5,2759.5,3470.2,262.8,75.9,22.8
0.149955,524.0,13.6,2708.7,176.5,3449.4,147.7,522.6,2755.7,3470.1,262.8,76.1,22.2
0.151955,524.1,12.6,2731.2,204.1,3459.1,179.3,522.6,2751.9,3469.9,262.9,76.3,21.5
0.153955,524.0,11.6,2757.2,241.1,3474.1,220.0,522.7,2748.1,3469.6,262.9,76.5,21
0.155955,523.7,10.6,2775.2,290.7,3481.2,267.7,522.6,2744.3,3469.2,262.9,76.8,20.8
0.157955,523.3,9.7,2774.6,354.0,3470.2,312.5,522.6,2740.7,3468.7,262.9,77,20.7
0.159955,523.1,8.9,2755.7,410.8,3445.0,332.1,522.5,2737.2,3468.2,262.9,77.2,20.7
0.161955,523.1,8.7,2739.3,417.2,3427.7,315.7,522.3,2733.8,3467.6,262.9,77.4,20.9
0.163955,523.3,9.0,2731.1,362.2,3424.9,275.1,522.2,2730.7,3466.9,262.8,77.6,21.2
0.165955,523.7,9.6,2718.3,282.7,3431.0,225.8,522,2727.7,3466.2,262.8,77.8,21.8
0.167955,524.1,10.1,2699.9,218.9,3437.1,182.3,521.8,2725,3465.4,262.7,77.9,22.8
0.169955,524.4,10.2,2683.8,178.7,3437.4,149.5,521.5,2722.5,3464.6,262.6,77.9,24
0.171955,524.4,10.2,2676.2,158.8,3434.7,128.3,521.3,2720.2,3463.8,262.6,78,25.2
0.173955,524.4,10.2,2675.5,150.8,3434.5,115.2,521,2718.3,3462.9,262.5,78,26
0.175955,524.2,10.2,2681.7,154.2,3438.3,110.6,520.8,2716.7,3462,262.4,78,26.4
0.177955,523.9,10.2,2698.2,171.0,3445.8,116.2,520.5,2715.4,3461.1,262.3,78,26.2
0.179955,523.3,10.2,2729.9,199.6,3457.8,135.0,520.2,2714.5,3460.2,262.2,78,25.8
0.181955,522.8,10.4,2765.8,223.8,3472.9,162.5,519.9,2713.9,3459.3,262,77.9,25.3
0.183955,522.2,10.7,2782.9,234.5,3483.6,186.7,519.6,2713.7,3458.5,261.9,77.9,24.9
0.185955,521.8,10.9,2769.8,233.3,3481.4,194.0,519.3,2713.9,3457.7,261.8,77.9,24.9
0.187955,521.3,11.1,2744.3,220.3,3472.2,184.4,519,2714.5,3456.9,261.6,77.8,25
0.189955,520.9,11.2,2730.6,204.0,3466.3,173.1,518.7,2715.5,3456.2,261.5,77.7,25.4
0.191955,520.5,11.3,2735.8,199.4,3468.3,173.8,518.4,2716.8,3455.6,261.3,77.6,25.7
0.193955,520.0,11.2,2753.1,210.1,3478.2,188.9,518.1,2718.6,3455.1,261.1,77.5,25.9
0.195955,519.5,11.2,2774.0,230.0,3495.0,213.2,517.8,2720.8,3454.6,261,77.4,25.8
0.197955,518.9,11.2,2789.1,246.5,3512.4,234.1,517.4,2723.4,3454.3,260.8,77.2,25.7
