time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025930,487.3,29.7,2626.3,113.5,3541.8,196.3,480.2,2676.7,3507.9,239.6,74.9,15.7
0.027930,487.2,28.7,2635.1,109.9,3540.7,178.0,480.3,2676.6,3507.5,239.5,75.1,18
0.029930,487.0,28.7,2643.5,108.7,3540.0,166.0,480.4,2676.3,3506.8,239.4,75.3,20.2
0.031930,486.8,29.0,2650.7,109.5,3541.1,156.3,480.5,2676,3505.9,239.4,75.4,22.1
0.033930,486.6,29.2,2656.6,111.8,3543.1,146.7,480.7,2675.6,3504.7,239.3,75.6,23.6
0.035930,486.3,29.0,2662.1,113.8,3541.8,140.1,480.9,2675.1,3503.3,239.2,75.8,24.7
0.037930,486.1,28.6,2666.5,112.1,3535.0,140.3,481.1,2674.5,3501.7,239.1,76,25.1
0.039930,485.9,28.2,2668.2,105.6,3522.5,148.5,481.4,2673.9,3499.8,239,76.2,25
0.041930,485.8,27.8,2666.8,99.5,3506.6,166.9,481.7,2673.2,3497.8,238.8,76.3,24.6
0.043930,485.5,27.2,2665.4,100.0,3491.3,201.1,482,2672.6,3495.6,238.7,76.5,24.1
0.045930,484.8,26.3,2665.9,109.1,3482.4,251.8,482.3,2671.9,3493.3,238.6,76.6,23.7
0.047930,484.0,25.7,2667.8,121.9,3483.4,303.1,482.6,2671.2,3490.9,238.4,76.8,23.5
0.049930,483.3,25.6,2668.7,130.7,3486.5,337.8,482.9,2670.6,3488.4,238.3,76.8,23.3
0.051930,482.5,26.1,2668.3,130.2,3480.9,355.0,483.3,2670.1,3485.9,238.2,76.9,23.1
0.053930,481.7,26.5,2668.3,124.0,3464.1,374.4,483.6,2669.6,3483.3,238,77,23
0.055930,480.9,26.5,2668.9,117.2,3439.5,404.0,483.9,2669.2,3480.7,237.9,77,23.1
0.057930,480.3,26.3,2669.4,113.2,3417.4,432.1,484.1,2668.9,3478.2,237.7,77.1,23.3
0.059930,480.0,26.1,2670.5,112.7,3405.2,443.1,484.4,2668.7,3475.7,237.6,77.1,23.9
0.061930,479.8,26.4,2673.6,116.3,3401.1,429.0,484.6,2668.7,3473.4,237.5,77.1,24.4
0.063930,479.6,27.2,2678.6,122.6,3398.8,399.6,484.8,2668.8,3471.1,237.3,77.2,24.8
0.065930,479.3,28.3,2682.9,127.6,3398.4,370.6,484.9,2669.1,3469,237.2,77.2,24.7
0.067930,478.9,29.6,2684.3,128.7,3402.8,356.6,485,2669.6,3467,237,77.2,24
0.069930,478.7,31.3,2685.1,126.2,3414.1,357.7,485,2670.3,3465.3,236.9,77.2,22.9
0.071930,478.7,33.4,2688.3,119.3,3430.1,351.6,485,2671.2,3463.7,236.8,77.2,21.5
0.073930,478.6,35.6,2694.5,109.9,3446.1,327.0,485,2672.4,3462.4,236.6,77.2,20.3
0.075930,478.1,36.3,2702.8,103.4,3460.0,301.2,484.8,2673.7,3461.3,236.5,77.2,19.6
0.077930,477.7,35.3,2711.4,103.8,3470.6,288.7,484.7,2675.3,3460.5,236.4,77.3,19.4
0.079930,477.6,33.5,2719.1,112.3,3479.4,290.5,484.5,2677,3460,236.3,77.3,19.4
0.081930,477.9,32.1,2723.0,124.1,3490.3,296.0,484.2,2679,3459.7,236.2,77.4,19.7
0.083930,478.3,31.3,2722.4,129.8,3506.1,291.1,483.8,2681.2,3459.7,236.1,77.4,20.2
0.085930,478.4,31.0,2719.7,129.4,3518.0,280.1,483.5,2683.6,3460,236,77.5,20.8
0.087930,478.5,30.9,2716.3,128.9,3517.7,273.7,483,2686.2,3460.5,235.9,77.6,21.7
0.089930,478.5,30.9,2712.8,130.8,3508.8,273.2,482.5,2688.9,3461.3,235.8,77.6,23
0.091930,478.5,30.8,2711.8,134.9,3503.0,277.3,482,2691.8,3462.4,235.7,77.6,24.4
0.093930,478.5,30.6,2716.7,139.2,3505.8,287.1,481.5,2694.9,3463.7,235.6,77.6,25.6
0.095930,478.5,30.4,2727.5,142.4,3507.2,305.4,480.9,2698,3465.3,235.5,77.6,26.3
0.097930,478.5,30.4,2737.5,144.7,3496.7,326.1,480.3,2701.2,3467,235.4,77.6,26.5
0.099930,478.5,30.4,2741.0,147.1,3475.8,336.3,479.6,2704.6,3469,235.4,77.6,26.2
0.101930,478.4,30.3,2737.2,148.8,3460.1,326.7,479,2707.9,3471.1,235.3,77.6,25.7
0.103930,478.3,30.4,2730.3,147.9,3458.0,305.7,478.4,2711.2,3473.4,235.2,77.6,25.2
0.105930,478.3,30.8,2723.0,144.2,3461.7,284.0,477.7,2714.6,3475.8,235.1,77.6,24.9
0.107930,478.4,31.3,2716.4,138.9,3460.5,269.9,477.1,2717.9,3478.3,235.1,77.6,24.9
0.109930,478.4,31.4,2710.6,135.0,3452.4,271.2,476.5,2721.1,3480.8,235,77.6,24.9
0.111930,478.2,31.0,2707.3,136.8,3449.0,293.4,475.9,2724.2,3483.4,234.9,77.6,25
0.113930,477.9,30.4,2705.3,142.9,3464.7,326.4,475.4,2727.1,3486,234.9,77.6,25.2
0.115930,477.7,30.6,2700.9,147.0,3492.1,345.9,474.8,2729.9,3488.5,234.8,77.6,25.3
0.117930,477.7,31.4,2694.7,146.4,3514.8,349.6,474.4,2732.5,3491,234.8,77.6,25.3
0.119930,477.8,32.4,2691.9,140.8,3534.0,345.1,474,2734.9,3493.3,234.7,77.5,25.4
0.121930,478.1,33.1,2694.9,132.1,3553.5,328.4,473.6,2737,3495.6,234.7,77.5,25.5
0.123930,478.5,33.6,2700.0,125.0,3567.1,306.5,473.4,2738.9,3497.7,234.6,77.5,25.5
0.125930,479.0,33.8,2704.2,123.2,3563.1,296.0,473.2,2740.4,3499.6,234.6,77.5,25.6
0.127930,479.5,34.2,2706.5,127.3,3537.7,298.5,473,2741.7,3501.2,234.5,77.5,25.7
0.129930,480.0,34.7,2707.7,136.6,3500.0,298.6,473,2742.6,3502.7,234.5,77.5,25.8
0.131930,480.5,35.3,2708.7,146.8,3475.1,288.0,473,2743.1,3503.9,234.4,77.5,26
0.133930,480.9,35.6,2710.4,152.4,3470.4,279.1,473.2,2743.4,3504.8,234.4,77.5,26.1
0.135930,481.1,35.7,2712.4,151.4,3475.9,281.3,473.4,2743.2,3505.4,234.4,77.5,26.3
0.137930,481.1,35.4,2713.8,147.0,3486.1,290.4,473.7,2742.7,3505.7,234.4,77.5,26.4
