time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025542,476.9,72.8,2693.8,100.9,3493.1,287.2,500,2752,3462.6,259,73.3,16.6
0.027542,480.2,65.6,2698.3,107.8,3465.4,257.3,500,2751.9,3462.7,258.9,73.6,17.9
0.029542,483.8,59.2,2699.5,112.8,3448.8,226.8,500,2751.6,3462.8,258.7,73.9,19
0.031542,487.1,53.8,2700.7,118.6,3442.6,206.3,500,2751.3,3462.9,258.5,74.2,19.9
0.033542,490.2,48.7,2705.2,126.5,3443.5,194.5,500,2750.9,3463,258.4,74.5,20.7
0.035542,493.3,44.1,2713.1,133.0,3449.4,188.9,500,2750.4,3463.1,258.2,74.8,21.4
0.037542,496.2,40.3,2721.0,134.1,3457.7,186.3,500,2749.8,3463.3,258,75,21.9
0.039542,498.6,36.5,2728.0,131.6,3468.6,185.6,500,2749.1,3463.5,257.8,75.2,22.3
0.041542,500.4,33.3,2734.4,129.8,3478.2,187.4,500,2748.3,3463.7,257.5,75.5,22.6
0.043542,501.9,30.5,2740.5,130.6,3483.2,190.5,500,2747.5,3464,257.3,75.7,22.8
0.045542,503.1,28.4,2744.5,132.8,3482.6,191.6,499.9,2746.6,3464.2,257.1,75.9,23.1
0.047542,504.1,26.9,2745.2,134.1,3480.2,189.1,499.9,2745.6,3464.5,256.8,76,23.3
0.049542,504.8,25.6,2744.3,134.9,3479.4,186.4,499.9,2744.6,3464.8,256.6,76.2,23.5
0.051542,505.3,24.5,2743.7,135.6,3478.5,187.2,499.8,2743.5,3465,256.3,76.4,23.6
0.053542,505.6,23.4,2743.6,133.8,3473.4,192.7,499.8,2742.4,3465.3,256,76.6,23.7
0.055542,505.6,22.4,2743.3,128.2,3463.1,201.3,499.7,2741.2,3465.6,255.7,76.7,23.9
0.057542,505.4,21.6,2743.8,122.3,3451.8,209.0,499.7,2739.9,3465.9,255.4,76.9,24.2
0.059542,505.0,20.9,2746.6,119.1,3443.7,210.7,499.6,2738.7,3466.2,255.2,77,24.6
0.061542,504.7,20.3,2752.3,119.1,3440.5,204.6,499.5,2737.4,3466.5,254.9,77.2,25
0.063542,504.6,19.8,2760.5,121.6,3439.8,196.0,499.4,2736.1,3466.7,254.5,77.3,25.4
0.065542,504.7,19.3,2767.6,125.3,3439.0,192.6,499.3,2734.8,3467,254.2,77.5,25.8
0.067542,504.8,18.9,2770.4,127.0,3436.4,196.8,499.1,2733.5,3467.2,253.9,77.6,26
0.069542,504.7,18.5,2769.9,125.4,3434.3,206.1,499,2732.1,3467.4,253.6,77.7,26.1
0.071542,504.4,18.1,2768.7,122.6,3438.0,213.3,498.8,2730.8,3467.6,253.2,77.8,26.2
0.073542,503.8,17.7,2765.6,119.9,3447.0,214.3,498.6,2729.5,3467.8,252.9,78,26.2
0.075542,503.2,17.3,2759.6,116.9,3456.1,212.0,498.4,2728.3,3467.9,252.5,78.1,26.2
0.077542,502.5,17.0,2753.6,113.4,3463.4,212.3,498.1,2727,3468,252.2,78.2,26.3
0.079542,501.9,16.6,2749.7,108.9,3470.1,214.8,497.9,2725.8,3468,251.8,78.3,26.3
0.081542,501.4,16.3,2749.1,104.3,3476.2,214.1,497.6,2724.6,3468,251.4,78.4,26.3
0.083542,501.0,15.8,2750.5,99.5,3481.7,207.3,497.3,2723.5,3468,251,78.5,26.4
0.085542,500.5,15.4,2751.2,95.3,3485.1,197.2,496.9,2722.4,3467.9,250.6,78.5,26.3
0.087542,500.0,15.0,2749.7,91.9,3487.4,188.5,496.5,2721.4,3467.7,250.2,78.6,26.3
0.089542,499.3,14.6,2746.3,88.9,3491.5,183.4,496.1,2720.4,3467.5,249.8,78.7,26.3
0.091542,498.6,14.3,2742.9,86.7,3497.4,181.2,495.7,2719.5,3467.2,249.3,78.8,26.3
0.093542,497.9,14.1,2740.1,84.9,3501.2,177.9,495.2,2718.6,3466.9,248.9,78.8,26.2
0.095542,497.3,14.0,2737.2,83.1,3498.4,171.3,494.7,2717.9,3466.5,248.4,78.9,26.1
0.097542,496.7,13.8,2733.2,81.1,3491.5,162.9,494.1,2717.2,3466,247.9,78.9,26
0.099542,496.0,13.7,2727.8,77.7,3483.2,154.9,493.6,2716.6,3465.4,247.4,78.9,25.9
0.101542,495.3,13.6,2722.5,73.0,3475.5,149.7,493,2716,3464.8,246.9,78.9,25.8
0.103542,494.7,13.7,2718.5,69.3,3470.0,148.7,492.3,2715.6,3464.1,246.4,78.9,25.6
0.105542,493.8,13.7,2717.0,70.3,3471.2,153.6,491.7,2715.2,3463.3,245.9,78.9,25.4
0.107542,492.7,13.7,2716.4,76.8,3479.1,162.5,490.9,2714.9,3462.5,245.3,78.8,25
0.109542,491.3,13.8,2714.3,87.0,3487.7,173.1,490.2,2714.7,3461.5,244.8,78.7,24.5
0.111542,489.8,14.0,2709.6,97.2,3488.1,183.0,489.4,2714.6,3460.5,244.2,78.6,23.8
0.113542,488.3,14.2,2704.5,104.6,3476.4,190.3,488.6,2714.5,3459.4,243.6,78.5,23.2
0.115542,486.6,14.6,2702.0,111.1,3455.4,194.4,487.8,2714.6,3458.2,243.1,78.3,22.7
0.117542,485.0,14.8,2703.5,118.1,3437.5,196.9,486.9,2714.7,3456.9,242.5,78.2,22.4
0.119542,483.3,15.0,2707.8,125.7,3428.8,201.8,486,2714.9,3455.6,241.9,78,22.4
0.121542,481.9,15.1,2712.2,132.0,3428.5,208.9,485.1,2715.2,3454.2,241.3,77.9,22.4
0.123542,480.8,15.2,2716.3,137.6,3432.0,217.2,484.1,2715.5,3452.7,240.6,77.8,22.5
0.125542,480.0,15.2,2720.5,142.9,3435.5,225.8,483.1,2715.9,3451.1,240,77.8,22.6
0.127542,479.4,15.1,2724.4,146.8,3436.6,233.4,482,2716.4,3449.4,239.4,77.9,22.8
0.129542,478.8,14.6,2726.2,147.3,3436.4,239.1,481,2717,3447.6,238.7,77.9,23.1
0.131542,478.2,13.9,2724.9,144.4,3437.1,241.6,479.9,2717.5,3445.8,238.1,78.1,23.5
0.133542,477.6,13.1,2722.2,141.4,3438.1,242.3,478.8,2718.2,3443.9,237.4,78.2,23.8
0.135542,477.0,12.4,2720.3,140.0,3439.0,244.2,477.7,2718.9,3442,236.7,78.3,24
0.137542,476.4,11.9,2720.0,139.8,3440.8,250.1,476.5,2719.6,3439.9,236.1,78.4,23.9
0.139542,475.7,11.8,2719.7,138.3,3444.2,258.8,475.3,2720.4,3437.8,235.4,78.5,23.5
0.141542,474.9,12.0,2717.4,133.5,3446.9,262.4,474.1,2721.2,3435.7,234.7,78.6,22.9
0.143542,473.9,12.3,2714.2,126.2,3447.2,256.2,472.9,2722,3433.4,234,78.5,22.3
0.145542,472.6,12.9,2713.2,118.7,3444.3,245.1,471.7,2722.8,3431.1,233.3,78.5,21.6
