time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025653,512.1,21.8,2409.7,136.3,3162.7,268.0,513.4,2485.7,3252.8,261.6,76.9,12.3
0.027653,513.5,19.8,2418.5,161.3,3160.9,282.2,513.3,2486.5,3253.5,261.4,77.3,14.4
0.029653,514.1,18.7,2437.7,181.2,3168.5,311.1,513.2,2487.9,3254.7,261.2,77.7,16.3
0.031653,514.2,18.1,2464.3,187.5,3187.5,350.3,513,2489.8,3256.3,260.9,78.1,18.2
0.033653,513.9,17.5,2488.3,180.4,3213.2,386.8,512.8,2492.2,3258.4,260.6,78.4,20.1
0.035653,513.6,16.9,2506.6,167.7,3239.6,416.4,512.5,2495,3260.9,260.4,78.7,21.7
0.037653,513.2,16.3,2521.1,153.1,3266.7,440.5,512.2,2498.4,3263.8,260.1,78.9,22.9
0.039653,512.8,15.6,2533.4,138.7,3295.0,456.7,511.9,2502.3,3267.1,259.8,79.1,23.6
0.041653,512.1,14.8,2543.8,125.4,3323.5,464.0,511.5,2506.6,3270.8,259.5,79.2,24
0.043653,511.3,13.9,2551.0,114.7,3345.7,460.9,511.1,2511.3,3274.7,259.2,79.3,24.1
0.045653,510.4,13.1,2554.9,106.2,3359.2,445.3,510.6,2516.4,3279,258.9,79.4,24.1
0.047653,509.6,12.6,2556.6,99.7,3364.0,419.6,510.1,2521.8,3283.5,258.6,79.5,24.4
0.049653,508.7,12.2,2557.4,95.9,3361.8,392.1,509.6,2527.6,3288.2,258.3,79.5,24.8
0.051653,507.9,12.0,2557.7,95.5,3354.7,369.2,509.1,2533.7,3293.1,258,79.5,25.3
0.053653,507.2,11.9,2557.9,98.5,3346.6,359.2,508.6,2540.1,3298.2,257.7,79.5,25.8
0.055653,506.5,11.7,2558.8,104.1,3342.2,363.8,508,2546.7,3303.3,257.4,79.5,26.3
0.057653,506.0,11.7,2561.1,111.8,3343.0,381.2,507.5,2553.5,3308.5,257.1,79.5,26.6
0.059653,505.6,11.8,2565.1,121.8,3346.0,405.6,506.9,2560.4,3313.8,256.8,79.5,26.8
0.061653,505.2,11.9,2570.6,135.8,3345.3,428.7,506.3,2567.5,3319,256.5,79.5,27
0.063653,504.8,12.0,2576.0,151.7,3337.2,434.3,505.8,2574.7,3324.2,256.2,79.6,27
0.065653,504.6,12.0,2579.0,164.3,3325.8,413.1,505.2,2582,3329.4,255.9,79.6,27.1
0.067653,504.4,12.0,2579.1,169.7,3317.6,374.7,504.7,2589.3,3334.4,255.6,79.6,27.1
0.069653,504.2,12.1,2578.9,170.7,3313.5,341.5,504.1,2596.5,3339.3,255.3,79.7,27
0.071653,503.8,12.0,2581.1,173.2,3311.4,326.1,503.6,2603.8,3344.1,255,79.7,27
0.073653,503.4,11.8,2586.9,178.0,3312.3,327.2,503,2610.9,3348.7,254.7,79.8,26.8
0.075653,502.9,11.6,2594.8,181.4,3317.8,329.5,502.5,2618,3353.1,254.4,79.8,26.7
0.077653,502.5,11.5,2604.1,181.3,3326.3,324.6,502,2625,3357.3,254.1,79.8,26.6
0.079653,502.0,11.7,2615.8,176.8,3334.1,318.5,501.5,2631.8,3361.2,253.8,79.9,26.5
0.081653,501.5,12.1,2631.9,165.1,3341.6,320.4,501,2638.4,3365,253.5,79.9,26.3
0.083653,501.0,12.5,2647.7,148.3,3348.5,333.1,500.5,2644.8,3368.5,253.2,79.9,26.2
0.085653,500.6,12.7,2658.3,133.6,3352.4,348.1,500,2651.1,3371.7,252.9,80,26.1
0.087653,500.3,12.6,2663.7,125.2,3352.4,354.0,499.5,2657.1,3374.7,252.6,80,26.1
0.089653,500.0,12.4,2667.0,121.4,3353.6,346.9,499.1,2662.8,3377.5,252.4,80,26.3
0.091653,499.6,12.4,2670.8,118.5,3359.9,333.3,498.6,2668.4,3380,252.1,79.9,26.7
0.093653,499.1,12.6,2676.0,114.1,3369.6,323.2,498.2,2673.6,3382.3,251.8,79.9,27.1
0.095653,498.6,13.0,2682.6,106.7,3378.2,320.9,497.7,2678.6,3384.4,251.5,79.9,27.4
0.097653,498.1,13.4,2690.5,96.6,3384.7,324.9,497.2,2683.3,3386.3,251.2,79.8,27.6
0.099653,497.7,13.8,2698.6,86.2,3391.2,332.7,496.8,2687.8,3388,250.9,79.7,27.8
0.101653,497.1,14.0,2707.0,76.8,3400.5,343.1,496.3,2692,3389.4,250.6,79.6,27.8
0.103653,496.5,14.1,2714.2,69.3,3410.6,351.1,495.8,2695.9,3390.7,250.3,79.5,27.8
0.105653,495.9,14.2,2719.1,63.6,3417.0,350.6,495.3,2699.6,3391.9,250,79.4,27.7
0.107653,495.4,14.3,2721.1,60.1,3417.9,342.3,494.8,2703,3392.8,249.7,79.3,27.4
0.109653,494.9,14.3,2720.5,59.5,3415.6,331.6,494.3,2706.1,3393.7,249.5,79.2,26.9
0.111653,494.3,14.1,2717.8,62.5,3412.4,321.6,493.8,2709,3394.4,249.2,79,26.2
0.113653,493.3,13.7,2714.0,68.9,3408.9,315.2,493.3,2711.7,3395,248.9,78.9,25.5
0.115653,492.3,13.3,2710.2,75.4,3403.5,307.7,492.8,2714.1,3395.4,248.6,78.8,24.9
0.117653,491.3,13.2,2708.2,78.7,3395.9,297.8,492.2,2716.4,3395.8,248.3,78.6,24.6
0.119653,490.4,13.2,2708.4,79.6,3388.6,290.7,491.6,2718.4,3396.1,248.1,78.5,24.7
0.121653,489.5,13.1,2709.4,81.1,3384.0,285.7,491.1,2720.3,3396.3,247.8,78.4,25.1
0.123653,488.8,13.2,2709.3,84.9,3385.3,281.4,490.5,2722.1,3396.4,247.5,78.2,25.6
0.125653,488.1,13.2,2707.3,90.7,3393.7,283.1,489.9,2723.6,3396.4,247.3,78.1,26.2
0.127653,487.5,13.2,2704.0,97.3,3407.6,297.6,489.4,2725.1,3396.4,247,78,26.6
0.129653,487.1,13.2,2701.1,103.7,3420.6,321.5,488.8,2726.4,3396.2,246.8,77.9,27
0.131653,486.7,13.2,2699.9,112.0,3425.1,343.6,488.2,2727.7,3396,246.5,77.8,27.4
0.133653,486.4,13.1,2701.5,122.5,3417.6,348.3,487.6,2728.8,3395.7,246.3,77.7,27.7
0.135653,486.0,13.2,2706.0,132.2,3404.3,334.7,487.1,2729.9,3395.4,246.1,77.7,27.9
0.137653,485.7,13.2,2711.1,137.7,3390.5,316.4,486.6,2730.9,3394.9,245.8,77.6,27.8
0.139653,485.3,13.1,2714.7,141.2,3377.0,305.7,486,2731.9,3394.4,245.6,77.5,27.5
0.141653,484.9,12.9,2717.7,147.0,3363.4,304.3,485.5,2732.8,3393.7,245.4,77.5,27
0.143653,484.5,12.7,2722.3,155.5,3354.2,306.7,485.1,2733.8,3393,245.2,77.4,26.4
0.145653,484.2,12.6,2729.6,164.3,3353.9,308.6,484.6,2734.7,3392.1,245,77.4,25.7
0.147653,483.9,12.7,2738.8,172.3,3363.2,311.2,484.2,2735.6,3391.2,244.8,77.4,25.2
0.149653,483.7,12.7,2748.1,179.4,3377.3,312.8,483.8,2736.6,3390.1,244.6,77.4,24.8
0.151653,483.9,12.6,2756.7,186.7,3389.8,313.4,483.5,2737.5,3389,244.4,77.5,24.4
0.153653,484.2,12.4,2763.0,194.1,3395.4,320.6,483.2,2738.5,3387.7,244.2,77.6,24.1
0.155653,484.6,11.9,2765.7,200.4,3394.7,339.7,482.9,2739.6,3386.3,244.1,77.8,23.9
0.157653,484.8,11.2,2765.4,205.6,3390.7,364.4,482.7,2740.6,3384.8,243.9,78,23.9
0.159653,484.9,10.5,2765.0,210.5,3387.5,382.3,482.5,2741.7,3383.3,243.7,78.1,24.2
0.161653,484.9,9.9,2768.1,214.6,3388.0,393.3,482.3,2742.9,3381.6,243.6,78.3,24.7
0.163653,484.9,9.4,2774.7,213.2,3391.5,401.5,482.2,2744,3379.9,243.4,78.4,25.4
0.165653,484.9,9.2,2780.4,203.4,3395.9,403.9,482.2,2745.3,3378.1,243.2,78.6,26
0.167653,484.9,9.2,2781.3,189.5,3398.9,395.8,482.1,2746.6,3376.3,243.1,78.7,26.5
0.169653,484.8,9.4,2779.0,179.1,3399.1,383.1,482.1,2747.9,3374.4,242.9,78.7,26.7
0.171653,484.4,9.6,2777.4,174.8,3395.0,371.6,482.2,2749.3,3372.5,242.8,78.8,26.9
0.173653,483.9,9.7,2777.8,176.9,3385.6,365.2,482.2,2750.7,3370.6,242.6,78.8,27
0.175653,483.3,9.6,2777.7,185.3,3372.6,364.6,482.3,2752.1,3368.8,242.5,78.9,27.1
0.177653,482.7,9.5,2774.2,199.5,3361.0,365.0,482.4,2753.6,3367.1,242.4,78.9,27.4
0.179653,482.2,9.4,2766.3,216.6,3356.7,359.8,482.5,2755.1,3365.4,242.2,78.9,28
0.181653,481.9,9.2,2755.4,234.0,3359.3,351.0,482.7,2756.7,3363.9,242.1,78.9,28.8
0.183653,481.5,9.0,2746.3,246.1,3362.2,346.8,482.8,2758.2,3362.5,241.9,78.9,29.6
0.185653,481.3,8.9,2740.9,247.9,3360.2,348.3,482.9,2759.8,3361.3,241.8,78.9,30.2
0.187653,481.1,9.0,2737.0,240.2,3354.7,350.2,483,2761.4,3360.4,241.7,78.8,30.5
0.189653,480.9,9.1,2732.1,229.1,3350.9,347.5,483.1,2763,3359.7,241.5,78.8,30.5
0.191653,480.8,9.2,2726.3,216.7,3352.7,337.7,483.2,2764.6,3359.2,241.4,78.7,30.1
0.193653,480.5,9.3,2722.0,204.0,3359.8,322.6,483.2,2766.2,3359.1,241.2,78.6,29.6
0.195653,480.1,9.3,2719.5,192.0,3367.8,306.6,483.2,2767.8,3359.3,241.1,78.5,29
0.197653,479.7,9.4,2717.4,184.1,3372.1,292.2,483.2,2769.4,3359.9,240.9,78.4,28.4
0.199653,479.6,9.7,2716.0,183.0,3369.3,278.5,483.1,2770.9,3360.8,240.8,78.2,27.6
0.201653,480.0,10.4,2717.2,188.2,3358.0,261.9,483,2772.5,3362.2,240.6,78,26.8
0.203653,480.8,11.4,2723.3,196.5,3342.2,246.9,482.8,2774,3364,240.4,77.7,25.8
0.205653,481.7,12.7,2735.1,204.2,3329.6,242.0,482.5,2775.5,3366.2,240.2,77.5,24.9
0.207653,482.2,14.2,2751.5,207.7,3327.2,250.4,482.2,2777,3368.8,240.1,77.2,24.1
0.209653,482.3,15.7,2768.3,204.1,3337.6,265.8,481.8,2778.4,3371.9,239.9,76.9,23.4
0.211653,482.1,17.2,2782.1,194.6,3357.5,278.2,481.3,2779.8,3375.5,239.7,76.6,22.7
