time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025222,414.4,93.6,2550.9,112.5,3513.3,240.0,413.9,2549.8,3521.6,272.1,73.9,7.5
0.027222,414.6,95.2,2552.0,121.1,3527.3,247.5,414.4,2550.6,3525.6,272.7,73.7,8.5
0.029222,414.4,95.4,2552.4,143.0,3538.8,266.6,415,2552.9,3533.3,273,73.6,10.2
0.031222,414.6,94.9,2554.8,177.7,3551.5,289.1,415.2,2557.7,3545.4,273.2,73.6,12.2
0.033222,414.8,95.2,2562.8,219.6,3565.1,306.5,415,2565.9,3562,273.3,73.6,14.2
0.035222,414.5,97.0,2578.6,258.9,3579.4,311.5,414.2,2578.1,3582,273.2,73.7,16.2
0.037222,413.5,100.3,2598.4,286.1,3595.7,301.7,413.1,2593.8,3602.7,272.9,73.8,17.8
0.039222,412.2,104.3,2615.2,298.4,3614.3,283.8,412,2612.1,3621.1,272.6,73.9,19
0.041222,411.2,108.6,2629.6,299.2,3634.5,262.1,411.1,2630.9,3633.9,272.2,74.1,20
0.043222,410.7,113.0,2644.4,291.6,3647.0,237.7,410.5,2648.2,3639.3,271.8,74.2,20.8
0.045222,409.9,116.0,2660.6,278.3,3643.3,211.3,409.9,2662.2,3636.9,271.3,74.4,21.4
0.047222,408.7,116.4,2673.3,258.9,3627.9,186.4,409.3,2672.2,3628.4,270.7,74.6,21.7
0.049222,407.5,114.8,2679.7,240.1,3612.5,169.8,408.2,2678.7,3616.7,270.1,74.7,21.6
0.051222,406.5,112.7,2684.1,230.6,3601.8,164.8,406.7,2683.8,3605.7,269.4,74.8,21.1
0.053222,405.5,111.1,2691.0,238.7,3597.4,173.9,405,2690.5,3598.6,268.7,75,20.4
0.055222,404.4,109.7,2702.8,268.6,3599.0,198.4,403.5,2701.9,3597.6,267.9,75.1,19.9
0.057222,403.5,108.0,2720.2,321.8,3605.3,237.0,402.9,2720.2,3603.2,267.1,75.2,19.6
0.059222,403.4,106.1,2743.5,386.5,3615.1,280.0,403.5,2745.7,3614.4,266.3,75.4,19.7
0.061222,404.5,104.5,2775.9,438.1,3629.1,316.0,405.4,2776.5,3629,265.3,75.5,20.1
0.063222,407.1,103.7,2810.8,444.0,3644.9,331.9,408.1,2808.8,3644.3,264.3,75.6,20.5
0.065222,410.4,103.0,2836.9,416.5,3657.5,328.3,411,2837.3,3657.5,263.2,75.6,20.8
0.067222,413.4,101.7,2853.5,389.9,3665.1,316.4,413.2,2857,3666.4,261.9,75.7,20.8
0.069222,415.3,100.4,2867.3,377.8,3669.5,303.4,414,2864,3669.5,260.5,75.7,20.1
