time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025385,373.4,60.0,2550.3,204.0,3183.2,317.4,372.9,2555,3194.8,296.5,74.6,5.4
0.027385,377.6,66.4,2562.7,164.4,3219.1,292.2,377.6,2559.2,3222.9,295.2,74.8,18.3
0.029385,384.0,80.6,2572.2,134.6,3269.6,275.5,384.3,2567.2,3264.1,293.7,74.7,19.4
0.031385,392.3,100.2,2581.7,114.7,3324.1,254.3,392,2580.1,3311.2,292.1,74.3,13.9
0.033385,399.7,120.2,2594.5,107.1,3368.8,233.5,399.2,2598.1,3357.3,290.3,73.8,7
0.035385,404.0,136.2,2614.7,110.2,3399.0,220.9,405.2,2620.1,3396.6,288.5,73.3,3.9
0.037385,407.2,144.0,2640.7,117.5,3417.6,217.7,409.2,2643.9,3426.1,286.6,72.9,4.4
0.039385,411.0,143.1,2668.7,120.7,3432.7,219.2,411.2,2666.3,3445.9,284.6,72.5,5.4
0.041385,413.5,135.8,2690.4,114.7,3449.1,222.1,411.6,2684.2,3458.2,282.7,72.3,6.6
0.043385,413.2,127.4,2699.5,102.6,3466.5,226.5,411,2695.4,3466.4,280.7,72.2,7.9
0.045385,410.8,121.5,2698.6,90.9,3481.7,233.7,410,2699.6,3473.9,278.8,72.1,9
0.047385,408.3,120.0,2694.4,84.6,3492.0,243.2,409,2698.3,3482.6,276.8,72.1,10.2
0.049385,406.9,122.8,2691.4,84.0,3499.2,254.9,408.4,2694.8,3492.9,275,72.2,11.4
0.051385,406.6,128.6,2691.9,89.2,3504.6,268.5,408,2693.1,3503.5,273.1,72.2,12.7
0.053385,406.9,135.1,2697.3,100.2,3508.5,283.8,407.7,2696.6,3512.6,271.4,72.2,13.7
0.055385,407.2,140.4,2708.9,116.5,3511.4,301.5,407.4,2707.3,3518.3,269.7,72.2,14.5
0.057385,407.3,142.8,2726.0,134.3,3513.5,321.3,406.8,2724.8,3519.9,268.1,72.1,15.1
0.059385,407.5,141.4,2747.8,149.0,3515.1,343.7,406.1,2746.9,3518.1,266.5,72,15.5
0.061385,407.5,135.4,2771.2,153.9,3516.5,368.5,405.5,2769.9,3514.4,265,71.9,15.7
0.063385,407.0,125.9,2791.1,145.6,3517.6,394.5,405.2,2789.8,3511.2,263.6,71.7,15.6
0.065385,405.7,115.3,2803.7,127.1,3518.5,419.5,405.4,2803.8,3510.3,262.2,71.4,15.2
0.067385,403.8,106.5,2808.0,105.7,3517.5,437.0,406.1,2810.7,3512.5,260.8,71.1,14.4
0.069385,402.3,100.7,2806.9,89.1,3512.1,439.8,407.2,2811.5,3517.2,259.5,70.7,13.1
0.071385,403.2,96.6,2804.9,78.3,3507.1,437.2,408.4,2808.7,3522.9,258.2,70.2,11.7
0.073385,408.7,91.8,2805.9,71.9,3515.3,450.0,409.3,2805.4,3527.4,256.9,69.6,10.2
0.075385,418.7,83.5,2811.2,66.7,3550.1,490.1,409.6,2804,3529.1,255.6,68.8,9.1
