time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025746,463.5,66.0,2566.7,71.1,3193.5,46.5,467,2566.9,3188.8,239.9,72.7,19.9
0.027746,466.4,65.8,2579.7,67.4,3184.9,51.4,466.5,2578,3183.8,240.7,72.6,19.8
0.029746,468.4,65.2,2595.3,65.9,3174.9,59.4,466,2595.8,3178,241.3,72.6,19.6
0.031746,468.8,65.0,2615.8,68.6,3167.7,70.9,465.7,2618.8,3174.7,241.8,72.5,19.4
0.033746,467.5,66.2,2644.4,73.9,3172.0,86.5,465.7,2644.5,3176.9,242,72.3,19.2
0.035746,465.1,68.7,2672.7,74.3,3190.2,101.6,465.6,2669.7,3186.5,242.1,72.2,19.1
0.037746,462.5,71.9,2692.4,69.0,3213.9,112.5,465,2690.9,3204.1,242.1,72,19.1
0.039746,460.3,74.6,2703.9,62.8,3235.3,121.7,463.2,2705.7,3228.4,241.9,71.8,19.3
0.041746,458.3,76.2,2711.3,58.1,3254.0,135.4,460,2713.4,3256.5,241.7,71.6,19.7
0.043746,456.0,76.6,2715.2,55.1,3272.5,156.5,455.6,2715.2,3285.1,241.3,71.4,20
0.045746,453.0,77.1,2716.2,52.4,3300.3,180.7,450.3,2714.2,3310.9,240.9,71.1,20.1
0.047746,449.1,78.6,2715.3,50.3,3337.3,196.4,445,2713.7,3331.9,240.4,70.8,19.9
0.049746,442.8,81.6,2715.7,52.0,3363.7,209.2,440.1,2716.5,3347.6,239.9,70.5,19.4
0.051746,434.2,84.1,2720.8,59.1,3366.8,237.4,435.7,2723.1,3359,239.2,70.1,18.7
0.053746,426.0,83.0,2730.6,69.9,3359.1,286.1,431.4,2732.2,3368.2,238.5,69.6,18
0.055746,421.5,79.5,2741.4,82.3,3362.8,335.9,426.6,2740.8,3377.4,237.7,69.1,17.2
0.057746,419.6,75.3,2749.7,101.3,3386.2,360.3,420.8,2745.9,3388.3,236.8,68.5,16.6
0.059746,417.5,70.4,2750.1,138.9,3411.4,345.3,413.8,2745.8,3401.2,235.8,67.9,15.9
0.061746,413.5,65.6,2736.6,190.8,3421.8,312.8,406.3,2740.8,3415.1,234.8,67.2,15.2
0.063746,407.6,64.8,2723.7,206.0,3427.6,292.8,399.4,2733.4,3427.7,233.6,66.5,14.5
0.065746,396.9,69.7,2726.1,183.2,3434.4,291.9,394.6,2727,3436.6,232.2,65.7,13.7
0.067746,378.7,78.3,2733.2,159.8,3436.3,305.2,392.8,2724.5,3439.8,230.7,65,12.7
