time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025424,433.2,25.1,2521.9,250.1,3236.4,4427.9,420.9,2559.5,3283,230.4,72.7,15.7
0.027424,432.3,27.7,2565.8,259.0,3308.0,136.8,423.2,2567.9,3293.8,230.2,72.4,16.5
0.029424,431.1,30.3,2595.1,247.8,3323.6,145.1,426.4,2581.3,3311.1,230,72.1,17.4
0.031424,429.8,33.1,2614.5,230.8,3344.2,156.3,429.9,2598.8,3334.5,229.8,71.7,18.1
0.033424,428.4,35.9,2629.9,217.3,3370.0,168.1,432.8,2619,3362.9,229.6,71.4,18.6
0.035424,426.3,39.4,2646.8,207.4,3402.5,177.4,434.3,2640.8,3395.4,229.3,71.1,18.7
0.037424,423.1,43.8,2665.4,200.5,3438.6,180.5,433.5,2662.7,3430.9,229,70.7,18.6
0.039424,418.8,49.3,2684.0,194.8,3474.2,178.0,429.9,2683.4,3468.3,228.7,70.4,18.4
0.041424,413.0,56.1,2702.9,185.8,3509.7,173.6,423.1,2702,3506.6,228.3,70.1,18.1
0.043424,406.2,62.9,2718.5,171.2,3542.0,171.7,413.3,2717.6,3545.1,228,69.8,18
0.045424,397.6,69.5,2730.2,153.3,3575.1,174.7,401,2729.9,3583,227.6,69.5,17.9
0.047424,387.6,74.8,2737.7,138.3,3610.0,182.8,386.8,2738.7,3619.9,227.1,69.2,17.7
0.049424,377.4,79.0,2741.2,128.0,3645.7,193.4,371.8,2744.3,3655.4,226.7,68.9,17.6
0.051424,366.8,82.6,2741.4,120.2,3683.7,203.6,357.1,2747.2,3689.4,226.2,68.6,17.6
0.053424,357.2,85.2,2740.2,113.6,3720.4,209.6,344,2748.1,3721.8,225.7,68.3,17.5
0.055424,347.7,87.3,2740.1,106.2,3758.4,209.2,333.6,2747.7,3752.7,225.2,68,17.5
0.057424,339.1,89.9,2742.2,99.3,3793.0,203.9,326.5,2746.9,3782.2,224.6,67.7,17.6
0.059424,331.7,93.6,2745.5,97.0,3818.7,202.7,323.4,2746.4,3810.2,224,67.3,17.6
0.061424,325.4,97.8,2749.9,102.9,3837.4,212.6,324.3,2746.8,3836.7,223.5,66.9,17.6
0.063424,321.7,100.0,2755.9,116.0,3853.9,232.8,329,2748.4,3861.8,222.9,66.4,17.4
0.065424,322.4,99.8,2763.2,133.7,3877.0,261.4,336.7,2751.3,3885,222.3,65.9,17
0.067424,329.6,98.8,2767.0,151.5,3906.3,293.3,346.5,2755.6,3906.3,221.7,65.3,16.3
0.069424,342.1,97.2,2764.4,164.7,3931.7,324.3,357.3,2761,3925.3,221.1,64.8,15.6
0.071424,357.6,92.6,2760.9,167.1,3948.0,351.8,367.9,2767.1,3941.6,220.5,64.2,14.9
0.073424,372.0,85.0,2765.3,153.6,3957.5,357.2,377,2773.4,3955,219.9,63.7,14.4
0.075424,382.9,77.4,2775.2,134.2,3965.1,329.3,383.7,2779.6,3965.1,219.3,63.3,14.1
0.077424,390.9,71.9,2784.7,121.3,3969.8,281.4,387.5,2785.3,3971.9,218.8,62.9,13.8
0.079424,395.6,69.8,2790.8,123.1,3971.2,242.8,387.8,2790.1,3975.2,218.3,62.5,13.6
0.081424,396.7,70.1,2795.6,141.7,3971.3,225.2,384.8,2794.1,3975.2,217.8,62.2,13.5
0.083424,393.4,72.4,2800.3,174.2,3971.0,232.3,378.9,2797,3972.1,217.3,61.9,13.4
0.085424,385.9,75.9,2803.3,208.2,3968.8,255.9,370.8,2799.2,3966.2,216.9,61.6,13.4
0.087424,373.8,80.2,2800.8,230.0,3960.8,286.2,361.2,2800.8,3958.1,216.5,61.2,13.5
0.089424,358.8,85.1,2793.6,227.1,3945.5,309.3,351.1,2802.1,3948.3,216.2,60.8,13.6
0.091424,342.2,93.7,2787.8,204.9,3927.0,322.4,341.4,2803.4,3937.3,215.9,60.5,13.7
0.093424,327.6,108.5,2789.2,184.3,3916.1,337.8,332.8,2804.9,3925.7,215.6,60.1,13.7
0.095424,314.3,127.0,2799.0,185.7,3916.4,378.7,326,2806.9,3914,215.4,59.7,13.7
0.097424,302.3,136.4,2816.5,228.6,3917.1,452.3,321.2,2809.2,3902.8,215.2,59.3,13.6
0.099424,294.5,132.6,2837.0,325.6,3905.3,552.8,318.3,2811.9,3892.4,215.1,58.9,13.5
0.101424,293.4,120.6,2852.4,490.1,3890.1,671.0,317.1,2814.9,3883.3,215,58.4,13.4
0.103424,300.4,107.1,2844.1,674.5,3872.8,757.4,317.3,2817.9,3875.5,214.9,57.9,13.1
0.105424,312.6,95.7,2818.7,797.0,3866.3,753.1,318.2,2820.6,3869.3,214.9,57.2,15.9
0.107424,327.5,87.3,2805.7,870.8,3875.8,706.2,319.4,2822.8,3864.9,214.8,56.6,21.9
0.109424,341.8,83.8,2814.2,939.5,3889.0,720.4,320.3,2824.2,3862.1,214.9,55.8,26.1
0.111424,356.0,85.9,2797.1,1010.8,3813.0,1035.1,320.6,2824.7,3861.2,214.9,55,23.8
