time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025254,377.5,82.5,2421.6,82.4,3223.3,310.5,388.7,2417,3200,261.5,72,8.5
0.027254,388.8,87.5,2428.6,95.5,3230.0,280.1,390.5,2425,3209.4,261.1,72.1,8.5
0.029254,397.9,91.3,2435.9,112.9,3232.2,264.3,393.3,2437.5,3224.5,260.7,72,9.2
0.031254,404.3,93.6,2445.4,132.3,3235.3,268.8,396.7,2453.5,3244,260.2,72,11
0.033254,407.5,94.0,2460.7,149.1,3242.2,298.3,400.3,2471.6,3266.8,259.7,72,13.2
0.035254,407.5,92.8,2485.1,153.6,3257.8,354.0,403.8,2490.2,3291.5,259.2,72.1,15.5
0.037254,405.9,90.7,2513.9,137.3,3288.4,420.6,406.6,2508,3316.4,258.7,72.1,17.4
0.039254,404.5,89.2,2535.5,109.3,3331.8,465.3,408.7,2523.5,3340.3,258.2,72.1,18.4
0.041254,404.3,89.5,2546.7,85.6,3374.1,475.0,409.8,2535.7,3361.9,257.7,72.1,18.9
0.043254,405.3,91.3,2550.3,71.9,3403.5,469.3,409.9,2544.1,3380.6,257.1,72.1,19
0.045254,407.0,92.5,2548.6,67.8,3416.2,469.2,409.3,2548.5,3395.8,256.5,72,18.9
0.047254,408.8,92.2,2543.1,70.8,3417.2,469.6,408.1,2549.1,3407.3,255.9,72,18.7
0.049254,409.5,91.4,2535.9,76.1,3417.3,450.9,406.7,2546.4,3415.5,255.4,71.9,18.7
0.051254,408.1,89.8,2530.4,78.7,3422.6,416.6,405.1,2541.5,3420.9,254.8,71.9,18.6
0.053254,405.3,86.7,2528.2,78.0,3428.4,386.7,403.8,2535.4,3424.3,254.2,71.9,18.4
0.055254,403.1,82.9,2528.0,77.1,3428.6,372.7,402.6,2529.3,3426.5,253.6,71.9,18.2
0.057254,402.6,80.2,2528.6,78.8,3424.0,373.7,401.7,2524.2,3428.3,253,71.9,18.1
0.059254,402.7,79.7,2529.9,83.3,3420.3,384.0,400.8,2520.9,3430.4,252.4,71.9,18.2
0.061254,401.6,80.4,2531.3,87.4,3421.7,396.1,399.8,2520.1,3433.4,251.8,72,18.5
0.063254,398.3,81.1,2531.2,88.2,3427.6,401.4,398.4,2522.1,3437.3,251.2,72,18.9
0.065254,393.7,82.1,2529.7,86.5,3434.8,398.2,396.2,2526.8,3442,250.6,72,19.3
0.067254,389.2,84.4,2529.7,85.1,3441.4,395.0,393.3,2533.9,3447.2,250,72,19.6
0.069254,385.2,88.6,2533.7,85.2,3448.6,399.0,389.4,2542.7,3452.2,249.4,72,19.7
0.071254,381.6,94.0,2542.1,86.7,3459.2,410.8,384.7,2552.4,3456.2,248.8,72,19.7
0.073254,378.5,100.0,2554.7,89.1,3472.6,429.1,379.4,2562.4,3458.1,248.3,71.9,19.6
0.075254,375.9,105.4,2571.1,90.8,3480.6,453.6,374,2571.5,3457.2,247.7,71.8,19.5
0.077254,373.4,108.9,2586.4,89.4,3474.7,478.9,368.9,2579.3,3452.8,247.1,71.6,19.4
0.079254,370.2,110.4,2593.8,87.0,3453.2,497.9,364.6,2584.9,3444.2,246.6,71.4,19.4
0.081254,366.4,110.7,2592.4,87.0,3424.3,511.5,361.5,2588.2,3431.4,246.1,71.3,19.6
0.083254,362.9,110.5,2587.0,88.7,3398.6,524.9,360.1,2589.1,3414.6,245.6,71.1,19.8
0.085254,360.5,110.2,2582.2,89.7,3376.8,540.5,360.4,2587.5,3394.3,245.1,70.9,19.9
0.087254,359.4,110.1,2579.2,90.6,3352.5,557.1,362.5,2584,3371.5,244.6,70.6,20
0.089254,360.3,110.3,2577.3,93.0,3327.2,571.9,366,2578.9,3347.5,244.1,70.3,19.9
0.091254,363.8,111.0,2575.8,95.3,3314.3,585.6,370.5,2573,3323.6,243.6,69.9,19.8
0.093254,369.6,111.1,2573.9,95.8,3317.9,603.3,375.5,2567,3301.3,243.2,69.5,19.5
0.095254,376.1,109.0,2570.1,96.2,3322.1,629.3,380.3,2561.4,3282.2,242.8,69,19.1
0.097254,382.7,104.2,2563.4,99.7,3307.0,664.1,384.2,2557,3267.5,242.4,68.5,18.4
0.099254,390.4,96.9,2552.7,106.4,3262.7,690.5,386.8,2554.1,3258.3,242,67.9,16.9
0.101254,400.5,87.5,2536.8,112.2,3201.4,676.6,387.7,2553.2,3255.1,241.7,67.4,15
