time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025385,430.7,55.9,2399.0,182.1,2999.1,241.4,431.2,2569.1,3146.9,223.4,70,3.6
0.027385,435.2,49.1,2453.0,179.8,3044.4,259.0,431.1,2570.1,3148.7,222.9,70.4,5.8
0.029385,436.3,44.6,2499.9,164.4,3092.4,285.7,430.8,2571.8,3151.7,222.4,70.7,8.4
0.031385,435.6,41.6,2532.9,145.2,3135.6,320.3,430.5,2574.2,3155.8,221.9,70.9,11.2
0.033385,434.6,39.5,2554.9,129.8,3164.8,356.9,430.1,2577.2,3161.1,221.3,71,13.8
0.035385,433.8,37.9,2575.8,116.1,3182.6,390.3,429.5,2580.8,3167.4,220.7,71.1,15.8
0.037385,433.5,36.4,2596.2,102.7,3193.2,411.9,428.9,2585,3174.7,220.1,71.2,17.2
0.039385,433.0,34.9,2614.1,88.7,3204.1,418.1,428.2,2589.7,3182.9,219.4,71.2,18.2
0.041385,431.9,33.3,2626.5,76.7,3220.4,403.9,427.4,2594.9,3191.9,218.7,71.3,18.9
0.043385,430.2,32.0,2632.7,71.1,3242.8,377.3,426.6,2600.6,3201.6,218,71.3,19.4
0.045385,427.9,30.8,2636.9,73.3,3266.7,353.2,425.6,2606.7,3212,217.3,71.3,19.9
0.047385,425.4,29.6,2642.4,82.8,3280.2,344.6,424.6,2613.2,3222.9,216.5,71.4,20.4
0.049385,422.8,28.5,2652.5,97.8,3282.8,355.0,423.6,2620,3234.2,215.8,71.4,20.8
0.051385,420.2,27.8,2667.5,113.9,3282.6,383.6,422.5,2627,3245.9,215,71.3,21
0.053385,418.0,27.9,2682.4,122.8,3290.3,415.5,421.3,2634.2,3257.7,214.2,71.3,21.1
0.055385,416.2,28.8,2693.5,119.9,3309.3,428.0,420,2641.6,3269.6,213.4,71.2,21.1
0.057385,414.8,30.1,2698.6,107.2,3327.5,405.1,418.8,2649,3281.4,212.6,71.1,20.9
0.059385,413.9,31.5,2700.7,90.6,3336.1,363.9,417.5,2656.5,3293.1,211.8,70.9,20.6
0.061385,413.0,32.6,2702.7,75.2,3339.1,332.1,416.1,2664,3304.6,211,70.8,20.2
0.063385,411.5,33.0,2705.5,65.8,3345.6,327.3,414.7,2671.4,3315.7,210.2,70.6,19.7
0.065385,408.7,32.9,2707.7,62.4,3360.1,334.9,413.3,2678.6,3326.4,209.3,70.4,19.2
0.067385,404.7,32.4,2707.3,64.9,3375.0,324.1,411.9,2685.7,3336.6,208.5,70.3,18.7
0.069385,400.5,32.1,2705.5,73.3,3381.6,296.9,410.4,2692.6,3346.1,207.7,70.2,18
0.071385,397.6,32.0,2706.7,86.9,3376.6,281.1,408.9,2699.3,3355.1,206.9,70.2,17.3
0.073385,396.8,31.6,2714.2,101.1,3360.9,293.9,407.4,2705.7,3363.3,206.1,70.4,16.8
0.075385,397.5,30.1,2726.6,111.4,3338.2,335.4,405.9,2711.7,3370.7,205.3,70.5,16.5
0.077385,398.2,27.6,2737.9,114.0,3319.3,391.4,404.4,2717.5,3377.3,204.5,70.7,16.7
0.079385,398.4,24.9,2747.1,110.0,3310.6,451.4,402.8,2722.8,3383.2,203.8,70.8,17.3
0.081385,398.2,22.8,2755.0,103.0,3311.4,514.0,401.3,2727.8,3388.1,203,71,17.9
0.083385,398.0,21.5,2759.5,97.1,3313.8,563.9,399.7,2732.4,3392.3,202.2,71.1,18.6
0.085385,397.4,20.8,2757.8,93.3,3314.9,574.6,398.1,2736.6,3395.6,201.5,71.2,19
0.087385,396.4,20.1,2749.7,89.3,3320.4,533.5,396.6,2740.4,3398,200.8,71.3,19
0.089385,395.1,19.1,2741.2,81.4,3332.3,479.8,395,2743.8,3399.7,200,71.5,18.9
0.091385,393.9,17.6,2736.4,70.2,3347.4,441.9,393.4,2746.9,3400.6,199.3,71.6,18.7
0.093385,393.5,15.8,2734.6,59.6,3362.7,421.2,391.8,2749.5,3400.8,198.6,71.8,18.5
0.095385,393.6,14.3,2732.4,51.0,3375.8,404.0,390.2,2751.7,3400.3,197.9,72,18.5
0.097385,393.8,13.3,2728.1,46.4,3380.3,385.4,388.7,2753.6,3399.1,197.2,72.1,18.7
0.099385,393.9,12.7,2721.7,45.3,3380.2,370.3,387.1,2755.2,3397.4,196.5,72.3,18.9
0.101385,393.1,12.4,2713.9,47.5,3391.8,367.2,385.6,2756.4,3395.1,195.9,72.3,19.2
