time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025129,332.0,80.7,2743.5,160.6,3490.9,142.4,335.5,2787.7,3553.8,271.9,71,9
0.027129,335.5,87.4,2752.6,145.6,3519.1,148.5,335.8,2788.4,3554.6,271.6,70.9,9.4
0.029129,338.6,89.9,2750.8,130.9,3538.6,142.4,336.4,2789.7,3556,271.4,70.8,10.4
0.031129,341.0,91.2,2745.8,122.2,3547.4,134.3,337.3,2791.4,3557.8,271.1,70.7,12.6
0.033129,342.6,92.1,2743.8,121.7,3551.7,130.9,338.4,2793.5,3560.2,270.8,70.6,15.3
0.035129,343.3,91.8,2746.8,129.8,3555.5,132.8,339.7,2796.1,3563,270.5,70.7,18
0.037129,343.2,89.8,2755.0,147.5,3559.4,139.1,341.2,2799.2,3566.2,270.2,70.7,20.2
0.039129,342.5,87.0,2768.6,174.2,3563.4,148.4,342.9,2802.6,3569.9,269.9,70.8,21.6
0.041129,341.8,85.0,2786.9,204.8,3567.7,159.9,344.9,2806.4,3573.9,269.6,70.9,22.4
0.043129,341.6,84.7,2808.0,231.0,3572.2,172.3,347.1,2810.5,3578.2,269.2,71,22.7
0.045129,342.5,86.3,2828.7,247.0,3577.7,184.4,349.4,2815,3582.8,268.9,71.1,22.8
0.047129,344.3,89.3,2847.1,251.4,3585.4,195.0,352,2819.7,3587.7,268.5,71.1,22.9
0.049129,347.0,93.8,2862.1,245.4,3597.0,202.3,354.7,2824.6,3592.6,268.2,71.2,23
0.051129,350.5,99.4,2873.7,232.3,3612.1,205.2,357.5,2829.7,3597.7,267.8,71.2,23
0.053129,354.8,106.2,2883.3,216.7,3628.0,204.0,360.6,2835,3602.9,267.4,71.2,22.9
0.055129,359.8,113.6,2891.8,201.2,3641.0,199.7,363.7,2840.3,3608,267,71.1,22.7
0.057129,365.3,120.7,2899.1,188.1,3648.6,193.1,367,2845.8,3613.1,266.6,71.1,22.6
0.059129,371.0,126.9,2904.0,178.3,3650.5,184.4,370.4,2851.2,3618.1,266.2,71.1,22.5
0.061129,377.3,132.6,2905.7,170.7,3649.5,175.3,373.8,2856.6,3622.8,265.8,71,22.4
0.063129,384.5,138.2,2905.4,163.2,3649.4,168.7,377.4,2862,3627.4,265.3,71,22.2
0.065129,392.2,143.0,2905.5,155.5,3653.1,166.9,381,2867.2,3631.6,264.9,70.9,22.1
0.067129,399.1,145.9,2907.9,148.9,3661.0,169.5,384.6,2872.3,3635.5,264.4,70.9,22.1
0.069129,404.3,146.5,2911.5,143.9,3669.1,173.8,388.3,2877.3,3639.1,263.9,70.8,22.1
0.071129,407.6,145.2,2914.1,139.8,3671.4,177.6,392,2882,3642.2,263.4,70.7,22.2
