time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025633,500.5,82.3,2088.8,174.7,3197.9,256.2,519.7,2303.8,3328.2,279.8,72.5,8
0.027633,510.8,63.5,2136.8,185.9,3220.4,315.0,518.5,2307.9,3328.6,279.7,72.8,6.6
0.029633,514.9,56.2,2201.1,195.8,3250.0,400.9,516.4,2314.7,3329.4,279.6,72.9,7.9
0.031633,514.6,54.1,2258.9,192.6,3292.0,474.1,513.6,2324,3330.4,279.5,73,10.3
0.033633,510.9,55.5,2301.4,187.6,3332.7,500.4,510,2335.9,3331.8,279.4,73,13
0.035633,505.1,59.6,2336.3,195.4,3357.1,492.7,505.8,2350.2,3333.6,279.3,72.9,15.4
0.037633,498.4,64.8,2377.6,215.5,3372.4,480.1,500.9,2366.7,3335.7,279.2,72.8,17
0.039633,491.8,68.2,2425.5,235.2,3384.9,468.8,495.4,2385.3,3338.2,279.1,72.7,18.1
0.041633,485.8,68.6,2467.5,242.7,3393.1,451.2,489.4,2405.8,3341.2,278.9,72.6,19
0.043633,480.0,68.2,2495.8,242.7,3396.3,428.8,483,2427.9,3344.6,278.7,72.5,19.8
0.045633,474.2,68.9,2513.2,246.1,3397.2,416.4,476.2,2451.5,3348.5,278.5,72.4,20.4
0.047633,468.2,71.7,2529.3,256.8,3398.3,422.8,469.2,2476.3,3352.9,278.3,72.3,21
0.049633,462.1,76.5,2549.8,274.3,3400.3,448.1,462,2502,3357.9,278.1,72.2,21.5
0.051633,456.0,82.7,2576.3,298.3,3401.3,486.8,454.7,2528.5,3363.6,277.8,72.1,21.8
0.053633,449.9,89.1,2608.9,332.6,3398.2,539.8,447.3,2555.5,3369.8,277.6,72,22.1
0.055633,444.6,94.8,2646.8,375.2,3392.0,612.0,440.1,2582.8,3376.7,277.3,71.9,22.3
0.057633,439.6,99.7,2692.6,417.0,3386.6,708.0,433,2610,3384.3,276.9,71.8,22.5
0.059633,434.6,103.2,2742.6,437.7,3388.4,815.5,426.2,2636.9,3392.6,276.6,71.7,22.5
0.061633,429.4,104.9,2782.8,422.1,3406.4,904.2,419.7,2663.4,3401.6,276.2,71.7,22.5
0.063633,424.0,104.2,2800.7,384.2,3436.0,935.7,413.6,2689.2,3411.3,275.8,71.6,22.5
0.065633,419.2,101.5,2800.0,354.0,3455.2,910.2,407.9,2714.2,3421.8,275.4,71.6,22.4
0.067633,414.7,97.7,2792.0,340.1,3461.6,860.9,402.7,2738.1,3433,274.9,71.6,22.3
0.069633,409.8,94.1,2783.6,337.2,3465.6,806.0,398.1,2760.7,3445,274.5,71.6,22.1
0.071633,404.3,91.9,2780.0,332.7,3472.4,757.5,394.1,2782.1,3457.7,273.9,71.5,21.9
0.073633,398.3,91.0,2783.9,317.4,3480.7,726.5,390.7,2801.9,3471.1,273.4,71.5,21.7
0.075633,392.8,90.4,2792.3,296.6,3489.1,719.1,387.9,2820.2,3485.1,272.8,71.5,21.6
0.077633,388.2,89.3,2801.3,279.9,3499.3,731.1,385.8,2836.8,3499.8,272.2,71.4,21.6
0.079633,384.5,88.0,2809.1,272.3,3512.0,756.4,384.3,2851.8,3515,271.6,71.4,21.9
0.081633,381.4,87.1,2815.2,273.4,3524.7,787.1,383.5,2865,3530.7,270.9,71.4,22.2
0.083633,379.0,86.5,2819.9,280.5,3533.9,815.3,383.3,2876.5,3546.9,270.2,71.3,22.6
0.085633,377.2,85.5,2823.7,291.8,3537.4,832.2,383.6,2886.4,3563.5,269.5,71.3,22.8
0.087633,376.0,84.1,2828.8,308.3,3537.3,838.5,384.6,2894.6,3580.3,268.7,71.2,22.7
0.089633,375.3,82.9,2837.0,329.6,3536.8,842.8,386,2901.2,3597.4,267.9,71.1,22.5
0.091633,375.1,82.3,2846.9,352.6,3532.7,855.2,387.9,2906.3,3614.5,267.1,71.1,22.1
0.093633,375.7,82.2,2855.6,370.7,3523.5,883.3,390.2,2909.9,3631.7,266.2,71,21.7
0.095633,377.9,82.3,2863.8,370.1,3523.9,940.8,392.9,2912.3,3648.8,265.3,70.9,21.2
0.097633,382.7,81.6,2875.1,345.9,3542.9,1053.1,395.9,2913.4,3665.6,264.4,70.8,20.8
0.099633,390.2,79.5,2889.1,303.7,3581.9,1232.7,399.1,2913.5,3682.1,263.4,70.7,20.1
0.101633,399.5,76.9,2900.4,258.1,3647.0,1448.2,402.5,2912.7,3698.2,262.4,70.7,19.5
0.103633,409.2,75.0,2904.6,222.1,3753.3,1601.8,406,2911,3713.7,261.3,70.6,18.8
0.105633,417.3,73.6,2901.8,202.3,3854.5,1568.5,409.5,2908.6,3728.5,260.2,70.5,18.4
0.107633,423.2,71.5,2895.9,191.2,3889.6,1427.2,413,2905.7,3742.5,259.1,70.5,18.2
0.109633,427.1,69.3,2890.4,181.3,3890.0,1289.6,416.5,2902.4,3755.6,258,70.4,18.5
0.111633,429.0,67.4,2886.4,174.3,3879.4,1164.4,419.8,2898.7,3767.6,256.8,70.3,18.9
0.113633,428.5,65.8,2883.0,175.7,3848.8,1038.9,423,2894.9,3778.5,255.6,70.2,19.3
0.115633,425.9,64.7,2880.3,185.7,3809.6,925.8,426,2891,3788.1,254.4,70.1,19.4
0.117633,422.0,64.0,2879.0,197.8,3779.7,833.4,428.7,2887.1,3796.3,253.1,70,19
0.119633,418.8,63.5,2882.5,204.4,3765.6,778.3,431.1,2883.2,3803.2,251.8,70,18.1
0.121633,418.4,62.7,2892.7,204.1,3764.2,768.2,433.3,2879.5,3808.4,250.5,70,16.9
0.123633,422.2,60.6,2907.1,200.0,3776.7,793.7,435.1,2876,3812.1,249.2,70,15.6
0.125633,428.8,56.7,2918.5,194.3,3809.6,820.5,436.7,2872.7,3814.2,247.8,70.1,14.7
0.127633,435.6,51.6,2923.3,188.9,3858.2,801.7,437.9,2869.6,3814.5,246.4,70.2,14.2
0.129633,440.6,46.4,2921.6,184.8,3881.4,722.2,438.9,2866.7,3813.1,245.1,70.3,14.3
0.131633,443.3,42.0,2915.1,177.1,3867.1,654.5,439.6,2864,3809.9,243.7,70.4,14.5
0.133633,444.5,38.4,2904.9,158.6,3846.8,592.6,440,2861.5,3804.9,242.2,70.5,14.9
0.135633,444.7,35.9,2893.7,134.6,3829.9,535.0,440.3,2859.2,3798.1,240.8,70.6,15.1
0.137633,444.4,33.9,2883.2,114.9,3814.3,489.5,440.3,2856.9,3789.6,239.4,70.8,15
0.139633,444.2,31.8,2874.1,104.4,3798.2,462.5,440.2,2854.6,3779.3,238,70.9,14.7
0.141633,445.2,28.7,2867.0,102.8,3778.5,453.7,440,2852.2,3767.3,236.5,71.2,14.3
0.143633,447.7,24.7,2862.5,107.6,3751.7,452.2,439.8,2849.7,3753.7,235.1,71.5,13.9
0.145633,450.8,20.5,2860.7,116.2,3719.7,450.8,439.6,2846.8,3738.5,233.6,71.8,13.6
0.147633,453.3,16.7,2859.8,126.4,3684.0,446.7,439.5,2843.7,3721.9,232.2,72.3,13.5
0.149633,454.4,13.6,2857.5,135.7,3646.6,436.7,439.5,2840.1,3703.8,230.7,72.8,13.4
0.151633,454.3,11.1,2851.3,139.9,3608.0,422.3,439.6,2835.9,3684.5,229.3,73.4,13.5
