time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025449,320.2,26.1,2795.0,137.1,3616.0,218.4,326.5,2823.4,3614.7,303.3,74.3,12.7
0.027449,318.0,28.1,2798.9,159.3,3617.7,211.1,326.1,2823.8,3615.8,302.7,74.3,13.4
0.029449,317.1,29.5,2806.8,179.7,3615.9,201.8,325.6,2824.4,3617.5,302.1,74.3,15.7
0.031449,316.9,30.4,2815.8,193.0,3614.0,193.1,324.9,2825.2,3619.9,301.5,74.3,19
0.033449,316.9,31.0,2824.3,201.9,3613.2,188.1,324,2826.2,3623,300.8,74.2,22.5
0.035449,316.8,31.4,2830.3,208.0,3613.7,188.4,323,2827.5,3626.7,300.1,74.2,25.5
0.037449,316.7,32.2,2834.5,209.8,3615.7,193.8,321.8,2828.9,3630.9,299.4,74.1,27.4
0.039449,316.4,33.5,2836.8,205.5,3619.5,204.4,320.5,2830.5,3635.6,298.6,74,27.8
0.041449,316.1,35.2,2837.4,199.4,3624.8,219.9,319.2,2832.3,3640.7,297.8,73.9,27.1
0.043449,315.8,37.0,2837.0,196.3,3631.7,242.9,317.8,2834.2,3646.2,297,73.7,26
0.045449,315.6,38.7,2838.4,196.5,3639.4,274.2,316.3,2836.3,3652,296.2,73.6,24.8
0.047449,315.6,40.4,2844.7,194.9,3648.8,317.5,314.9,2838.4,3658,295.3,73.4,24.1
0.049449,315.6,42.4,2854.4,187.1,3659.2,366.2,313.6,2840.7,3664.2,294.5,73.2,24
0.051449,315.7,44.6,2862.8,175.2,3669.7,403.1,312.3,2843,3670.5,293.6,73,24
0.053449,315.9,47.6,2868.4,161.7,3681.4,417.6,311.2,2845.3,3676.8,292.7,72.8,24.1
0.055449,316.4,50.8,2871.0,148.6,3692.9,410.9,310.2,2847.7,3683,291.8,72.6,24.2
0.057449,317.0,53.9,2871.5,134.4,3703.4,396.7,309.4,2850.1,3689,290.9,72.5,24.3
