time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.026009,317.4,72.7,2815.3,140.7,3699.6,286.8,325.3,2844.8,3787.8,280.8,75.1,24
0.028009,318.5,73.2,2818.4,141.7,3715.2,308.2,325.3,2844.3,3787.5,280.7,75.2,24.9
0.030009,319.4,73.2,2823.3,143.7,3733.1,324.5,325.3,2843.4,3787,280.7,75.3,25.2
0.032009,320.0,72.3,2829.1,148.9,3748.5,340.7,325.3,2842.2,3786.2,280.6,75.4,25.1
0.034009,320.4,70.8,2834.1,157.2,3756.4,363.5,325.2,2840.6,3785.3,280.5,75.5,25
0.036009,320.6,69.9,2836.9,164.3,3756.3,384.6,325.2,2838.8,3784.2,280.5,75.6,25
0.038009,320.7,71.7,2837.5,162.4,3753.3,375.3,325.2,2836.6,3782.9,280.4,75.6,25.4
0.040009,321.0,76.2,2836.9,151.8,3753.3,340.7,325.2,2834.2,3781.4,280.3,75.7,25.8
0.042009,321.5,81.2,2835.1,139.6,3758.9,311.7,325.2,2831.5,3779.8,280.2,75.7,26.3
0.044009,322.0,84.9,2833.1,129.5,3768.4,298.0,325.2,2828.5,3778,280.2,75.8,26.6
0.046009,322.7,86.6,2831.3,120.8,3777.1,293.7,325.2,2825.4,3776,280.1,75.8,26.7
0.048009,323.4,86.7,2829.5,112.4,3780.5,290.9,325.1,2822.1,3774,280,75.8,26.6
0.050009,324.2,85.8,2826.4,102.4,3779.8,286.7,325.1,2818.6,3771.9,279.8,75.7,26.2
0.052009,325.1,84.0,2821.1,90.8,3778.1,284.3,325.1,2815,3769.6,279.7,75.7,25.7
0.054009,325.9,81.2,2813.7,78.9,3777.8,286.8,325.1,2811.3,3767.4,279.6,75.7,25.3
0.056009,326.7,78.4,2805.9,67.9,3779.6,288.8,325.1,2807.6,3765,279.5,75.6,25
0.058009,327.6,76.9,2799.6,59.4,3781.4,282.8,325.1,2803.9,3762.7,279.4,75.5,25
0.060009,328.6,76.5,2794.9,53.1,3780.7,273.5,325.1,2800.1,3760.3,279.2,75.5,25
0.062009,329.5,76.6,2791.8,49.0,3776.5,268.7,325.2,2796.4,3757.9,279.1,75.4,25.1
0.064009,330.2,76.7,2790.0,46.4,3770.8,271.9,325.2,2792.8,3755.6,278.9,75.3,25.3
0.066009,330.5,75.8,2788.8,45.1,3769.1,285.4,325.2,2789.4,3753.3,278.8,75.2,25.3
0.068009,330.2,73.4,2787.9,45.3,3775.9,310.5,325.3,2786.1,3751.1,278.6,75.1,25.2
0.070009,329.7,69.2,2787.4,47.8,3790.4,348.0,325.3,2782.9,3749,278.5,75.1,25.1
0.072009,329.1,64.3,2787.0,53.2,3805.8,396.7,325.4,2780,3747,278.3,75,25
0.074009,328.8,60.2,2786.4,61.0,3813.7,454.1,325.5,2777.4,3745.1,278.1,74.9,24.9
0.076009,329.0,58.4,2785.4,68.2,3810.3,508.2,325.6,2775,3743.3,278,74.8,24.7
0.078009,329.8,59.3,2784.9,71.6,3797.9,517.1,325.7,2772.9,3741.7,277.8,74.7,24.6
0.080009,330.9,62.2,2785.6,70.8,3784.5,474.7,325.8,2771.2,3740.2,277.6,74.7,24.5
0.082009,331.9,65.3,2786.1,67.7,3775.0,426.4,325.9,2769.8,3739,277.4,74.6,24.4
0.084009,332.5,66.8,2785.1,64.8,3770.1,398.5,326.1,2768.8,3737.9,277.2,74.6,24.3
0.086009,332.7,66.5,2782.8,63.9,3768.2,387.6,326.2,2768.1,3737,277,74.6,24.4
0.088009,332.7,65.9,2780.9,65.1,3765.2,380.3,326.4,2767.9,3736.3,276.8,74.6,24.5
0.090009,332.5,66.3,2781.0,67.1,3759.9,365.1,326.6,2768.1,3735.8,276.6,74.6,24.8
0.092009,332.4,68.2,2783.3,67.9,3756.0,340.4,326.8,2768.8,3735.5,276.4,74.6,25.1
0.094009,332.5,70.9,2786.1,67.4,3754.4,312.8,327,2769.8,3735.5,276.2,74.6,25.4
0.096009,332.5,72.9,2787.1,67.0,3752.3,289.5,327.2,2771.3,3735.7,276,74.6,25.5
0.098009,332.4,73.2,2785.5,67.3,3747.0,274.3,327.5,2773.2,3736,275.7,74.7,25.5
0.100009,332.1,72.6,2782.7,67.0,3739.0,264.1,327.7,2775.6,3736.6,275.5,74.7,25.3
0.102009,331.7,72.0,2780.9,65.6,3731.2,258.3,328,2778.4,3737.4,275.3,74.7,25
0.104009,331.2,71.8,2780.7,64.3,3726.4,257.7,328.3,2781.6,3738.4,275,74.7,24.8
0.106009,330.6,71.6,2781.7,65.4,3724.6,261.1,328.6,2785.2,3739.6,274.8,74.7,24.8
0.108009,329.9,72.0,2783.3,70.3,3722.7,265.6,328.9,2789.2,3741,274.5,74.8,24.9
0.110009,329.2,72.9,2785.4,79.3,3718.1,272.9,329.2,2793.5,3742.6,274.3,74.8,25.1
0.112009,328.3,73.5,2786.8,91.2,3712.7,286.8,329.5,2798.2,3744.3,274,74.8,25.3
0.114009,327.2,73.0,2786.5,104.3,3711.1,307.9,329.9,2803.2,3746.2,273.7,74.8,25.6
0.116009,325.9,71.3,2785.1,119.1,3715.1,332.8,330.2,2808.5,3748.2,273.4,74.8,25.7
0.118009,324.6,69.3,2785.5,136.6,3719.8,356.1,330.5,2814.1,3750.3,273.1,74.8,25.9
0.120009,323.4,67.6,2790.0,159.2,3719.5,382.3,330.9,2819.9,3752.6,272.9,74.8,26.1
0.122009,322.4,66.3,2798.5,184.9,3713.1,417.5,331.2,2825.8,3754.9,272.6,74.8,26.2
0.124009,321.8,65.6,2808.8,205.5,3706.2,456.2,331.6,2832,3757.2,272.3,74.8,26.2
0.126009,321.5,66.7,2820.7,210.4,3712.6,471.5,332,2838.3,3759.7,272,74.8,26
0.128009,321.7,69.8,2832.5,201.5,3733.5,450.4,332.3,2844.6,3762.1,271.7,74.8,25.4
0.130009,322.3,72.8,2842.7,193.8,3754.3,427.0,332.7,2851,3764.6,271.4,74.8,24.5
0.132009,323.3,74.9,2852.8,193.4,3770.4,414.1,333,2857.5,3767,271.1,74.8,23.5
0.134009,324.6,76.6,2864.6,197.7,3781.5,402.1,333.4,2863.9,3769.4,270.7,74.8,22.7
0.136009,326.3,78.6,2878.0,203.7,3789.2,385.0,333.7,2870.2,3771.8,270.4,74.7,22.1
0.138009,328.1,80.6,2888.9,207.3,3795.0,367.5,334,2876.4,3774.1,270.1,74.7,21.8
0.140009,329.9,81.8,2893.2,206.3,3800.2,355.9,334.3,2882.6,3776.3,269.8,74.7,21.8
0.142009,331.7,81.8,2891.0,202.7,3804.4,353.7,334.6,2888.5,3778.4,269.5,74.7,21.9
0.144009,333.4,80.6,2888.9,203.0,3805.8,360.2,334.9,2894.2,3780.4,269.2,74.6,22
0.146009,335.0,79.1,2895.3,211.5,3801.4,368.7,335.2,2899.7,3782.2,268.9,74.6,22.2
0.148009,336.5,78.6,2911.3,219.5,3793.5,367.1,335.4,2904.9,3783.9,268.6,74.6,22.3
0.150009,338.1,79.8,2929.6,214.7,3786.1,350.4,335.7,2909.8,3785.4,268.3,74.6,22.6
0.152009,339.6,82.9,2943.0,197.0,3780.3,323.4,335.9,2914.4,3786.7,268,74.6,22.8
0.154009,341.3,87.5,2950.7,175.9,3777.0,294.1,336.1,2918.7,3787.9,267.7,74.6,23.1
0.156009,342.9,92.0,2954.4,159.9,3776.7,271.0,336.2,2922.5,3788.8,267.4,74.7,23.3
0.158009,343.9,93.6,2954.8,154.4,3778.0,262.9,336.4,2926,3789.5,267.1,74.7,23.4
0.160009,344.3,91.8,2952.5,156.4,3778.1,266.3,336.5,2929,3790.1,266.8,74.7,23.5
0.162009,344.4,88.8,2948.2,159.4,3775.5,271.2,336.6,2931.7,3790.4,266.5,74.7,23.6
0.164009,344.3,86.4,2943.5,157.3,3770.4,269.7,336.6,2933.9,3790.5,266.2,74.6,23.8
0.166009,344.0,85.3,2938.6,148.3,3763.9,262.8,336.7,2935.7,3790.4,265.9,74.6,23.9
0.168009,343.3,85.4,2934.2,135.5,3759.2,254.2,336.7,2937,3790,265.7,74.6,24.1
0.170009,342.3,86.7,2930.9,122.4,3758.9,245.9,336.7,2937.9,3789.5,265.4,74.5,24.3
