time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025646,324.6,85.3,2790.0,99.9,3529.4,284.2,320.5,2855.5,3545.7,274.2,72.7,25.8
0.027646,323.6,83.3,2792.1,99.8,3542.7,275.4,320.5,2855.4,3545.8,274.1,72.8,26.4
0.029646,322.5,81.4,2794.4,100.3,3555.3,269.7,320.6,2855.1,3546,274,73,27.2
0.031646,321.6,79.6,2796.5,101.0,3564.8,268.1,320.7,2854.7,3546.2,273.9,73.1,28
0.033646,320.7,78.3,2797.7,102.1,3566.8,269.8,320.8,2854.2,3546.5,273.7,73.2,28.6
0.035646,319.8,77.2,2798.0,103.6,3561.3,272.1,321,2853.6,3546.9,273.6,73.4,29
0.037646,318.9,76.2,2798.3,105.4,3551.1,273.7,321.2,2853,3547.3,273.4,73.5,29.1
0.039646,318.0,74.9,2799.5,107.2,3540.4,275.4,321.4,2852.2,3547.8,273.2,73.6,29.1
0.041646,317.2,73.7,2802.4,109.3,3529.8,279.7,321.6,2851.3,3548.3,273.1,73.7,28.9
0.043646,316.7,73.0,2806.5,111.4,3522.1,287.3,321.9,2850.3,3548.9,272.9,73.8,28.6
0.045646,316.6,73.3,2811.7,113.5,3518.8,297.9,322.2,2849.3,3549.5,272.7,73.8,28.1
0.047646,316.7,74.4,2817.9,115.3,3520.7,310.4,322.5,2848.2,3550.2,272.5,73.9,27.5
0.049646,317.0,76.2,2824.7,116.7,3525.7,322.4,322.8,2847,3550.9,272.3,73.9,26.6
0.051646,317.6,78.4,2831.8,117.9,3532.5,336.0,323.2,2845.8,3551.7,272.1,73.9,25.7
0.053646,318.4,80.7,2838.3,119.4,3539.9,352.5,323.5,2844.5,3552.5,271.8,73.9,25
0.055646,319.3,82.9,2844.1,121.4,3547.5,372.0,323.9,2843.2,3553.4,271.6,73.9,24.5
0.057646,320.2,85.0,2849.6,122.8,3553.6,390.2,324.3,2841.9,3554.3,271.4,73.9,24.6
0.059646,321.0,86.8,2854.3,122.7,3557.4,399.5,324.7,2840.5,3555.2,271.1,73.9,24.9
0.061646,321.5,88.4,2857.6,121.2,3561.5,400.5,325.2,2839.1,3556.1,270.8,73.9,25.5
0.063646,321.8,89.5,2858.5,119.1,3568.1,398.3,325.6,2837.7,3557.1,270.6,74,26
0.065646,322.0,90.1,2857.2,117.0,3576.6,397.5,326,2836.4,3558,270.3,74.1,26.4
0.067646,322.3,90.5,2855.3,114.8,3585.3,401.0,326.5,2835,3559,270,74.2,26.7
0.069646,323.0,91.0,2855.3,112.6,3592.9,410.4,326.9,2833.6,3560,269.8,74.2,27.1
0.071646,323.8,92.0,2858.3,110.2,3601.6,426.2,327.4,2832.3,3561,269.5,74.3,27.3
0.073646,324.9,93.7,2863.1,107.8,3612.2,441.6,327.8,2831,3562,269.2,74.4,27.6
0.075646,326.3,96.2,2868.2,104.8,3623.6,450.0,328.2,2829.8,3563,268.9,74.4,27.7
0.077646,328.2,99.4,2872.2,100.8,3632.3,448.8,328.7,2828.6,3564,268.6,74.5,27.8
0.079646,330.4,103.1,2874.3,96.1,3635.6,441.5,329.1,2827.5,3564.9,268.3,74.5,27.9
0.081646,333.1,107.2,2874.9,91.0,3633.5,434.1,329.5,2826.5,3565.9,268,74.5,27.9
0.083646,336.0,110.9,2874.6,87.3,3625.9,432.1,329.9,2825.5,3566.8,267.7,74.5,27.8
0.085646,338.6,113.8,2873.7,85.3,3612.3,435.6,330.3,2824.6,3567.7,267.4,74.5,27.7
0.087646,340.7,116.1,2872.1,84.7,3593.9,442.8,330.7,2823.9,3568.6,267,74.5,27.4
0.089646,342.3,118.2,2869.9,85.0,3576.6,453.1,331.1,2823.2,3569.4,266.7,74.4,27
0.091646,343.6,120.1,2867.4,85.8,3561.8,470.2,331.5,2822.7,3570.2,266.4,74.4,26.5
0.093646,344.5,121.6,2865.1,86.6,3549.8,494.6,331.8,2822.2,3571,266.1,74.4,26.1
0.095646,345.0,122.4,2863.5,87.1,3537.7,528.1,332.1,2821.9,3571.7,265.7,74.3,25.8
0.097646,345.0,122.6,2863.5,86.3,3525.6,567.5,332.5,2821.7,3572.4,265.4,74.3,25.7
0.099646,344.8,122.6,2865.1,84.1,3512.8,613.6,332.8,2821.6,3573.1,265.1,74.2,25.8
0.101646,344.7,122.8,2867.3,80.7,3496.8,662.3,333,2821.6,3573.7,264.7,74.2,25.8
0.103646,344.9,123.4,2868.8,77.4,3476.0,702.3,333.3,2821.8,3574.3,264.4,74.1,25.9
0.105646,344.3,123.3,2869.3,75.5,3458.7,744.6,333.5,2822.1,3574.8,264,74.1,25.9
0.107646,342.2,121.9,2868.5,75.0,3457.8,794.2,333.7,2822.6,3575.2,263.7,74.1,25.7
0.109646,339.4,119.6,2865.5,75.7,3474.2,822.4,333.9,2823.2,3575.6,263.4,74,25.3
