time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025066,317.8,47.0,2658.8,129.7,3524.9,200.4,339.9,2695.1,3454.9,289.4,77.6,9.9
0.027066,319.3,55.0,2654.0,150.1,3515.2,199.3,339.9,2695,3454.5,289,77.5,11
0.029066,321.9,62.4,2650.4,170.1,3499.0,203.0,339.8,2694.9,3453.9,288.5,77.3,13.4
0.031066,325.0,69.6,2648.0,181.5,3481.4,205.9,339.6,2694.7,3453.2,288.1,77.1,16.3
0.033066,328.4,77.5,2646.9,184.7,3465.9,205.8,339.4,2694.6,3452.2,287.6,76.9,19.3
0.035066,332.0,86.2,2648.8,186.3,3453.7,205.1,339.2,2694.3,3450.9,287.2,76.7,21.6
0.037066,335.3,94.6,2655.3,189.5,3444.6,207.3,338.9,2694.1,3449.5,286.7,76.5,23
0.039066,338.2,102.4,2666.7,192.0,3437.4,214.2,338.6,2693.9,3448,286.3,76.4,23.5
0.041066,340.4,108.5,2678.5,191.4,3433.1,224.7,338.2,2693.7,3446.2,285.9,76.3,23.5
0.043066,342.0,112.6,2686.3,189.3,3431.3,237.0,337.8,2693.5,3444.3,285.4,76.2,23.2
0.045066,343.0,115.6,2689.5,187.0,3429.9,250.4,337.4,2693.3,3442.3,285,76.2,23.1
0.047066,343.7,118.0,2691.1,182.8,3427.1,264.3,337,2693.3,3440.1,284.6,76.3,23.4
0.049066,343.7,119.7,2695.4,174.0,3422.0,279.8,336.6,2693.3,3437.9,284.2,76.4,23.8
0.051066,342.9,119.5,2702.8,162.4,3414.4,293.1,336.1,2693.4,3435.5,283.8,76.5,24.3
0.053066,341.4,117.6,2710.7,152.0,3405.6,301.2,335.7,2693.6,3433.1,283.4,76.6,24.8
0.055066,339.8,114.9,2717.7,144.6,3398.0,305.8,335.2,2693.9,3430.7,283,76.7,25.2
0.057066,338.7,112.8,2723.0,139.6,3393.1,309.2,334.8,2694.4,3428.2,282.7,76.8,25.5
0.059066,338.2,112.0,2726.5,135.9,3390.5,311.0,334.3,2695.1,3425.8,282.3,76.9,25.6
0.061066,338.2,112.4,2728.0,133.7,3390.9,308.9,333.9,2696,3423.3,282,76.9,25.6
0.063066,338.6,113.4,2728.5,132.9,3394.1,303.6,333.5,2697,3420.9,281.7,77,25.6
0.065066,339.3,114.5,2729.7,133.1,3398.7,300.7,333.1,2698.3,3418.6,281.3,77.1,25.7
0.067066,340.0,115.2,2731.9,134.5,3401.5,305.1,332.7,2699.8,3416.3,281,77.1,25.9
0.069066,340.6,115.5,2734.9,137.3,3400.4,318.0,332.4,2701.6,3414.2,280.7,77.2,26.4
0.071066,340.8,115.0,2737.6,140.4,3394.6,335.3,332.1,2703.6,3412.1,280.4,77.3,26.9
0.073066,340.5,114.3,2739.4,142.0,3386.7,349.9,331.8,2705.9,3410.2,280.1,77.4,27.4
0.075066,339.8,113.7,2740.5,140.5,3381.5,357.8,331.6,2708.5,3408.5,279.9,77.4,27.7
0.077066,339.0,113.3,2742.1,136.8,3381.4,360.9,331.4,2711.3,3406.8,279.6,77.5,27.6
0.079066,338.1,112.7,2745.2,132.6,3384.9,363.5,331.3,2714.4,3405.4,279.3,77.5,27.3
0.081066,337.1,111.4,2749.0,129.0,3390.3,369.0,331.3,2717.8,3404.1,279,77.6,26.7
0.083066,336.1,109.6,2752.6,125.2,3397.1,378.6,331.3,2721.4,3403.1,278.7,77.6,26.1
0.085066,335.3,108.0,2755.8,120.4,3405.4,388.9,331.3,2725.3,3402.2,278.4,77.7,25.6
0.087066,334.9,107.6,2758.5,115.0,3414.0,391.0,331.5,2729.5,3401.5,278.1,77.7,25.3
0.089066,334.9,109.0,2760.2,109.8,3424.0,377.3,331.6,2733.9,3401,277.8,77.7,25
0.091066,335.5,111.6,2760.5,106.1,3435.7,351.5,331.9,2738.5,3400.7,277.5,77.7,24.8
0.093066,336.3,114.2,2760.0,105.0,3446.1,327.8,332.2,2743.4,3400.6,277.2,77.6,24.6
0.095066,336.9,115.9,2759.5,107.4,3451.2,316.5,332.6,2748.4,3400.8,276.9,77.6,24.5
0.097066,337.1,116.0,2759.8,113.8,3449.4,316.9,333,2753.6,3401.1,276.6,77.6,24.5
0.099066,336.9,114.8,2760.7,124.1,3441.4,319.2,333.5,2759,3401.6,276.3,77.6,24.6
0.101066,336.9,113.8,2761.8,134.8,3431.8,312.5,334.1,2764.5,3402.3,276,77.6,24.7
0.103066,337.4,113.8,2763.1,142.3,3426.5,298.4,334.8,2770.1,3403.1,275.7,77.6,24.9
0.105066,338.4,115.1,2765.3,145.5,3426.3,284.5,335.4,2775.8,3404.1,275.4,77.6,25.1
0.107066,339.6,116.8,2769.1,144.9,3428.5,275.6,336.2,2781.5,3405.3,275,77.6,25.4
0.109066,340.7,118.0,2774.8,141.7,3430.8,271.0,337,2787.2,3406.6,274.7,77.6,25.9
0.111066,340.8,117.8,2780.6,137.6,3431.9,268.2,337.9,2792.9,3408,274.4,77.5,26.5
0.113066,339.7,116.2,2784.7,135.7,3432.1,265.2,338.8,2798.6,3409.5,274.1,77.5,27
0.115066,337.7,113.7,2786.9,138.4,3431.8,261.8,339.7,2804.1,3411.1,273.8,77.5,27.2
0.117066,335.6,111.6,2788.0,145.7,3431.1,258.0,340.7,2809.6,3412.8,273.4,77.5,27
0.119066,333.8,110.3,2790.1,155.7,3429.6,253.7,341.7,2814.9,3414.5,273.1,77.5,26.3
0.121066,332.2,110.0,2795.4,163.9,3426.8,250.7,342.8,2820.1,3416.3,272.8,77.5,25.4
0.123066,330.9,109.9,2804.2,166.7,3423.5,250.3,343.9,2825,3418.1,272.5,77.4,24.4
0.125066,329.5,109.2,2813.5,165.9,3419.8,252.7,345,2829.7,3419.9,272.1,77.4,23.7
0.127066,328.2,107.9,2819.6,166.3,3415.9,257.2,346.1,2834.2,3421.7,271.8,77.3,23.3
0.129066,327.1,106.5,2822.2,171.1,3412.4,261.9,347.2,2838.3,3423.5,271.5,77.3,23.2
0.131066,326.7,105.7,2822.0,178.9,3411.1,260.6,348.4,2842.2,3425.3,271.2,77.2,23.3
0.133066,327.0,106.2,2821.3,184.4,3411.9,249.9,349.5,2845.7,3427,270.8,77.1,23.5
0.135066,328.6,108.4,2821.4,184.1,3412.4,235.8,350.6,2848.9,3428.7,270.5,77.1,23.8
0.137066,331.4,112.5,2822.0,181.1,3411.4,227.0,351.8,2851.7,3430.3,270.2,77,24.2
0.139066,335.8,118.4,2821.8,179.3,3409.0,225.6,352.9,2854.2,3431.8,269.9,76.9,24.7
0.141066,341.5,125.3,2820.7,181.0,3406.1,229.6,354,2856.3,3433.3,269.5,76.8,25.3
0.143066,348.0,132.5,2819.8,185.3,3404.3,234.7,355.1,2858,3434.6,269.2,76.7,25.9
0.145066,355.0,139.5,2820.5,190.3,3404.8,237.6,356.2,2859.3,3435.9,268.9,76.6,26.3
0.147066,361.6,145.5,2823.1,194.0,3407.5,238.6,357.2,2860.2,3437,268.5,76.5,26.5
0.149066,367.4,150.0,2828.6,194.8,3412.9,241.3,358.2,2860.8,3438.1,268.2,76.5,26.4
0.151066,371.2,152.3,2837.5,190.1,3420.4,247.9,359.2,2861,3439.1,267.9,76.4,26.2
0.153066,373.3,153.3,2847.9,179.2,3427.4,256.0,360.1,2860.8,3440,267.5,76.3,25.9
0.155066,374.4,153.7,2856.5,166.2,3429.9,262.3,361,2860.2,3440.7,267.2,76.2,25.6
0.157066,375.1,154.0,2861.3,156.4,3427.0,266.5,361.9,2859.3,3441.4,266.8,76.2,25.4
0.159066,376.2,154.1,2862.8,149.7,3421.1,270.2,362.7,2858.2,3442.1,266.5,76.1,25
0.161066,378.0,154.1,2862.6,144.4,3415.6,275.0,363.5,2856.7,3442.6,266.1,76.1,24.6
0.163066,380.7,153.9,2862.6,139.1,3411.9,282.5,364.2,2854.9,3443.1,265.8,76,24.2
0.165066,383.8,153.5,2863.4,134.2,3409.2,293.7,364.9,2853,3443.6,265.4,76,24
0.167066,386.5,153.1,2864.2,131.1,3407.2,310.7,365.5,2850.8,3444,265.1,75.9,24.1
0.169066,387.6,152.8,2864.5,129.3,3408.1,340.8,366.1,2848.4,3444.4,264.7,75.9,24.5
0.171066,385.6,152.7,2865.0,125.9,3417.5,387.8,366.7,2845.9,3444.8,264.4,75.9,25
0.173066,380.6,151.9,2866.1,117.3,3437.3,440.6,367.2,2843.3,3445.2,264,75.8,25.6
0.175066,374.6,149.9,2867.1,105.5,3456.0,471.0,367.6,2840.6,3445.7,263.7,75.8,25.9
0.177066,369.1,147.2,2867.3,95.7,3461.2,470.1,368.1,2837.9,3446.2,263.3,75.7,25.8
0.179066,364.1,144.6,2867.0,88.7,3456.4,451.5,368.5,2835.2,3446.7,263,75.7,25.4
0.181066,360.0,142.7,2866.2,84.5,3449.4,425.0,368.8,2832.5,3447.3,262.7,75.6,24.7
0.183066,356.8,141.8,2864.1,82.0,3445.1,398.5,369.2,2830,3448,262.3,75.6,24
0.185066,354.6,141.7,2860.4,81.1,3444.2,383.3,369.5,2827.5,3448.8,262,75.5,23.5
0.187066,353.8,142.5,2855.4,81.4,3445.6,382.9,369.7,2825.1,3449.7,261.7,75.5,23.3
0.189066,354.7,144.0,2849.7,82.2,3450.9,388.5,370,2823,3450.7,261.4,75.4,23.2
0.191066,357.8,145.7,2843.9,82.7,3461.5,384.3,370.2,2821,3451.9,261.1,75.4,23.3
