time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025776,908.6,186.6,2010.7,295.9,2434.8,1073.3,903,1963.1,2560.9,244.4,72.9,13.9
0.027776,903.8,166.5,1988.1,293.2,2470.6,884.7,901.6,1961,2559.8,243.9,73.1,14
0.029776,900.3,147.4,1959.1,254.5,2530.7,722.5,899.3,1957.5,2558.3,243.4,73.3,13.9
0.031776,897.1,135.4,1941.1,213.6,2574.1,621.0,896.3,1952.8,2556.8,242.9,73.4,13.9
0.033776,893.2,130.5,1930.4,186.4,2598.9,569.6,892.7,1947,2555.8,242.4,73.6,14.1
0.035776,888.5,132.6,1924.6,176.1,2610.5,570.4,888.6,1940.4,2555.8,241.8,73.7,14.4
0.037776,882.8,139.1,1920.3,176.3,2616.5,604.9,884.4,1933,2557.6,241.2,73.8,14.8
0.039776,876.5,146.1,1914.5,181.0,2615.5,642.9,880.1,1925.2,2561.5,240.6,73.9,15.3
0.041776,871.1,149.3,1905.8,184.2,2606.9,649.8,876,1917.1,2567.9,239.9,74,15.8
0.043776,867.2,148.2,1894.5,182.5,2600.8,626.0,872.2,1909.1,2577.1,239.3,74.1,16.1
0.045776,865.0,145.8,1885.6,177.6,2608.8,602.6,868.9,1901.4,2589.1,238.6,74.2,16.3
0.047776,864.0,144.0,1881.1,173.7,2627.3,591.4,866.1,1894.1,2603.5,238,74.3,16.4
0.049776,864.1,142.5,1880.9,172.6,2644.7,584.5,863.9,1887.6,2620,237.3,74.4,16.4
0.051776,864.8,141.9,1883.3,174.4,2657.1,580.3,862.3,1881.9,2637.7,236.6,74.5,16.4
0.053776,865.1,143.5,1885.4,178.8,2672.6,585.2,861.2,1877.3,2655.8,235.9,74.5,16.4
0.055776,864.5,147.3,1884.8,184.5,2687.9,603.5,860.6,1873.7,2673.2,235.2,74.6,16.4
0.057776,863.2,152.1,1882.3,191.1,2692.5,638.4,860.3,1871.5,2688.8,234.5,74.6,16.4
0.059776,861.4,157.9,1880.5,199.8,2676.7,697.9,860.2,1870.4,2701.4,233.8,74.6,16.4
0.061776,859.4,164.4,1881.6,211.8,2643.7,768.1,860.2,1870.6,2710.1,233.1,74.5,16.4
0.063776,857.5,172.1,1885.7,227.9,2613.8,833.5,860.1,1872,2713.8,232.5,74.5,16.3
0.065776,856.5,180.4,1890.7,243.4,2612.5,877.2,859.8,1874.5,2712.1,231.8,74.5,16.3
0.067776,856.2,188.8,1893.4,256.1,2633.9,889.9,859.2,1878.1,2704.4,231.1,74.4,16.3
0.069776,856.5,197.3,1891.9,265.0,2660.7,866.3,858.3,1882.5,2690.8,230.4,74.4,16.3
0.071776,857.6,204.4,1888.0,268.9,2676.1,826.3,856.9,1887.7,2671.6,229.8,74.4,16.3
0.073776,859.2,209.8,1885.0,269.3,2675.1,790.4,855.1,1893.5,2647.4,229.1,74.4,16.4
0.075776,860.0,212.5,1885.8,269.5,2658.0,774.1,853,1899.7,2619.4,228.5,74.4,16.5
0.077776,859.0,213.7,1890.6,272.4,2631.9,777.8,850.6,1906.1,2588.8,227.9,74.4,16.6
0.079776,855.6,215.1,1898.4,276.7,2605.7,798.4,848.1,1912.5,2557.1,227.2,74.4,16.8
0.081776,850.6,216.5,1905.6,276.2,2585.4,823.0,845.5,1918.9,2526,226.6,74.4,16.9
0.083776,844.1,217.6,1911.6,266.8,2564.2,850.2,843.1,1925,2497.2,226,74.4,16.9
0.085776,836.7,219.4,1917.2,252.6,2538.2,895.5,841,1930.7,2472.2,225.4,74.3,16.8
0.087776,828.8,224.3,1925.8,241.0,2504.1,1000.2,839.3,1935.8,2452.6,224.9,74.3,16.6
0.089776,821.8,234.1,1939.7,234.7,2457.5,1218.3,838.1,1940.4,2439.6,224.3,74.3,16.4
0.091776,819.4,244.9,1953.2,229.5,2404.3,1497.7,837.5,1944.2,2434,223.7,74.2,16.2
0.093776,823.5,252.5,1960.7,224.4,2370.1,1693.3,837.6,1947.4,2436.3,223.2,74.2,16.3
0.095776,832.3,253.4,1960.1,220.9,2387.1,1688.4,838.2,1949.7,2446.5,222.7,74.2,16.6
0.097776,842.4,250.0,1956.3,217.6,2428.1,1619.5,839.4,1951.2,2464.4,222.2,74.1,17.2
0.099776,851.0,246.4,1955.0,214.2,2470.6,1642.8,841,1951.9,2489.2,221.6,74.1,17.8
0.101776,857.1,242.9,1957.9,209.8,2509.9,1762.2,842.9,1951.9,2519.6,221.1,74.1,18.3
0.103776,861.9,234.5,1961.4,200.2,2560.0,1865.9,844.9,1951.2,2554.3,220.7,74.1,18.5
0.105776,864.4,222.0,1961.5,188.4,2616.4,1846.6,846.9,1949.8,2591.7,220.2,74.2,18.3
0.107776,863.6,210.0,1958.2,180.0,2664.5,1721.2,848.5,1947.7,2630,219.7,74.2,17.9
0.109776,858.8,204.0,1952.9,179.9,2685.1,1558.8,849.6,1945.2,2667.4,219.3,74.1,17.3
0.111776,851.2,207.6,1947.6,190.1,2665.1,1437.2,850.1,1942.2,2702.2,218.8,74.1,16.8
0.113776,842.0,216.7,1941.5,209.7,2615.6,1326.9,849.7,1938.9,2733.2,218.4,74,16.6
0.115776,834.5,219.4,1931.7,228.5,2593.8,1185.2,848.5,1935.3,2759,218,74,16.6
0.117776,830.0,211.6,1918.3,233.3,2650.5,1023.3,846.4,1931.5,2778.9,217.6,73.9,16.9
0.119776,828.0,197.0,1906.9,222.3,2765.3,836.3,843.4,1927.7,2792.4,217.2,73.9,17.3
0.121776,827.5,183.9,1901.3,209.9,2860.1,658.9,839.6,1923.8,2799.6,216.8,73.8,17.6
0.123776,827.5,175.3,1899.7,204.7,2922.9,531.7,835,1920.1,2800.8,216.4,73.8,17.9
0.125776,828.3,172.6,1901.4,209.0,2964.9,481.8,830,1916.5,2796.9,216,73.7,17.9
