time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025503,653.6,844.9,926.3,402.8,2168.3,176.6,601.1,936.8,2172.6,205.3,70.5,18.3
0.027503,632.2,878.4,938.4,362.1,2167.3,166.4,598.1,938.1,2170.3,205.3,70.5,18.7
0.029503,614.9,944.2,941.7,328.4,2164.4,162.4,593.2,940.2,2166.6,205.2,70.5,19.1
0.031503,594.5,1006.3,946.1,299.2,2159.0,164.3,586.8,943,2161.6,205.2,70.5,19.4
0.033503,573.5,1058.3,951.3,275.6,2152.2,171.5,579.1,946.4,2155.5,205.2,70.5,19.5
0.035503,548.2,1135.8,954.6,254.3,2145.2,182.0,570.4,950.3,2148.5,205.1,70.6,19.4
0.037503,514.6,1245.8,955.7,235.3,2139.7,191.8,561.2,954.4,2140.8,205.1,70.7,19.1
0.039503,488.2,1322.0,956.2,223.1,2136.7,194.5,551.9,958.5,2132.8,205,70.8,18.7
0.041503,491.4,1298.9,958.5,217.7,2133.6,188.4,542.9,962.5,2124.6,205,70.9,18.4
0.043503,514.6,1198.0,963.4,217.1,2128.5,177.8,534.5,966.3,2116.6,205,71,18.3
0.045503,530.4,1103.2,969.8,216.5,2120.7,169.3,527.2,969.6,2108.8,204.9,71.1,18.6
0.047503,532.7,1061.3,974.8,214.5,2109.3,166.3,521.1,972.4,2101.6,204.9,71.1,19.2
0.049503,529.2,1058.1,976.8,213.4,2096.6,165.9,516.6,974.5,2095,204.8,71.2,19.8
0.051503,529.9,1044.8,977.6,215.0,2083.9,161.8,513.6,975.9,2089.3,204.8,71.2,20.4
0.053503,535.0,1015.4,978.0,218.5,2075.9,155.2,512.3,976.6,2084.3,204.8,71.2,20.8
0.055503,537.7,993.3,977.2,221.2,2072.6,151.1,512.6,976.5,2080.2,204.7,71.1,21.1
0.057503,535.1,990.5,974.9,221.5,2072.6,152.7,514.3,975.8,2077,204.7,71.1,21.3
0.059503,530.8,1001.0,972.6,219.8,2072.9,158.1,517.3,974.5,2074.5,204.7,71.1,21.3
0.061503,529.5,1012.8,971.5,218.4,2071.5,162.7,521.3,972.7,2072.6,204.6,71.1,21.3
0.063503,533.0,1017.5,971.6,219.0,2068.5,162.9,526,970.6,2071.3,204.6,71.1,21.2
0.065503,537.1,1028.7,971.2,222.3,2065.6,160.4,531.2,968.3,2070.5,204.6,71.2,20.9
0.067503,535.9,1073.6,968.2,227.6,2064.5,159.1,536.5,966,2069.9,204.5,71.2,20.5
0.069503,528.1,1144.1,963.0,232.1,2066.7,161.0,541.6,963.8,2069.4,204.5,71.2,20
0.071503,524.5,1182.3,958.6,236.1,2071.6,164.5,546.4,961.8,2069,204.5,71.1,19.6
0.073503,533.0,1152.6,957.3,241.4,2075.5,168.3,550.6,960.2,2068.5,204.4,71.1,19.3
0.075503,542.6,1109.4,956.9,248.6,2075.4,172.3,554.1,959,2067.8,204.4,71,19.1
0.077503,548.3,1089.7,955.8,258.2,2070.9,173.9,556.8,958.4,2067,204.3,71,19.1
0.079503,552.8,1083.6,955.3,268.0,2066.3,172.8,558.7,958.3,2065.9,204.3,71,19.1
0.081503,558.4,1079.6,956.2,276.4,2064.1,171.5,559.7,958.8,2064.7,204.2,70.9,19.1
0.083503,562.2,1087.0,957.2,280.6,2063.6,170.4,560.1,959.8,2063.3,204.2,70.9,19.1
0.085503,564.2,1089.0,958.8,280.7,2061.8,167.0,560,961.3,2061.9,204.1,70.9,19.1
0.087503,566.1,1057.8,963.2,276.8,2058.9,158.1,559.4,963.2,2060.4,204,70.9,19.2
0.089503,567.1,1001.3,969.9,269.3,2058.4,145.8,558.6,965.3,2059,204,70.9,19.3
0.091503,565.3,938.3,977.3,257.7,2061.0,132.1,557.8,967.6,2057.9,203.9,70.9,19.3
0.093503,560.7,903.4,981.5,245.6,2063.2,121.7,557.1,970,2057,203.8,70.8,19.4
0.095503,554.6,903.0,981.7,236.0,2061.6,115.9,556.7,972.2,2056.4,203.7,70.8,19.3
