time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025181,449.2,12.9,2649.6,174.9,3508.4,577.5,440.9,2627.4,3452.1,224,75.4,16.1
0.027181,453.5,12.9,2628.4,148.8,3472.8,531.8,444.3,2621.9,3448.2,223.6,75.8,15.5
0.029181,456.9,13.8,2608.8,129.5,3435.0,519.5,449.9,2612.8,3441.8,223.2,76.2,14.8
0.031181,459.9,16.0,2589.8,115.9,3404.0,512.4,457.5,2600.4,3433,222.7,76.3,13.9
0.033181,462.6,20.4,2572.5,104.9,3387.0,492.3,466.9,2585.3,3421.8,222.2,76.2,13.1
0.035181,466.1,29.0,2554.7,94.8,3376.5,465.2,478.1,2567.8,3408.5,221.7,75.9,12.4
0.037181,471.7,43.4,2537.5,87.8,3368.4,451.2,490.6,2548.4,3393,221.2,75.5,11.8
0.039181,483.4,65.8,2521.8,84.8,3363.0,461.1,504.2,2527.7,3375.8,220.7,75,11.2
0.041181,505.7,91.3,2507.7,86.3,3360.9,496.6,518.7,2506.3,3357,220.1,74.5,10.6
0.043181,532.9,104.4,2494.7,92.1,3358.2,544.0,533.8,2484.7,3336.9,219.5,74.2,10.3
0.045181,559.5,104.1,2477.2,101.1,3345.0,584.8,549.2,2463.3,3316,218.9,74,10.1
0.047181,581.3,97.0,2453.8,108.4,3320.1,603.0,564.7,2442.5,3294.5,218.4,74.1,10.3
0.049181,599.2,87.3,2428.3,110.3,3292.4,612.7,580,2422.7,3273,217.8,74.2,10.8
0.051181,613.6,77.3,2406.1,110.1,3264.3,633.2,595.1,2404,3251.7,217.2,74.4,11.4
0.053181,623.7,69.3,2388.5,114.0,3234.0,656.8,609.7,2386.7,3231.2,216.6,74.5,11.9
0.055181,631.0,64.1,2370.9,124.2,3198.5,655.0,623.8,2370.6,3211.9,216,74.5,12.1
0.057181,636.1,62.8,2353.7,134.9,3166.7,607.7,637.3,2355.7,3194.2,215.4,74.5,11.8
0.059181,640.5,66.7,2338.4,138.2,3145.4,535.1,650.2,2341.9,3178.4,214.8,74.3,11.1
0.061181,646.0,78.0,2325.2,133.6,3134.6,478.8,662.4,2329.1,3164.8,214.2,74,10.3
0.063181,653.7,95.8,2312.5,130.9,3131.6,476.4,674,2316.8,3153.6,213.6,73.6,9.8
0.065181,665.6,118.2,2299.1,134.0,3136.8,520.4,685,2304.9,3144.9,213.1,73.3,9.7
0.067181,683.4,141.6,2285.5,140.3,3150.8,572.2,695.5,2293.2,3138.8,212.5,73,10.3
0.069181,703.5,157.7,2273.0,147.1,3165.2,592.4,705.5,2281.4,3135.1,212,72.7,11.4
0.071181,723.0,165.9,2261.7,153.3,3175.9,583.8,715.1,2269.2,3133.7,211.5,72.6,12.7
0.073181,737.4,170.0,2253.9,159.3,3181.1,576.5,724.3,2256.6,3134.3,211,72.5,14
0.075181,747.2,175.2,2247.7,168.9,3174.0,579.4,733.1,2243.5,3136.6,210.5,72.5,14.8
0.077181,752.9,183.1,2240.8,181.4,3150.4,570.0,741.5,2230,3140.1,210,72.5,15.1
0.079181,756.8,193.2,2230.4,194.5,3121.8,544.1,749.6,2215.9,3144.3,209.5,72.5,15.2
0.081181,759.9,203.4,2215.7,208.0,3107.6,532.0,757.2,2201.6,3148.8,209.1,72.5,15.1
