time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025224,543.7,100.4,2497.1,111.0,3238.3,293.1,606.1,2462.1,3205.2,221.7,73.7,7.7
0.027224,574.5,107.5,2468.1,103.9,3203.0,288.9,607,2458.8,3202.7,221.4,73.5,7.1
0.029224,601.1,101.8,2446.6,96.5,3175.3,288.2,608.5,2453.4,3198.4,221.1,73.4,7.9
0.031224,622.8,89.2,2431.9,92.7,3163.1,290.2,610.9,2446.1,3192.7,220.8,73.6,9.3
0.033224,637.8,75.9,2421.7,94.4,3164.5,301.0,614.2,2437.1,3185.6,220.5,74,10.8
0.035224,647.9,64.7,2412.9,101.2,3170.4,324.8,618.7,2426.5,3177.4,220.2,74.3,11.9
0.037224,655.1,57.8,2403.4,108.4,3174.0,344.1,624.4,2414.6,3168.4,219.8,74.6,12.3
0.039224,660.3,55.6,2392.9,111.5,3173.7,341.5,631.6,2401.7,3158.7,219.5,74.8,12
0.041224,663.6,57.9,2382.7,113.6,3173.1,334.3,640.2,2388,3148.6,219.1,74.8,11.3
0.043224,665.0,64.3,2373.9,118.7,3170.1,346.6,650.3,2373.9,3138.4,218.8,74.7,10.6
0.045224,665.5,75.7,2365.1,128.8,3158.5,390.1,661.8,2359.4,3128.1,218.4,74.5,10.1
0.047224,666.6,93.1,2354.9,144.6,3133.4,463.4,674.6,2344.9,3118.1,218,74.2,10.2
0.049224,671.5,117.2,2342.6,162.3,3098.7,532.9,688.3,2330.5,3108.4,217.7,73.9,10.7
0.051224,684.7,148.4,2327.9,172.9,3067.3,540.4,702.7,2316.3,3099.2,217.3,73.6,11.3
0.053224,705.7,177.7,2312.4,175.0,3049.5,494.2,717.5,2302.5,3090.4,217,73.3,12.1
0.055224,728.2,197.0,2296.9,181.1,3044.1,458.2,732.1,2289.1,3082.3,216.6,73.2,12.9
0.057224,744.5,205.5,2282.3,197.8,3049.2,460.1,746.2,2276.2,3074.7,216.3,73.1,13.5
0.059224,753.8,206.4,2267.8,223.7,3061.2,504.6,759.3,2263.8,3067.7,215.9,73,14.1
0.061224,760.8,202.0,2250.2,251.5,3075.2,581.0,771.1,2251.8,3061.3,215.6,72.9,14.6
0.063224,769.2,197.3,2230.0,266.2,3085.8,645.2,781.2,2240.4,3055.6,215.3,72.8,15.1
0.065224,778.8,195.5,2211.4,265.8,3091.5,672.1,789.5,2229.4,3050.6,215,72.7,15.6
0.067224,787.9,197.6,2199.6,255.6,3085.7,657.0,795.9,2219,3046.2,214.7,72.7,16.1
0.069224,797.0,204.3,2194.3,238.7,3065.0,597.5,800.2,2209,3042.7,214.4,72.6,16.5
0.071224,808.2,215.5,2191.1,216.6,3038.3,507.4,802.8,2199.7,3040.1,214.2,72.6,16.9
0.073224,818.7,226.9,2188.0,200.0,3020.8,441.8,803.7,2190.9,3038.5,213.9,72.6,17.2
0.075224,823.6,236.0,2185.6,194.9,3014.3,421.8,803.3,2182.8,3038,213.7,72.6,17.5
0.077224,821.5,241.0,2183.6,199.0,3014.4,439.6,802,2175.3,3038.7,213.4,72.6,17.9
0.079224,813.9,240.9,2180.8,209.0,3017.7,483.8,800.2,2168.7,3040.8,213.2,72.6,18.3
0.081224,803.2,235.7,2176.1,224.9,3026.4,550.7,798.2,2162.8,3044.2,213,72.6,18.6
0.083224,793.7,228.3,2170.3,246.1,3042.1,629.0,796.6,2157.8,3049.1,212.8,72.7,19
0.085224,788.3,222.8,2163.9,267.6,3061.2,694.0,795.5,2153.6,3055.4,212.6,72.7,19.4
0.087224,788.6,223.0,2157.8,276.7,3075.3,701.4,795.2,2150.2,3063.1,212.4,72.7,19.9
0.089224,792.9,226.6,2151.2,269.6,3081.2,669.1,795.9,2147.6,3072,212.3,72.7,20.7
0.091224,797.8,229.0,2144.5,254.3,3087.0,653.0,797.5,2145.7,3081.9,212.1,72.7,21.5
0.093224,800.7,228.7,2139.9,240.6,3099.1,669.0,799.9,2144.3,3092.6,211.9,72.7,22.2
0.095224,801.8,226.5,2137.8,229.7,3115.9,677.0,802.8,2143.3,3103.7,211.7,72.6,22.6
0.097224,802.2,223.4,2136.8,219.1,3130.3,634.4,805.8,2142.5,3114.9,211.6,72.5,22.6
0.099224,802.4,219.5,2135.2,207.7,3140.5,558.4,808.4,2141.7,3125.9,211.4,72.4,22.1
0.101224,802.4,213.9,2132.0,196.9,3149.6,482.5,810.3,2140.7,3136.2,211.3,72.4,21.3
0.103224,802.1,207.5,2128.0,187.7,3155.9,422.3,810.7,2139.3,3145.5,211.1,72.3,20.4
0.105224,801.6,201.3,2125.6,176.4,3155.6,371.8,809.3,2137.3,3153.4,211,72.2,19.7
0.107224,800.0,195.9,2126.3,161.5,3147.3,329.9,805.6,2134.6,3159.6,210.8,72.2,19.3
0.109224,796.1,190.0,2128.8,146.0,3135.4,298.1,799.3,2131,3163.9,210.7,72.2,19.1
0.111224,788.4,182.1,2130.5,133.9,3126.2,278.7,790.1,2126.5,3166.3,210.5,72.1,19
0.113224,777.8,172.3,2129.3,127.7,3124.9,274.2,778.2,2121.1,3166.7,210.4,72.2,18.9
0.115224,766.2,161.4,2124.6,125.3,3132.0,281.0,763.5,2114.8,3165,210.2,72.2,18.6
0.117224,754.2,151.9,2116.8,125.1,3145.6,295.9,746.6,2107.8,3161.7,210.1,72.1,18.1
0.119224,741.2,145.3,2107.8,126.5,3162.1,320.7,727.7,2100.3,3156.7,210,72.1,17.2
0.121224,725.5,141.5,2099.1,128.5,3177.2,362.3,707.7,2092.5,3150.7,209.9,72.1,16.2
0.123224,707.5,139.7,2092.0,130.0,3187.1,419.2,687.3,2084.6,3143.8,209.7,72,15.2
0.125224,685.8,137.6,2085.4,131.8,3192.8,494.9,667.2,2076.9,3136.6,209.6,72,14.4
0.127224,659.1,131.0,2077.6,138.9,3200.7,627.2,648.3,2069.8,3129.5,209.5,72,13.9
0.129224,630.1,115.7,2067.3,154.9,3221.3,914.1,631.5,2063.5,3123,209.4,72,13.7
0.131224,605.5,95.6,2055.0,173.4,3213.6,1577.4,617.6,2058.3,3117.5,209.3,72.2,13.6
0.133224,591.2,79.8,2045.0,180.5,2943.5,2064.7,607.1,2054.5,3113.3,209.2,72.4,13.7
0.135224,585.0,69.6,2040.2,174.1,2964.0,2314.2,600.6,2052.1,3110.7,209.1,72.7,14
0.137224,584.1,63.1,2038.2,164.2,3140.5,2883.9,598.5,2051.3,3109.8,209.1,73,14.4
