time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025921,885.7,307.2,1950.9,164.5,3408.8,405.2,885.7,1940.7,3445,214.9,70,21.4
0.027921,881.5,312.8,1946.1,157.4,3423.1,406.3,886,1940.7,3440.8,215,70,21.4
0.029921,880.6,315.7,1943.5,148.4,3442.1,401.3,886.5,1940.8,3434.2,215,70,21.3
0.031921,882.8,316.0,1941.2,141.3,3451.7,398.3,887.3,1940.7,3426,215,70,21.3
0.033921,886.4,314.2,1938.1,139.4,3443.0,405.7,888.3,1940.3,3417,215.1,69.9,21.3
0.035921,890.4,311.0,1935.3,143.1,3418.3,414.8,889.5,1939.5,3408.2,215.1,69.9,21.4
0.037921,894.2,307.0,1934.3,150.1,3394.6,409.3,890.9,1938.2,3400.7,215.1,69.8,21.6
0.039921,897.6,301.7,1934.0,156.7,3384.7,386.1,892.5,1936.2,3395.3,215.1,69.8,21.8
0.041921,900.4,294.5,1931.1,158.2,3389.5,352.4,894,1933.5,3392.7,215.2,69.8,22
0.043921,902.8,286.1,1924.7,153.9,3399.8,319.4,895.6,1930.1,3393.5,215.2,69.8,22.2
0.045921,904.6,278.0,1917.3,147.4,3409.5,298.7,896.9,1926,3397.7,215.2,69.7,22.2
0.047921,904.9,273.8,1912.3,143.9,3414.3,303.7,897.9,1921.3,3405.3,215.3,69.7,22.1
0.049921,902.7,274.0,1909.1,143.6,3414.6,334.8,898.4,1916.2,3415.8,215.3,69.7,21.9
0.051921,898.1,276.1,1906.4,142.3,3416.9,373.5,898.2,1910.8,3428.6,215.3,69.7,21.7
0.053921,892.6,275.7,1904.9,137.3,3428.7,397.0,897.3,1905.5,3442.8,215.3,69.6,21.4
0.055921,886.8,271.6,1905.9,131.1,3451.7,402.2,895.4,1900.4,3457.4,215.3,69.6,21.1
0.057921,881.5,266.4,1908.6,129.1,3477.6,394.7,892.5,1895.7,3471.3,215.3,69.6,20.6
