time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025689,744.8,154.2,2092.1,310.4,3298.4,842.6,753.9,2094.7,3289.1,255.7,73.8,2.4
0.027689,758.6,136.6,2094.8,314.2,3309.3,846.0,756.9,2094.1,3305.1,255.7,74.4,4
0.029689,766.8,128.3,2093.8,320.7,3319.2,829.6,761.7,2092.7,3328.6,255.6,74.7,5.8
0.031689,772.8,127.3,2090.2,324.4,3341.1,804.4,768.1,2090,3355.3,255.4,75,7.8
0.033689,778.2,132.0,2085.4,323.3,3375.9,770.8,775.7,2085.2,3380.8,255.1,75.2,9.7
0.035689,784.4,140.2,2078.9,321.2,3410.2,719.9,784.1,2077.8,3401.4,254.8,75.4,11.5
0.037689,791.4,148.1,2069.0,324.7,3426.8,663.8,792.9,2067.1,3414.7,254.4,75.5,13.1
0.039689,799.0,153.8,2054.7,335.3,3425.8,617.9,801.7,2053,3420,254,75.6,14.6
0.041689,807.5,157.0,2034.6,350.7,3414.5,590.6,810.3,2035.6,3418.3,253.6,75.8,16
0.043689,816.6,158.3,2010.9,367.6,3401.5,588.4,818.6,2015.7,3411.8,253.1,75.9,17.2
0.045689,825.7,159.2,1990.2,383.0,3396.0,600.6,826.8,1994.6,3403.1,252.6,76,18.3
0.047689,836.0,160.1,1973.3,399.7,3398.6,604.7,834.9,1973.9,3395,252.1,76.2,19
0.049689,846.4,160.0,1959.6,417.8,3399.3,587.4,843.1,1955.4,3389.3,251.6,76.3,19.4
0.051689,855.3,157.8,1945.6,433.7,3390.6,564.6,851.7,1940.6,3387.1,251.1,76.4,19.6
0.053689,862.3,154.3,1933.0,438.1,3382.1,556.9,860.4,1930.4,3388.3,250.6,76.5,19.6
0.055689,868.5,150.9,1924.9,432.3,3384.3,566.0,869,1925.2,3392.5,250.1,76.6,19.6
0.057689,874.8,148.3,1922.0,423.1,3398.5,586.5,876.9,1924.4,3398.6,249.6,76.7,19.6
0.059689,880.7,147.0,1923.6,417.8,3415.0,606.1,883.3,1926.5,3405.8,249,76.7,19.4
0.061689,884.8,146.4,1926.8,420.6,3420.9,615.5,887.7,1929.8,3413.6,248.5,76.6,19.2
0.063689,887.1,146.6,1930.1,426.0,3419.7,618.2,889.6,1932.7,3421.5,248,76.6,18.9
0.065689,888.1,147.5,1933.8,420.8,3420.3,622.7,888.6,1933.7,3429.6,247.5,76.5,18.6
0.067689,887.7,149.7,1935.9,397.6,3427.2,636.8,885.2,1932.3,3437.8,246.9,76.3,18.3
0.069689,885.2,153.5,1933.6,363.8,3443.8,646.6,880,1928.5,3445.7,246.4,76.1,17.9
0.071689,879.8,159.2,1926.8,332.5,3467.9,614.5,874.1,1923.4,3453,245.8,75.9,17.4
0.073689,872.0,166.8,1918.7,318.2,3479.1,561.8,868.7,1918.2,3459,245.2,75.6,17
0.075689,863.1,177.6,1912.4,325.9,3468.4,535.1,864.9,1914.4,3462.9,244.6,75.3,16.6
0.077689,854.7,192.3,1908.0,356.2,3437.8,542.1,863.6,1913,3464.3,243.8,75,16.3
