time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025104,675.1,78.4,2159.7,159.9,2758.9,655.5,693.8,2151.5,2708.2,213.2,73.4,15.8
0.027104,685.3,82.7,2154.9,179.2,2709.7,611.7,696.3,2153.1,2705.1,213.1,73.2,16.1
0.029104,696.0,85.4,2150.1,197.2,2690.9,587.9,700.4,2155.5,2700.4,213,73,16.7
0.031104,706.9,86.5,2146.5,210.7,2678.4,586.3,705.9,2158.4,2694.8,213,72.8,17.2
0.033104,718.2,87.0,2148.0,221.0,2661.2,617.5,712.5,2161.6,2689.2,212.9,72.6,17.7
0.035104,728.7,88.7,2156.5,234.1,2644.5,693.0,720,2164.5,2684.6,212.8,72.5,17.9
0.037104,738.6,93.4,2171.5,251.7,2646.2,837.0,728.1,2166.8,2682.1,212.7,72.4,17.9
0.039104,746.3,100.0,2184.1,267.7,2691.3,1009.9,736.4,2168,2682.8,212.6,72.2,17.8
0.041104,752.6,104.9,2185.7,285.8,2748.2,1093.3,744.7,2167.8,2687.4,212.6,72.1,17.7
0.043104,758.8,106.0,2177.3,293.9,2758.2,1057.1,752.7,2165.9,2696.7,212.5,72.1,17.7
0.045104,764.6,105.1,2168.0,279.1,2743.0,1014.5,760,2162.2,2711.3,212.4,72,17.9
0.047104,770.0,103.5,2158.2,251.6,2725.1,998.1,766.5,2156.7,2731.1,212.3,72,18.2
0.049104,773.7,102.0,2145.5,225.1,2716.7,987.2,772,2149.3,2755.9,212.2,72,18.6
0.051104,775.6,101.7,2130.4,203.3,2725.3,977.7,776.5,2140.5,2785.4,212.1,72,19
0.053104,775.4,104.9,2117.1,187.7,2770.3,992.2,779.7,2130.5,2818.5,212,72,19.4
0.055104,774.2,111.3,2108.2,181.0,2840.5,1007.2,781.9,2119.7,2854.1,212,72,19.7
0.057104,773.2,118.3,2100.5,179.8,2900.0,1001.2,783,2108.7,2891.1,211.9,72,19.9
0.059104,773.3,123.4,2093.2,178.0,2932.6,991.5,783.1,2098,2927.9,211.8,71.9,20
0.061104,774.2,126.7,2086.3,172.8,2961.4,980.4,782.4,2088.1,2963,211.7,71.9,20.2
0.063104,775.2,130.0,2080.9,165.5,3022.7,943.5,781.1,2079.6,2995.1,211.7,71.8,20.3
0.065104,775.7,133.8,2077.9,159.9,3105.0,806.4,779.3,2072.7,3022.8,211.6,71.8,20.6
0.067104,776.4,136.4,2075.5,157.7,3115.8,688.9,777.2,2067.8,3045.1,211.5,71.7,20.8
0.069104,777.5,136.3,2073.9,158.6,3089.7,724.7,775,2065.2,3061.1,211.5,71.7,21.2
0.071104,778.5,134.7,2074.1,159.8,3035.2,775.7,772.8,2064.8,3070.3,211.4,71.7,21.5
0.073104,778.4,134.0,2076.7,157.6,3002.3,800.7,770.7,2066.6,3072.5,211.4,71.6,21.8
0.075104,776.7,135.5,2080.2,151.9,3001.5,831.8,768.7,2070.4,3067.9,211.3,71.6,22
0.077104,774.0,138.1,2083.1,145.8,3025.3,838.9,766.9,2075.9,3056.9,211.3,71.6,22.4
0.079104,771.3,139.6,2084.2,142.4,3041.4,782.3,765.3,2082.7,3040.1,211.2,71.6,22.7
0.081104,768.9,139.0,2084.2,141.7,3030.1,738.6,763.9,2090.4,3018.6,211.2,71.6,22.9
0.083104,766.2,136.9,2085.0,143.5,3011.3,768.8,762.4,2098.7,2993.4,211.1,71.6,23
0.085104,762.8,135.2,2089.1,148.2,2987.8,867.7,760.9,2107,2965.5,211.1,71.6,22.7
0.087104,758.1,134.0,2097.6,156.5,2948.9,974.8,759.1,2115.1,2936.2,211.1,71.5,22.2
0.089104,752.9,132.3,2108.6,165.9,2909.8,1006.4,757.1,2122.6,2906.5,211,71.5,21.4
0.091104,748.0,128.7,2120.5,173.2,2877.4,979.8,754.6,2129.4,2877.2,211,71.5,20.7
0.093104,744.0,123.5,2133.1,177.9,2844.9,935.6,751.5,2135.3,2849.3,211,71.5,20
0.095104,740.9,118.6,2145.8,182.0,2814.2,900.8,747.7,2140.5,2823.3,210.9,71.6,19.6
0.097104,737.4,115.0,2159.8,187.3,2788.7,877.4,743.2,2145,2799.5,210.9,71.6,19.4
0.099104,733.5,112.4,2170.9,192.3,2770.5,856.6,738,2149.1,2778.1,210.9,71.6,19.3
0.101104,729.0,109.7,2176.2,196.9,2757.7,813.6,732,2152.8,2759.2,210.8,71.6,19.3
