time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025329,669.0,42.3,2044.7,58.3,2768.0,507.9,678.6,2042.9,2751.6,226.9,74.5,16.4
0.027329,675.8,37.6,2044.0,70.7,2761.8,534.3,678.9,2041.8,2748.4,226.7,74.9,16
0.029329,680.9,34.2,2041.5,88.1,2745.4,556.9,679.6,2040,2742.8,226.5,75.2,15.7
0.031329,685.0,32.1,2037.2,108.3,2728.8,536.1,680.6,2037.6,2734.5,226.4,75.5,15.5
0.033329,688.0,31.2,2032.3,125.5,2711.9,493.9,682.3,2034.7,2723.4,226.1,75.6,15.3
0.035329,690.4,31.2,2027.7,137.9,2691.9,454.9,684.8,2031.4,2709.2,225.9,75.7,15.1
0.037329,692.5,32.6,2024.4,145.0,2674.5,430.3,688.2,2027.9,2692.1,225.7,75.6,14.7
0.039329,694.7,35.3,2021.8,150.4,2659.7,416.7,692.9,2024.1,2672.4,225.5,75.5,14.4
0.041329,697.9,40.0,2019.4,156.1,2646.0,408.8,699,2020.1,2650.8,225.2,75.2,14
0.043329,702.7,46.1,2017.1,161.2,2633.7,403.9,706.5,2015.8,2628.3,225,74.9,13.8
0.045329,710.2,53.3,2014.8,166.2,2622.0,403.3,715.6,2011.1,2606.4,224.8,74.5,13.9
0.047329,721.4,61.1,2011.3,173.6,2608.8,410.2,726.2,2006,2586.3,224.5,74.2,14.3
0.049329,735.1,68.0,2006.0,184.2,2592.0,422.1,738.1,2000.3,2569.5,224.3,73.8,14.9
0.051329,751.3,73.7,1997.0,195.9,2569.3,431.6,751.2,1993.9,2557.4,224,73.6,15.7
0.053329,767.0,77.3,1984.9,200.5,2547.4,433.4,764.9,1986.8,2551.1,223.8,73.4,16.4
0.055329,782.3,80.1,1972.0,193.9,2533.8,439.8,778.9,1978.9,2551.2,223.5,73.2,16.9
0.057329,795.4,83.3,1962.9,178.5,2536.1,460.1,792.6,1970.2,2557.8,223.3,73,17
0.059329,807.1,87.2,1956.6,158.4,2553.5,485.3,805.5,1960.9,2570.4,223,72.9,16.9
0.061329,818.0,91.2,1950.2,137.2,2580.9,497.6,817.1,1951.1,2588.2,222.8,72.8,16.7
0.063329,827.0,94.7,1943.0,119.9,2609.6,487.5,826.9,1940.8,2609.7,222.6,72.7,16.5
0.065329,834.4,98.5,1934.1,106.9,2640.6,458.4,834.5,1930.4,2633.3,222.3,72.5,16.5
0.067329,839.3,102.7,1924.2,100.4,2669.3,414.4,839.8,1919.8,2657.1,222.1,72.4,16.5
0.069329,842.1,108.0,1913.6,100.5,2692.3,361.0,842.8,1909.3,2679.2,221.9,72.3,16.6
0.071329,842.6,116.2,1901.8,108.7,2707.5,312.8,843.5,1898.9,2698,221.7,72.1,16.8
0.073329,841.1,127.0,1889.4,124.3,2715.2,284.5,842.4,1888.5,2712.3,221.5,72,17
0.075329,837.9,139.4,1876.1,145.1,2718.2,271.7,840,1878.2,2721.3,221.3,71.9,17.2
0.077329,834.4,150.9,1862.9,168.7,2717.2,268.7,836.7,1867.7,2724.6,221.1,71.8,17.6
0.079329,832.3,159.8,1852.1,192.6,2712.7,272.5,833.3,1856.9,2722.5,220.9,71.6,18.1
0.081329,831.9,169.5,1842.6,222.2,2705.7,282.1,830.4,1845.6,2715.5,220.7,71.5,18.6
0.083329,832.2,182.5,1833.8,257.2,2698.4,295.6,828.4,1833.9,2704.7,220.5,71.4,19.1
0.085329,831.9,201.2,1823.2,300.8,2691.9,316.1,828,1821.5,2691.2,220.3,71.2,19.3
0.087329,830.8,221.6,1810.6,347.1,2686.3,343.6,829.1,1808.6,2676.2,220.2,71.1,19.3
0.089329,830.6,240.3,1796.9,392.0,2678.0,372.8,832,1795.4,2661,220,70.9,19.1
0.091329,834.1,256.8,1783.4,432.8,2661.1,396.1,836.4,1782,2646.5,219.8,70.6,18.8
0.093329,840.8,271.0,1771.2,467.9,2636.2,410.3,841.9,1769,2633.4,219.7,70.4,18.5
0.095329,848.1,286.2,1758.3,504.9,2608.1,425.1,848.1,1756.8,2622.2,219.5,70.1,18.3
0.097329,853.0,302.8,1745.8,541.5,2588.9,450.5,854.3,1745.8,2613.2,219.4,69.7,18.2
0.099329,856.7,319.1,1735.1,566.3,2582.8,484.7,860,1736.7,2606.3,219.2,69.3,18.2
0.101329,862.1,329.8,1728.1,560.7,2591.8,511.8,864.6,1729.8,2601.6,219.1,69,18.3
0.103329,868.8,331.6,1724.9,528.1,2610.5,520.3,867.5,1725.5,2598.9,219,68.6,18.1
0.105329,873.8,330.8,1723.8,489.9,2630.4,523.8,868.5,1724,2598,218.9,68.1,17.8
