time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025782,658.5,95.2,2365.8,166.4,3019.7,425.3,702.2,2264.8,2970.2,235.4,74.3,13
0.027782,670.8,82.9,2354.0,168.5,3011.0,427.8,702.7,2264,2971.5,235.1,74.6,13.7
0.029782,680.9,73.3,2340.7,170.6,3000.7,436.2,703.6,2262.6,2973.7,234.9,74.9,14
0.031782,688.8,67.7,2327.7,173.9,2991.8,447.0,704.8,2260.8,2976.8,234.6,75.2,14.1
0.033782,694.8,65.1,2314.5,182.1,2983.4,461.8,706.4,2258.3,2980.7,234.3,75.4,14
0.035782,698.7,64.5,2299.5,198.3,2970.9,488.8,708.2,2255.4,2985.5,234,75.5,14
0.037782,700.7,65.4,2281.6,220.5,2952.2,528.2,710.4,2252,2991.1,233.6,75.6,14
0.039782,701.9,68.5,2259.1,242.6,2932.9,565.6,712.9,2248,2997.4,233.3,75.6,13.9
0.041782,703.2,74.1,2234.5,253.6,2924.3,580.1,715.7,2243.6,3004.6,233,75.6,13.8
0.043782,705.7,81.7,2212.2,250.5,2925.6,571.2,718.9,2238.7,3012.4,232.6,75.5,13.7
0.045782,709.9,90.3,2196.8,237.2,2929.2,557.1,722.3,2233.4,3020.9,232.3,75.4,13.8
0.047782,715.8,99.4,2189.2,219.9,2932.2,553.4,725.9,2227.7,3030,231.9,75.3,14.2
0.049782,723.5,109.8,2186.4,201.6,2938.4,558.7,729.8,2221.5,3039.8,231.5,75.3,14.7
0.051782,732.3,121.7,2185.6,186.5,2955.8,563.5,734,2215,3050,231.2,75.2,15.3
0.053782,741.6,134.6,2185.0,177.9,2990.2,570.0,738.4,2208.2,3060.8,230.8,75.1,15.9
0.055782,751.2,147.8,2183.8,175.5,3042.6,578.1,743,2201,3072,230.4,75.1,16.6
0.057782,760.4,159.4,2180.5,176.2,3098.2,572.9,747.8,2193.5,3083.6,230.1,75.1,17.2
0.059782,768.6,168.9,2173.1,177.7,3139.9,556.7,752.8,2185.7,3095.5,229.7,75.1,17.9
0.061782,774.3,175.8,2160.6,178.3,3155.7,550.1,757.9,2177.7,3107.7,229.3,75.2,18.6
0.063782,777.6,181.6,2145.0,175.5,3151.8,561.5,763.2,2169.5,3120.1,229,75.2,19.2
0.065782,780.7,187.8,2130.7,168.1,3142.7,580.8,768.6,2161.2,3132.7,228.6,75.2,19.7
0.067782,785.8,195.5,2121.2,157.7,3146.0,588.2,774.1,2152.6,3145.4,228.3,75.3,20.1
0.069782,794.0,205.1,2114.4,146.7,3169.9,578.5,779.7,2144,3158.2,228,75.2,20.5
0.071782,802.8,214.1,2107.4,139.2,3208.7,565.9,785.3,2135.2,3170.9,227.6,75.2,20.7
0.073782,810.4,221.5,2098.4,135.6,3252.3,549.4,791.1,2126.4,3183.6,227.3,75.1,20.8
0.075782,816.8,228.7,2088.6,134.0,3289.6,516.3,796.8,2117.5,3196.1,227,75,20.7
0.077782,822.5,236.3,2080.1,133.1,3313.5,469.2,802.5,2108.7,3208.5,226.7,74.9,20.2
0.079782,827.5,245.1,2071.9,132.6,3328.5,418.9,808.3,2099.9,3220.6,226.4,74.8,19.5
0.081782,830.5,254.1,2062.3,133.4,3338.7,379.3,814,2091.1,3232.5,226.1,74.7,18.7
0.083782,831.6,263.5,2050.9,136.3,3344.6,351.8,819.7,2082.4,3244,225.9,74.5,17.9
0.085782,832.2,273.5,2039.1,141.2,3346.6,333.5,825.3,2073.8,3255.2,225.6,74.4,17.3
0.087782,834.0,283.8,2028.6,145.6,3346.5,322.2,830.8,2065.4,3265.9,225.3,74.3,16.9
0.089782,838.4,294.8,2019.0,146.0,3343.6,319.5,836.3,2057.1,3276.2,225.1,74.2,16.7
0.091782,845.3,306.6,2011.5,141.6,3335.8,336.8,841.6,2049,3286.1,224.9,74.1,16.5
