time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025132,613.0,87.7,2199.9,50.4,3127.0,255.6,634.3,2195.8,3059.8,219.9,76.8,21.8
0.027132,619.3,82.7,2199.8,52.9,3125.2,246.4,634.4,2195.8,3058.7,219.8,77,21.2
0.029132,625.9,77.2,2198.4,56.7,3113.2,244.0,634.7,2196,3057,219.7,77.1,20.7
0.031132,631.7,72.3,2196.6,60.5,3091.6,249.3,635,2196.1,3054.6,219.6,77.3,20.4
0.033132,636.1,68.6,2195.6,64.5,3063.0,269.0,635.5,2196.3,3051.6,219.5,77.5,20.1
0.035132,638.7,66.1,2195.7,68.6,3035.2,303.4,636.1,2196.5,3048.1,219.4,77.6,19.9
0.037132,640.8,63.4,2196.4,72.4,3010.3,344.4,636.8,2196.6,3044,219.3,77.7,19.8
0.039132,643.1,60.7,2197.2,76.1,2994.2,376.2,637.7,2196.8,3039.4,219.2,77.8,19.6
0.041132,645.4,58.4,2198.0,80.2,2991.7,390.2,638.8,2196.9,3034.4,219,77.9,19.5
0.043132,647.3,56.9,2198.1,86.0,3000.5,391.3,640,2196.9,3029,218.9,77.9,19.4
0.045132,648.8,56.3,2197.0,93.0,3007.5,388.5,641.5,2196.8,3023.4,218.7,77.8,19.4
0.047132,650.4,56.6,2195.4,100.3,3003.0,384.1,643.2,2196.6,3017.5,218.6,77.8,19.4
0.049132,652.2,57.7,2194.4,107.0,2989.9,377.1,645.1,2196.3,3011.5,218.4,77.6,19.4
0.051132,653.9,59.1,2194.1,112.7,2978.4,365.8,647.3,2195.8,3005.5,218.2,77.5,19.4
0.053132,655.7,60.8,2193.5,117.8,2974.3,351.0,649.8,2195.1,2999.4,218.1,77.3,19.5
0.055132,657.2,63.0,2191.8,121.4,2976.4,340.8,652.5,2194.3,2993.4,217.9,77.1,19.6
0.057132,658.6,66.1,2189.5,123.3,2980.2,340.3,655.5,2193.2,2987.6,217.7,76.9,19.7
0.059132,660.3,70.1,2188.7,123.6,2982.7,347.0,658.8,2192,2981.9,217.5,76.7,19.9
0.061132,662.9,74.3,2190.2,124.2,2983.3,353.3,662.3,2190.5,2976.5,217.4,76.5,20.2
0.063132,666.7,78.5,2192.7,126.9,2980.4,356.6,666.1,2188.9,2971.4,217.2,76.3,20.5
0.065132,670.7,82.1,2193.1,132.5,2972.6,362.5,670.2,2187,2966.6,217,76.1,20.7
0.067132,674.0,85.3,2189.5,141.9,2960.9,383.4,674.4,2185,2962.2,216.9,76,20.8
0.069132,676.3,88.3,2183.0,154.4,2949.2,430.6,678.9,2182.7,2958.1,216.7,75.8,20.8
0.071132,678.6,91.6,2176.5,166.8,2938.9,499.2,683.5,2180.4,2954.5,216.5,75.7,20.6
0.073132,682.4,96.1,2172.0,176.8,2929.6,564.7,688.3,2177.9,2951.3,216.4,75.5,20.4
0.075132,687.3,101.8,2170.1,182.2,2924.5,589.7,693.2,2175.3,2948.6,216.2,75.4,20.2
0.077132,693.4,108.8,2169.2,181.8,2924.5,581.1,698.2,2172.6,2946.2,216.1,75.3,20
0.079132,700.1,116.3,2167.5,173.5,2928.8,568.8,703.2,2169.9,2944.2,215.9,75.2,20
0.081132,707.1,123.4,2164.2,160.7,2934.8,565.9,708.2,2167.2,2942.7,215.8,75.1,20
0.083132,714.9,130.3,2159.3,149.3,2939.4,562.3,713.1,2164.5,2941.4,215.6,75,20.1
0.085132,722.4,135.5,2154.1,145.2,2942.1,551.8,718,2161.8,2940.5,215.5,74.9,20.2
0.087132,728.4,139.2,2150.2,149.9,2949.6,554.5,722.8,2159.2,2939.9,215.4,74.8,20.4
0.089132,731.8,141.2,2149.5,162.1,2966.2,589.6,727.4,2156.7,2939.5,215.3,74.8,20.7
0.091132,733.9,142.2,2151.7,174.1,2987.3,637.5,731.8,2154.4,2939.3,215.2,74.8,21.1
0.093132,735.9,142.7,2155.5,179.9,3002.8,673.3,736,2152.2,2939.3,215.1,74.8,21.6
0.095132,737.6,142.6,2158.5,178.4,3003.6,693.5,740,2150.1,2939.4,215,74.8,22
0.097132,739.1,142.5,2160.2,172.8,2994.9,718.5,743.7,2148.3,2939.5,214.9,74.8,22.3
0.099132,740.9,143.1,2160.9,166.2,2983.5,751.6,747.2,2146.6,2939.7,214.8,74.8,22.6
0.101132,743.4,144.4,2159.6,158.7,2969.9,767.4,750.3,2145.2,2939.8,214.7,74.8,22.8
