time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025905,665.2,48.5,2259.6,278.6,2926.4,328.2,730.5,2206.8,3045.4,234.1,75.6,9.1
0.027905,678.4,45.1,2244.5,269.2,2918.7,348.1,730.8,2205.9,3046.3,233.9,76,10.7
0.029905,688.1,43.1,2231.1,261.6,2908.7,371.7,731.4,2204.5,3047.9,233.7,76.3,11.4
0.031905,695.6,42.9,2220.6,257.6,2901.4,399.5,732.1,2202.5,3050,233.4,76.5,11.8
0.033905,701.5,44.9,2213.8,258.1,2902.8,431.4,733.1,2200,3052.7,233.1,76.6,12
0.035905,706.2,49.0,2208.8,263.5,2914.1,465.3,734.3,2196.9,3056.1,232.8,76.6,12.3
0.037905,710.5,55.5,2202.9,274.3,2930.7,501.3,735.7,2193.2,3060,232.5,76.6,12.9
0.039905,714.9,64.4,2195.9,287.4,2946.6,541.6,737.3,2189.1,3064.4,232.2,76.5,13.5
0.041905,720.5,75.8,2191.1,298.5,2965.8,597.2,739.1,2184.4,3069.5,231.9,76.4,14.2
0.043905,727.6,89.5,2192.2,303.4,3000.2,676.6,741.2,2179.2,3075,231.6,76.2,15
0.045905,736.4,103.4,2194.7,300.8,3055.2,764.0,743.4,2173.6,3081,231.3,76.1,15.8
0.047905,746.0,114.5,2187.4,293.4,3111.8,832.6,745.8,2167.5,3087.5,231,76,16.6
0.049905,754.8,120.5,2168.5,281.8,3149.2,872.5,748.4,2160.9,3094.5,230.6,75.9,17.6
0.051905,762.4,122.8,2145.9,265.5,3173.4,897.9,751.2,2153.9,3101.9,230.3,75.9,18.7
0.053905,768.7,123.5,2127.7,250.0,3193.0,923.2,754.1,2146.5,3109.7,230,75.9,19.7
0.055905,774.1,124.5,2114.5,239.3,3208.1,951.5,757.3,2138.8,3117.9,229.7,76,20.4
0.057905,779.2,125.7,2102.5,232.6,3211.2,972.6,760.6,2130.7,3126.4,229.3,76,20.6
0.059905,784.1,126.9,2090.7,227.8,3209.7,963.4,764,2122.3,3135.2,229,76.1,20.2
0.061905,789.2,128.9,2080.5,223.3,3225.5,912.4,767.7,2113.5,3144.4,228.7,76.2,19.6
0.063905,794.5,132.3,2072.6,221.5,3255.3,835.7,771.4,2104.6,3153.7,228.4,76.2,18.8
0.065905,799.6,136.3,2066.0,223.8,3276.9,762.3,775.3,2095.3,3163.3,228.1,76.2,18.3
0.067905,804.6,141.0,2059.9,227.6,3283.9,704.9,779.4,2085.9,3173,227.8,76.3,18.1
0.069905,809.5,145.4,2053.6,228.8,3278.4,671.4,783.5,2076.3,3182.9,227.5,76.2,18.3
0.071905,813.9,148.0,2044.6,225.7,3260.9,660.7,787.8,2066.5,3193,227.2,76.2,18.6
0.073905,818.4,150.9,2035.9,219.0,3249.0,652.4,792.1,2056.6,3203.1,226.9,76.2,18.9
0.075905,823.8,158.1,2031.2,210.9,3262.9,626.2,796.6,2046.5,3213.2,226.6,76.1,19.3
0.077905,830.3,170.2,2029.3,202.9,3298.7,573.5,801.2,2036.5,3223.3,226.3,76,19.6
0.079905,836.2,182.5,2025.6,195.5,3331.7,520.2,805.8,2026.3,3233.5,226.1,75.9,19.9
0.081905,840.4,191.7,2017.4,189.1,3356.0,485.9,810.5,2016.2,3243.6,225.8,75.8,20.2
0.083905,843.8,199.0,2007.2,183.7,3373.4,461.5,815.2,2006.1,3253.6,225.5,75.8,20.4
0.085905,847.3,206.3,1997.5,179.8,3381.9,440.1,820,1996,3263.5,225.2,75.7,20.6
0.087905,850.8,212.8,1987.5,178.0,3380.8,427.9,824.8,1986.1,3273.2,225,75.6,20.6
0.089905,853.5,216.1,1976.9,179.1,3374.2,427.4,829.7,1976.2,3282.8,224.7,75.6,20.6
0.091905,856.0,217.6,1966.1,183.6,3367.9,429.1,834.6,1966.4,3292.2,224.4,75.5,20.4
0.093905,858.6,219.4,1956.2,191.8,3365.1,430.7,839.4,1956.8,3301.3,224.2,75.4,20.2
0.095905,860.9,221.2,1946.2,202.9,3363.6,446.1,844.3,1947.3,3310.3,223.9,75.4,19.9
0.097905,862.8,221.9,1934.5,215.2,3361.4,489.1,849.1,1938.1,3318.9,223.6,75.3,19.6
0.099905,865.2,222.8,1923.8,225.5,3359.9,531.7,853.9,1929,3327.3,223.4,75.3,19.2
0.101905,868.5,223.8,1915.5,232.8,3353.2,526.4,858.7,1920.2,3335.4,223.1,75.2,18.7
0.103905,872.2,223.6,1908.9,237.8,3337.8,482.5,863.4,1911.7,3343.2,222.8,75.2,18.3
0.105905,875.7,222.7,1903.2,243.4,3325.9,440.6,868.1,1903.4,3350.6,222.5,75.1,18
0.107905,879.2,222.6,1897.3,251.2,3323.5,421.5,872.7,1895.4,3357.7,222.3,75.1,17.8
0.109905,882.3,224.1,1891.5,259.2,3331.5,427.8,877.2,1887.7,3364.4,222,75.2,18
0.111905,885.0,226.8,1885.8,265.2,3350.0,448.7,881.6,1880.4,3370.8,221.7,75.3,18.2
0.113905,886.2,229.6,1880.0,269.7,3375.9,473.9,885.9,1873.3,3376.8,221.5,75.3,18.4
0.115905,885.7,232.4,1873.5,275.9,3401.0,497.4,890.1,1866.6,3382.4,221.2,75.4,18.5
0.117905,884.4,234.7,1866.0,282.8,3405.7,542.6,894.2,1860.3,3387.7,221,75.4,18.3
0.119905,883.7,236.0,1859.4,284.4,3361.7,624.6,898.1,1854.3,3392.5,220.7,75.4,17.8
0.121905,884.6,238.4,1855.7,282.2,3311.3,644.7,901.9,1848.6,3397,220.4,75.4,17
0.123905,885.3,241.2,1852.2,281.4,3298.8,652.6,905.6,1843.3,3401.2,220.2,75.4,16.4
0.125905,883.5,240.7,1842.1,285.8,3299.0,676.5,909.1,1838.4,3404.9,219.9,75.4,16
0.127905,880.8,240.7,1826.2,300.8,3305.6,693.9,912.5,1833.9,3408.3,219.7,75.3,16.2
0.129905,880.7,245.6,1811.6,327.4,3320.8,666.2,915.7,1829.7,3411.4,219.5,75.3,17
0.131905,883.7,252.8,1802.6,360.4,3330.0,606.9,918.8,1825.9,3414.1,219.2,75.3,18.1
0.133905,889.1,257.5,1801.6,391.8,3338.2,567.5,921.7,1822.5,3416.5,219,75.3,19.2
0.135905,895.5,258.1,1806.8,417.9,3358.9,554.7,924.4,1819.4,3418.5,218.8,75.2,20.1
0.137905,902.0,257.4,1814.1,444.0,3395.9,533.0,926.9,1816.6,3420.3,218.6,75.2,20.4
0.139905,908.3,258.3,1821.1,470.2,3348.1,1765.6,929.3,1814.3,3421.7,218.4,75.2,20.2
0.141905,913.8,257.8,1827.5,486.5,3239.5,1807.4,931.4,1812.2,3422.9,218.2,75.2,19.8
0.143905,918.1,252.0,1833.3,480.7,3175.8,1852.7,933.4,1810.5,3423.8,218,75.2,19.3
0.145905,922.0,241.2,1838.5,452.9,3166.1,1909.7,935.2,1809.1,3424.5,217.8,75.1,18.8
0.147905,926.3,229.0,1843.0,413.1,3248.2,1965.6,936.9,1808,3425,217.6,75.1,18.4
0.149905,929.2,219.4,1843.6,377.1,3382.2,1947.5,938.3,1807.3,3425.2,217.5,75.1,17.9
0.151905,929.6,213.1,1839.5,349.7,3452.3,436.6,939.6,1806.8,3425.3,217.3,75,17.5
0.153905,928.3,209.3,1832.8,332.1,3445.3,457.0,940.7,1806.6,3425.2,217.2,75,17
0.155905,927.5,206.2,1825.6,324.8,3450.0,1617.7,941.7,1806.6,3425,217,74.9,16.7
0.157905,928.8,201.4,1818.2,327.5,3461.4,1453.7,942.4,1806.9,3424.6,216.9,74.9,16.7
0.159905,932.5,195.8,1811.7,338.8,3487.0,576.6,943.1,1807.5,3424.1,216.8,74.8,16.8
0.161905,937.1,190.5,1805.3,353.9,3502.5,597.9,943.5,1808.2,3423.5,216.7,74.8,17
0.163905,941.3,185.7,1799.4,367.2,3519.9,1279.5,943.9,1809.2,3422.9,216.6,74.8,17.4
0.165905,944.8,182.2,1796.9,379.2,3466.4,1389.6,944,1810.3,3422.2,216.5,74.8,17.6
0.167905,948.2,180.4,1799.1,392.3,3405.5,1505.7,944.1,1811.7,3421.4,216.4,74.8,17.8
0.169905,951.4,179.4,1804.9,399.5,3376.9,1587.1,944,1813.2,3420.7,216.3,74.9,18
0.171905,953.7,177.7,1811.6,391.1,3404.6,1645.1,943.9,1814.8,3419.9,216.2,74.9,18.2
0.173905,954.3,174.1,1815.5,365.9,3477.8,1647.7,943.6,1816.6,3419.2,216.1,75,18.4
0.175905,953.1,169.2,1815.9,335.7,3497.4,386.3,943.2,1818.4,3418.5,216.1,75,18.5
