time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025909,476.2,69.1,1807.2,62.1,2539.6,129.4,464.7,1818.5,2543.3,87.6,50,4.7
0.027909,476.1,60.5,1808.0,54.4,2545.0,111.8,463.6,1818.9,2544.2,87.8,50.6,13.6
0.029909,471.7,57.7,1810.0,52.2,2551.0,101.5,461.8,1819.5,2545.7,87.9,51.1,14.5
0.031909,458.5,68.1,1817.3,61.1,2556.0,104.3,459.3,1820.3,2547.6,88.1,51.6,11.6
0.033909,442.6,84.9,1828.3,71.8,2557.4,107.0,456.5,1821.5,2549.9,88.3,52,9
0.035909,438.0,86.3,1834.5,70.8,2557.1,99.4,453.4,1822.8,2552.2,88.6,52.5,10
0.037909,440.6,75.3,1836.0,65.3,2556.8,89.3,450.1,1824.5,2554.5,88.8,52.9,11.5
0.039909,442.9,63.0,1836.1,61.4,2556.5,80.7,447,1826.3,2556.6,89,53.4,12.6
0.041909,441.6,55.7,1835.4,64.4,2555.8,77.2,444.1,1828.3,2558.3,89.3,53.8,13.3
0.043909,436.9,56.3,1833.3,82.5,2553.4,84.7,441.7,1830.5,2559.5,89.5,54.4,13.6
0.045909,435.0,56.1,1830.7,106.2,2549.3,97.9,439.8,1832.7,2560,89.8,55,13.4
0.047909,437.8,50.1,1831.3,108.1,2547.7,96.8,438.5,1834.9,2559.9,90.1,55.6,12.2
0.049909,442.1,42.9,1834.5,99.8,2547.6,86.7,437.9,1837,2559.2,90.3,56.2,10.5
0.051909,446.2,38.7,1838.9,95.6,2548.3,76.9,438,1838.7,2557.8,90.6,56.9,8.9
0.053909,448.9,40.5,1843.0,105.3,2549.6,75.4,438.8,1840.1,2555.9,90.9,57.5,8
0.055909,449.5,45.8,1843.8,121.8,2550.8,80.7,440.2,1840.9,2553.6,91.2,58.2,8.2
0.057909,448.5,45.7,1842.8,121.6,2551.1,80.6,442.1,1841,2551.2,91.4,58.7,9.7
0.059909,447.1,40.1,1841.9,114.2,2551.7,78.6,444.3,1840.4,2548.6,91.7,59.2,11.8
0.061909,446.1,33.9,1839.1,112.8,2553.6,82.6,446.8,1838.8,2546.3,92,59.5,14
0.063909,446.6,32.2,1830.0,124.8,2556.6,100.8,449.4,1836.1,2544.3,92.2,59.8,15.6
0.065909,448.8,39.4,1815.9,142.0,2557.9,124.3,451.9,1832.5,2542.8,92.5,60,16.2
0.067909,450.5,47.3,1809.9,142.7,2556.8,126.3,454.2,1827.7,2542,92.7,60.3,15.9
