time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.026005,395.6,35.7,1849.3,79.1,2524.0,160.8,401.1,1859.6,2540.8,100.1,59.9,3.9
0.028005,402.2,28.7,1852.6,69.8,2526.7,145.4,401.3,1859.9,2540.6,100.2,60.7,4.2
0.030005,405.2,25.1,1856.6,66.1,2533.6,137.2,401.5,1860.4,2540.4,100.2,61.1,5.7
0.032005,404.4,27.0,1860.5,68.0,2545.5,135.1,402,1861.1,2540.2,100.3,61.4,7.9
0.034005,400.8,34.1,1861.9,69.3,2554.3,134.7,402.5,1862,2539.8,100.4,61.6,10.3
0.036005,399.6,38.2,1861.7,65.5,2553.9,132.6,403.2,1863.2,2539.4,100.5,61.8,12.4
0.038005,402.9,36.5,1862.9,59.6,2550.0,127.3,404,1864.6,2539,100.7,61.8,13.7
0.040005,407.3,33.6,1866.1,56.8,2546.5,125.9,404.9,1866.2,2538.5,100.8,61.8,14.2
0.042005,408.6,35.3,1871.1,61.3,2542.6,138.2,406.1,1868.1,2538,100.9,61.8,14.2
0.044005,405.8,44.1,1876.3,70.2,2535.6,160.9,407.3,1870.3,2537.4,101,61.7,13.8
0.046005,404.1,51.4,1879.1,71.4,2529.5,168.3,408.7,1872.7,2536.9,101.2,61.7,13.1
0.048005,407.6,51.4,1882.1,67.2,2527.3,163.6,410.2,1875.3,2536.5,101.3,61.8,12.3
0.050005,413.7,49.8,1887.0,66.1,2529.1,159.5,411.9,1878.2,2536.1,101.4,61.9,11.2
0.052005,418.3,57.5,1893.4,71.3,2533.2,158.1,413.6,1881.2,2535.7,101.5,62,9.7
0.054005,419.8,79.9,1897.0,75.3,2536.1,152.9,415.4,1884.3,2535.6,101.7,62.2,8
0.056005,420.0,100.8,1896.7,71.6,2537.5,142.7,417.3,1887.5,2535.5,101.8,62.4,6.6
0.058005,421.3,107.0,1895.1,64.7,2539.0,130.9,419.2,1890.7,2535.7,101.9,62.6,5.8
0.060005,421.7,103.0,1893.1,60.9,2540.8,124.2,421.1,1893.9,2536,102,62.7,5.7
0.062005,420.4,99.0,1890.6,64.1,2541.7,127.9,422.9,1897,2536.6,102.1,62.9,6
0.064005,421.5,92.9,1888.8,72.2,2539.3,141.9,424.7,1899.9,2537.5,102.2,63,6.6
0.066005,426.5,81.2,1889.1,75.4,2537.4,150.0,426.4,1902.6,2538.6,102.2,63.1,7.4
0.068005,432.4,68.3,1891.4,73.3,2537.8,147.2,427.9,1905.1,2540,102.3,63.2,8.1
0.070005,435.3,61.3,1895.4,73.1,2538.0,149.0,429.4,1907.3,2541.7,102.3,63.3,9.1
0.072005,433.1,62.3,1900.6,78.6,2538.3,176.2,430.7,1909.2,2543.7,102.3,63.4,10.3
0.074005,427.5,67.5,1903.8,82.8,2546.9,227.7,431.9,1910.9,2546,102.4,63.4,11.5
0.076005,426.2,67.7,1906.5,76.5,2555.3,244.9,432.9,1912.2,2548.6,102.4,63.4,12.3
0.078005,429.5,63.4,1911.4,64.5,2548.8,215.7,433.8,1913.3,2551.4,102.3,63.2,12.3
0.080005,432.2,61.2,1917.2,54.1,2542.3,172.0,434.7,1914.2,2554.3,102.3,63,11.1
0.082005,431.0,63.8,1922.0,51.2,2545.1,150.8,435.5,1914.9,2557.5,102.3,62.7,8.9
0.084005,428.1,68.3,1924.2,59.7,2555.1,167.4,436.2,1915.5,2560.7,102.2,62.4,6.3
0.086005,429.5,67.7,1923.9,68.7,2566.3,189.0,436.9,1916,2564.1,102.1,62.2,4.2
0.088005,435.0,65.2,1923.0,69.6,2577.4,191.3,437.6,1916.5,2567.4,102,62.2,3.2
0.090005,440.3,70.6,1921.1,70.9,2585.1,189.1,438.4,1917.1,2570.7,102,62.4,3.7
0.092005,444.0,84.4,1918.4,72.9,2587.3,189.3,439.3,1917.9,2573.9,101.9,62.7,5.3
