time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025367,536.3,259.6,1793.3,509.2,2519.6,256.7,480.3,1930.4,2599,0,41.8,2.2
0.027367,536.4,306.9,1865.9,513.1,2561.3,183.6,477.1,1930.6,2594,0,40.8,2.2
0.029367,549.5,365.3,1929.2,465.7,2572.6,149.9,472,1931,2585.6,0,39.8,2.2
0.031367,540.8,422.0,1969.7,366.6,2579.3,157.2,465.1,1931.5,2574.3,0,39.8,2.2
0.033367,447.1,449.1,1983.9,284.6,2586.1,210.2,456.7,1932,2560.2,0,40.5,2.4
0.035367,364.0,264.2,1982.9,227.5,2586.0,312.9,447.3,1932.4,2543.8,0,41.9,2.7
0.037367,344.1,120.3,1988.0,205.2,2599.1,532.0,437.1,1932.7,2525.4,0,43.8,3.1
0.039367,346.8,82.2,1987.3,172.0,2630.5,717.5,426.6,1932.7,2505.5,0,45.8,3.6
0.041367,354.6,72.7,1969.0,137.9,2562.3,600.6,416.3,1932.4,2484.6,0,47.5,4
0.043367,363.3,71.0,1950.1,110.6,2483.5,434.2,406.5,1931.7,2463.2,0,49,4.5
0.045367,370.6,73.3,1934.2,99.2,2426.0,371.2,397.7,1930.4,2441.8,0,50.4,4.8
0.047367,378.3,82.4,1916.3,108.1,2365.3,390.6,390.1,1928.6,2420.8,0,51.7,5.2
0.049367,388.2,93.1,1901.4,124.2,2307.9,430.3,384.1,1926,2400.7,0,52.8,5.5
0.051367,396.7,91.9,1893.9,126.1,2274.5,436.7,379.9,1922.8,2381.8,0,53.8,5.9
0.053367,401.4,81.3,1892.2,114.6,2265.1,425.1,377.6,1918.9,2364.6,83.1,54.4,6.4
0.055367,404.0,69.7,1893.3,98.4,2267.4,408.4,377.4,1914.2,2349.3,83.1,54.9,7.1
0.057367,406.0,59.3,1895.7,80.4,2277.4,389.9,379.1,1908.7,2336.1,83.1,55.1,7.8
0.059367,408.2,55.1,1898.5,65.7,2301.3,385.2,382.6,1902.6,2325.1,83.1,55.2,8.7
0.061367,412.8,64.2,1898.5,63.1,2352.7,426.1,387.8,1895.9,2316.4,83.2,55.3,9.5
0.063367,420.4,79.0,1888.4,81.4,2398.6,464.7,394.5,1888.6,2309.9,83.2,55.4,10.3
0.065367,424.7,78.5,1876.4,99.8,2404.1,461.5,402.3,1880.9,2305.5,83.1,55.5,11.2
0.067367,426.4,69.0,1872.5,102.8,2395.5,460.1,410.9,1872.8,2303,83.1,55.7,12.1
0.069367,427.6,60.3,1872.9,98.2,2386.2,469.5,420,1864.5,2302.2,83.1,55.7,12.9
0.071367,429.2,59.5,1870.2,97.5,2372.6,503.3,429.2,1856.1,2302.8,83,55.7,13.6
0.073367,432.5,73.7,1854.1,115.0,2331.9,591.9,438.1,1847.8,2304.4,83,55.7,13.9
0.075367,436.7,89.4,1830.5,135.7,2281.0,662.5,446.6,1839.6,2306.8,82.9,55.7,13.8
0.077367,441.3,88.9,1816.6,135.6,2258.2,641.8,454.2,1831.7,2309.6,82.8,55.7,13.4
0.079367,445.0,78.8,1813.3,122.5,2260.9,589.5,460.8,1824.2,2312.4,82.7,55.7,12.8
0.081367,447.9,69.3,1813.9,105.4,2280.7,534.7,466.3,1817.2,2314.9,82.6,55.6,12.2
0.083367,450.9,67.3,1815.5,90.5,2313.5,490.1,470.5,1810.7,2316.8,82.5,55.4,11.8
0.085367,455.8,79.5,1815.1,88.9,2339.3,513.1,473.4,1804.9,2317.8,82.3,55.3,11.6
0.087367,462.0,99.0,1813.3,101.2,2327.4,663.6,475,1799.8,2317.8,82.2,55.2,11.5
0.089367,464.9,98.7,1814.5,105.9,2279.2,816.2,475.5,1795.3,2316.5,82,55.1,11.4
0.091367,466.3,86.5,1815.1,99.7,2240.4,861.6,475,1791.6,2314,81.8,55.1,11.5
0.093367,467.1,76.2,1814.0,87.6,2233.0,833.5,473.6,1788.5,2310.1,81.6,55,11.9
0.095367,467.5,75.5,1810.4,74.8,2258.3,749.7,471.7,1786.1,2305,81.4,54.9,12.7
0.097367,471.1,92.2,1798.2,72.1,2297.8,582.1,469.4,1784.2,2298.8,81.2,54.9,13.9
0.099367,478.6,113.1,1772.0,92.4,2318.9,434.8,467,1782.9,2291.6,81,54.9,15.2
