time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025800,422.7,53.8,1953.7,89.2,2289.2,214.5,429.2,1945.9,2297.5,0,58.1,3.5
0.027800,432.4,54.9,1944.5,90.6,2290.6,188.2,431.3,1942.6,2293.9,0,58.9,4.6
0.029800,438.6,51.8,1934.1,89.6,2287.6,164.3,434.8,1937.4,2288.4,0,59.5,4.6
0.031800,441.0,45.7,1928.9,83.6,2284.2,150.9,439.3,1930.6,2281.3,0,60,4.2
0.033800,442.5,40.2,1924.9,79.4,2280.3,150.3,444.8,1922.5,2273.3,0,60.3,3.6
0.035800,446.6,40.8,1915.0,86.9,2272.7,166.2,450.8,1913.7,2265.1,0,60.5,3.3
0.037800,457.4,50.3,1897.3,102.3,2259.1,180.6,457.1,1904.5,2257.3,0,60.6,3.5
0.039800,470.0,58.5,1885.2,105.2,2248.9,175.1,463.4,1895.6,2250.5,99.4,60.7,4.5
0.041800,476.6,57.9,1880.8,98.4,2242.6,163.9,469.4,1887.3,2245.2,99.3,60.8,6.2
0.043800,477.1,52.4,1880.2,89.2,2239.1,154.6,474.9,1879.9,2241.6,99.3,60.8,8
0.045800,475.9,49.6,1881.0,83.8,2239.4,151.0,479.7,1873.7,2239.9,99.2,60.7,9.6
0.047800,478.3,55.0,1879.4,85.7,2244.0,149.7,483.6,1868.8,2239.9,99.1,60.5,10.8
0.049800,485.5,62.2,1870.6,95.3,2245.9,141.7,486.6,1865.2,2241.4,99,60.4,11.1
0.051800,489.8,60.2,1861.2,103.7,2243.5,131.2,488.7,1862.9,2244,99,60.3,11
0.053800,489.9,53.9,1858.6,103.9,2241.5,125.2,490,1861.7,2247.2,98.9,60.2,10.6
0.055800,488.6,52.1,1860.8,103.9,2244.4,127.9,490.6,1861.5,2250.5,98.8,60.3,10.5
0.057800,488.0,58.4,1863.3,109.5,2252.4,136.1,490.7,1862,2253.4,98.7,60.4,10.9
0.059800,488.8,63.9,1863.4,110.5,2256.1,132.9,490.4,1863.1,2255.5,98.6,60.5,12.1
0.061800,489.7,60.6,1863.6,102.3,2254.9,121.1,490,1864.6,2256.7,98.5,60.7,13.9
0.063800,490.1,53.5,1865.1,90.6,2253.3,108.7,489.6,1866.3,2256.8,98.4,60.7,15.9
0.065800,490.6,50.0,1867.4,82.8,2253.6,100.6,489.4,1868.2,2255.7,98.3,60.7,17.5
0.067800,492.4,54.1,1868.9,83.9,2255.8,97.5,489.4,1870.1,2253.7,98.1,60.6,18.3
0.069800,494.5,61.0,1869.2,92.4,2256.9,96.8,489.8,1872.1,2251.1,98,60.6,18.2
0.071800,494.6,60.1,1871.0,96.1,2256.1,94.7,490.4,1874.3,2248.2,97.9,60.5,17.3
0.073800,492.9,53.6,1875.8,91.7,2255.1,92.3,491.4,1876.6,2245.3,97.7,60.4,16
0.075800,491.1,50.5,1881.9,87.3,2253.1,93.6,492.5,1879.2,2242.7,97.6,60.3,14.7
0.077800,490.8,57.0,1886.8,91.4,2244.6,101.7,493.7,1882,2240.9,97.4,60.2,13.7
0.079800,492.6,70.6,1887.2,101.4,2230.8,108.0,494.7,1885,2239.9,97.3,60,13
0.081800,493.7,77.6,1886.9,103.1,2223.2,105.6,495.5,1888.3,2239.9,97.1,59.9,12.4
0.083800,492.2,74.7,1890.0,96.2,2223.8,101.4,495.8,1891.8,2240.9,96.9,59.7,11.9
0.085800,490.1,72.5,1895.8,90.3,2230.5,102.3,495.5,1895.5,2242.7,96.7,59.6,11.4
0.087800,490.4,81.6,1902.6,90.1,2243.8,110.2,494.6,1899.3,2245.2,96.5,59.4,11
0.089800,494.4,100.2,1906.3,91.3,2256.0,114.4,493,1903,2248.1,96.3,59.3,10.8
0.091800,496.7,109.8,1908.5,87.1,2262.2,110.3,490.8,1906.6,2251.4,96.1,59.2,10.8
0.093800,494.0,104.8,1910.9,79.4,2265.4,103.0,488,1909.9,2254.6,95.9,59.2,10.8
0.095800,488.5,96.4,1912.5,75.5,2267.8,97.9,484.8,1913,2257.7,95.7,59.2,10.7
0.097800,481.9,94.6,1910.9,83.2,2267.5,97.3,481.4,1915.7,2260.4,95.5,59.3,10.2
0.099800,477.8,102.1,1908.3,96.7,2263.1,96.2,478,1918,2262.7,95.3,59.4,9.1
0.101800,475.7,107.2,1910.4,99.0,2260.0,91.1,474.8,1919.9,2264.6,95.1,59.4,7.7
0.103800,474.0,104.3,1916.7,91.2,2259.8,84.3,472.1,1921.3,2266,94.9,59.4,6.1
0.105800,471.7,97.9,1923.5,81.1,2261.5,78.1,470,1922.3,2267,94.7,59.1,4.7
0.107800,467.4,92.2,1930.3,72.3,2264.6,73.6,468.6,1922.9,2267.6,94.4,58.5,3.6
0.109800,460.0,94.2,1934.7,70.7,2268.5,76.2,468.2,1923.1,2267.8,94.2,57.8,3.2
