time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025528,369.4,109.3,1987.9,252.6,2623.6,765.0,373.6,1978.2,2561.6,97.5,49.3,-35.1
0.027528,378.6,92.6,1987.2,174.5,2645.1,941.2,375,1974.7,2555.9,97.1,50.9,6.1
0.029528,382.0,77.5,1987.6,142.1,2641.1,1202.8,377.3,1969.1,2546.5,96.8,52.3,19.6
0.031528,383.8,66.3,1971.8,142.2,2513.2,1058.5,380.4,1961.6,2533.7,96.4,53.4,21.6
0.033528,383.7,60.3,1940.4,151.8,2469.2,846.9,384.2,1952.8,2517.6,96.1,54.4,17.1
0.035528,385.5,64.5,1913.6,152.1,2424.0,809.1,388.5,1942.9,2498.5,95.7,55.2,10.9
0.037528,390.1,73.4,1904.1,138.6,2380.5,775.7,393.2,1932.6,2477,95.3,55.9,7.8
0.039528,395.9,73.7,1903.5,119.1,2369.1,714.6,398.2,1922.2,2453.6,95,56.4,7.7
0.041528,401.9,66.1,1905.7,97.7,2372.1,646.8,403.3,1912.2,2428.7,94.6,56.8,7.4
0.043528,407.2,57.7,1907.9,78.9,2378.9,583.4,408.3,1902.9,2403.2,94.2,57,7
0.045528,412.7,52.8,1908.5,65.4,2383.3,520.5,413.2,1894.7,2377.8,93.8,57.2,6.8
0.047528,418.5,56.0,1903.7,67.8,2371.1,473.2,417.8,1887.6,2353.2,93.5,57.3,6.9
0.049528,423.2,59.3,1893.4,86.9,2353.2,458.0,422,1881.6,2330.2,93.1,57.5,7.4
0.051528,426.7,55.0,1884.7,100.8,2345.7,463.2,425.9,1876.8,2309.5,92.8,57.6,8.2
0.053528,430.0,49.0,1880.3,97.1,2339.5,449.8,429.3,1872.9,2291.7,92.4,57.7,9.2
0.055528,433.3,44.8,1876.5,85.0,2331.6,415.4,432.3,1869.6,2277.3,92.1,57.8,10.1
0.057528,435.7,46.0,1870.5,78.4,2319.7,396.4,434.9,1866.8,2266.8,91.9,57.7,10.9
0.059528,436.9,52.8,1860.5,87.4,2296.1,428.8,437.1,1864,2260.1,91.6,57.6,11.6
0.061528,438.2,57.5,1852.0,101.2,2261.9,464.9,439.1,1861,2257.3,91.4,57.6,12.2
0.063528,441.3,55.3,1848.5,101.6,2241.8,459.5,440.7,1857.6,2258,91.1,57.6,12.7
0.065528,444.5,50.9,1847.6,93.4,2241.3,444.3,442.1,1853.5,2261.8,91,57.5,13.1
0.067528,445.9,50.7,1846.4,85.9,2256.4,431.7,443.4,1848.8,2267.9,90.8,57.4,13.3
0.069528,444.4,60.5,1840.5,89.0,2269.7,419.2,444.6,1843.3,2275.5,90.6,57.4,13.3
0.071528,441.5,74.3,1827.9,112.7,2260.1,427.7,445.7,1837.2,2283.7,90.5,57.4,12.9
0.073528,442.7,74.7,1818.2,134.0,2242.5,435.0,446.7,1830.7,2291.6,90.4,57.4,12.5
0.075528,447.5,67.8,1815.8,136.4,2237.0,428.7,447.7,1824,2298.1,90.3,57.4,12.2
0.077528,452.3,63.0,1818.3,125.4,2250.6,412.6,448.6,1817.4,2302.6,90.3,57.4,12.2
0.079528,454.5,65.3,1822.0,113.6,2284.4,396.0,449.5,1811.2,2304.2,90.2,57.3,12.6
0.081528,450.7,76.7,1821.1,118.5,2327.7,409.6,450.3,1805.6,2302.8,90.2,57.3,13.3
0.083528,445.3,80.4,1814.1,139.8,2342.5,465.9,451,1800.8,2298,90.2,57.3,14.1
0.085528,446.1,72.3,1807.7,152.5,2330.3,517.7,451.6,1797.1,2290,90.2,57.4,14.9
0.087528,450.4,64.3,1804.3,150.8,2314.8,527.0,452,1794.6,2279.3,90.2,57.4,15.5
0.089528,454.1,61.1,1801.6,145.1,2302.9,519.4,452.3,1793,2266.6,90.2,57.4,16
0.091528,454.0,66.9,1796.3,147.0,2280.2,531.8,452.5,1792.5,2252.9,90.3,57.4,16.5
0.093528,450.5,75.8,1788.1,158.1,2238.1,561.9,452.6,1792.7,2239.2,90.3,57.5,16.9
0.095528,451.1,73.7,1781.8,162.9,2200.7,568.3,452.5,1793.4,2226.7,90.4,57.6,17.3
0.097528,455.7,65.5,1779.9,158.6,2189.7,562.4,452.4,1794.2,2216.7,90.4,57.6,17.5
0.099528,459.9,59.3,1781.0,151.2,2201.9,557.2,452.2,1794.7,2210.2,90.5,57.7,17.5
0.101528,460.4,59.6,1783.8,146.2,2236.2,537.6,451.9,1794.7,2208.3,90.6,57.6,17.5
0.103528,453.9,68.3,1783.9,149.5,2254.4,500.2,451.6,1793.9,2211.6,90.7,57.6,17.3
0.105528,445.1,73.6,1779.4,153.9,2229.5,488.3,451.4,1791.9,2220.5,90.7,57.6,17.1
0.107528,444.9,67.4,1777.5,151.8,2194.6,500.7,451.2,1788.8,2235,90.8,57.6,16.9
0.109528,449.3,59.7,1780.6,146.9,2175.3,528.0,451.1,1784.3,2254.7,90.9,57.6,16.6
0.111528,452.8,57.6,1789.0,139.9,2197.9,589.9,451,1778.8,2279,91,57.5,16.3
0.113528,451.4,68.1,1799.0,131.6,2307.7,622.8,451,1772.2,2306.7,91.1,57.5,16
0.115528,446.1,90.7,1798.0,134.3,2406.8,505.8,451.1,1765,2336.5,91.2,57.4,15.8
0.117528,444.7,98.0,1781.2,144.2,2423.6,438.1,451.2,1757.5,2366.9,91.2,57.3,15.8
0.119528,448.7,89.9,1765.0,140.9,2412.5,419.8,451.4,1750.2,2396.3,91.3,57.3,16.1
0.121528,454.1,82.1,1754.1,134.3,2400.6,428.9,451.6,1743.4,2423.1,91.4,57.2,16.7
0.123528,456.4,85.0,1745.1,138.8,2408.7,484.6,451.8,1737.6,2445.6,91.5,57.2,17.4
0.125528,453.7,99.8,1727.8,161.5,2452.3,658.7,451.9,1733.2,2462.8,91.5,57.3,17.9
0.127528,452.0,104.7,1703.6,175.4,2500.2,902.0,452,1730.4,2473.4,91.6,57.4,18.3
0.129528,454.9,92.9,1688.8,172.7,2491.9,1096.9,452,1729.4,2477.1,91.7,57.5,18
