time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025338,422.2,85.3,1436.0,115.0,2028.5,206.7,437.7,1449.9,2064.8,85,54.1,12.3
0.027338,423.5,77.7,1435.5,105.0,2037.7,192.6,438.9,1451.3,2066.3,85,54.5,12.4
0.029338,425.6,79.7,1439.9,107.6,2055.4,196.4,440.7,1453.6,2068.7,85,55,11.9
0.031338,435.5,94.8,1456.0,125.5,2083.4,218.9,443.2,1456.8,2072.1,85,55.5,11.2
0.033338,451.4,101.6,1472.1,130.3,2100.2,224.7,446.3,1460.8,2076.4,85,56,10.7
0.035338,461.8,92.3,1477.7,116.8,2103.9,209.6,449.9,1465.6,2081.4,84.9,56.4,10.4
0.037338,466.9,78.2,1478.3,99.9,2102.8,190.7,454.1,1471,2087.1,84.9,56.7,10.8
0.039338,469.3,66.1,1478.1,86.8,2101.2,176.6,458.6,1477,2093.5,84.9,56.9,11.9
0.041338,470.8,60.0,1480.1,82.0,2103.0,173.0,463.3,1483.5,2100.3,84.8,56.9,13.3
0.043338,473.4,64.6,1488.1,97.1,2109.3,191.3,468.3,1490.4,2107.4,84.8,57,14.7
0.045338,480.0,74.4,1504.5,129.7,2117.2,218.3,473.3,1497.6,2114.8,84.7,57.1,15.9
0.047338,487.1,73.7,1517.8,138.8,2125.3,219.6,478.3,1505,2122.4,84.7,57.2,16.6
0.049338,491.5,66.8,1522.9,127.0,2132.4,205.6,483.2,1512.5,2129.9,84.6,57.2,17
0.051338,494.1,60.2,1525.0,113.2,2138.9,191.4,488,1519.9,2137.2,84.6,57.2,17.1
0.053338,495.4,58.2,1527.4,106.2,2146.0,182.2,492.5,1527.3,2144.4,84.5,57.1,17.1
0.055338,495.2,67.4,1534.1,113.9,2152.4,179.4,496.7,1534.6,2151.1,84.5,57,17.1
0.057338,495.2,83.3,1545.9,125.7,2154.6,175.6,500.5,1541.6,2157.4,84.4,56.9,17.1
0.059338,497.9,83.9,1553.9,118.7,2156.5,164.8,504,1548.3,2163.1,84.3,56.9,17.2
0.061338,501.5,75.9,1559.0,104.2,2160.8,152.6,507,1554.7,2168.2,84.2,56.9,17.1
0.063338,504.4,67.9,1563.0,91.8,2166.2,145.1,509.6,1560.7,2172.6,84.2,56.9,17
0.065338,506.5,65.8,1566.6,87.7,2173.5,150.4,511.9,1566.3,2176.3,84.1,56.9,16.8
0.067338,508.1,78.0,1568.5,101.5,2183.1,182.1,513.7,1571.6,2179.3,84,56.9,16.3
0.069338,510.4,92.8,1567.5,118.3,2187.9,208.0,515.2,1576.5,2181.6,83.9,57,15.4
0.071338,513.4,91.7,1567.4,115.6,2190.1,202.2,516.4,1581,2183.1,83.8,57.1,14.4
0.073338,515.9,81.9,1569.0,103.4,2192.6,186.4,517.3,1585.1,2184.1,83.7,57.2,13.4
0.075338,517.5,72.2,1571.9,92.1,2194.8,173.7,517.9,1589,2184.5,83.6,57.1,12.9
0.077338,517.7,69.7,1578.9,89.1,2193.9,174.2,518.3,1592.5,2184.3,83.5,57.1,13
0.079338,516.2,85.2,1592.6,104.7,2179.4,200.1,518.5,1595.7,2183.8,83.4,57,13.9
0.081338,515.5,109.4,1604.8,122.9,2156.2,221.3,518.7,1598.7,2183,83.3,57,15.3
0.083338,518.1,115.0,1608.2,118.0,2149.9,209.9,518.7,1601.5,2182,83.2,57.1,16.6
0.085338,521.2,106.2,1608.0,102.8,2153.8,188.9,518.7,1604.1,2180.9,83.1,57.1,17.7
0.087338,522.8,92.7,1606.7,88.1,2160.0,171.5,518.6,1606.5,2179.9,83,57.1,18.2
0.089338,521.7,83.2,1606.5,81.8,2169.0,165.3,518.5,1608.8,2179,82.9,57,18.1
0.091338,518.3,86.9,1611.6,93.8,2185.2,171.5,518.4,1611,2178.4,82.8,56.9,17.8
0.093338,517.5,98.6,1622.8,121.3,2197.9,175.8,518.3,1613,2178.2,82.7,56.9,17.4
0.095338,520.8,96.7,1629.0,129.0,2200.7,166.1,518.2,1615,2178.3,82.6,56.9,17.1
0.097338,524.4,84.4,1629.1,116.9,2200.6,149.1,518.1,1616.8,2179,82.5,56.9,16.9
0.099338,526.7,72.2,1627.8,101.8,2200.7,134.1,517.9,1618.4,2180.2,82.4,56.9,16.7
0.101338,526.6,65.8,1627.1,91.1,2201.8,126.4,517.8,1620,2181.9,82.3,56.7,16.5
0.103338,522.1,75.1,1627.7,92.8,2203.2,136.1,517.6,1621.3,2184.2,82.2,56.6,16.4
0.105338,515.5,97.2,1627.0,105.1,2199.3,157.0,517.3,1622.5,2187,82.1,56.6,16.3
0.107338,513.9,103.7,1623.4,108.4,2191.2,160.1,517,1623.4,2190.2,82,56.6,16.2
0.109338,516.7,96.8,1621.4,101.0,2188.4,149.0,516.6,1624,2193.8,81.9,56.6,16.2
0.111338,519.8,88.2,1621.0,91.3,2189.9,137.2,516.2,1624.4,2197.6,81.8,56.5,16.2
0.113338,520.2,83.3,1620.8,85.4,2194.2,132.5,515.6,1624.4,2201.7,81.8,56.4,16.3
0.115338,514.1,90.1,1618.9,94.3,2200.0,147.5,515,1624.1,2205.8,81.7,56.3,16.3
