time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025986,437.4,78.4,1766.8,85.0,2409.5,151.2,449.4,1778,2418.7,91.4,58.5,14.1
0.027986,437.3,70.1,1764.7,73.8,2409.2,138.6,449.5,1777.8,2418.9,91.4,58.7,14.8
0.029986,436.9,64.0,1762.7,66.1,2411.0,132.7,449.7,1777.4,2419.3,91.4,58.9,15.6
0.031986,439.2,67.3,1763.7,66.8,2420.6,144.1,449.9,1776.9,2419.9,91.3,59.1,16.3
0.033986,445.0,79.6,1767.0,72.8,2433.1,163.7,450.2,1776.3,2420.6,91.3,59.3,16.9
0.035986,449.0,84.7,1768.0,71.9,2436.4,165.1,450.5,1775.5,2421.4,91.3,59.5,17.3
0.037986,448.9,78.6,1766.6,64.9,2433.3,153.3,451,1774.6,2422.4,91.2,59.6,17.6
0.039986,447.4,69.4,1764.7,57.5,2429.7,140.5,451.5,1773.5,2423.4,91.2,59.7,17.7
0.041986,447.2,64.4,1763.8,55.2,2429.5,136.4,452.1,1772.3,2424.6,91.1,59.8,17.7
0.043986,451.7,70.3,1765.5,63.6,2435.8,149.7,452.9,1770.9,2425.8,91.1,59.9,17.6
0.045986,458.4,80.5,1769.1,75.2,2442.7,165.9,453.8,1769.5,2427,91,59.9,17.2
0.047986,461.0,80.7,1770.3,74.4,2443.2,164.6,454.8,1767.9,2428.3,91,60,16.5
0.049986,460.5,74.4,1769.6,66.5,2440.8,154.1,456,1766.1,2429.6,90.9,60,15.6
0.051986,459.4,68.3,1768.9,59.4,2438.0,144.5,457.3,1764.3,2430.8,90.8,60.1,14.5
0.053986,460.6,69.3,1769.9,60.4,2436.3,147.0,458.8,1762.3,2432,90.7,60.1,13.4
0.055986,466.0,78.1,1773.7,72.1,2436.6,165.1,460.5,1760.2,2433.1,90.6,60.2,12.6
0.057986,470.3,79.9,1775.5,78.0,2436.3,174.9,462.4,1758,2434,90.5,60.3,12
0.059986,472.0,74.2,1773.9,72.4,2435.1,169.5,464.5,1755.6,2434.8,90.4,60.4,11.6
0.061986,472.8,67.8,1771.0,62.7,2433.9,157.7,466.8,1753.2,2435.5,90.2,60.4,11.2
0.063986,474.2,66.7,1768.2,56.7,2432.6,148.3,469.2,1750.6,2435.9,90.1,60.3,10.9
0.065986,478.6,76.9,1766.4,64.1,2429.9,150.3,472,1747.9,2436.1,90,60.3,10.6
0.067986,484.3,84.3,1764.3,83.8,2425.6,160.7,474.9,1745.1,2436,89.8,60.3,10.3
0.069986,488.0,78.6,1759.6,96.3,2422.1,165.6,478,1742.1,2435.7,89.7,60.3,10.1
0.071986,490.7,67.9,1752.9,94.9,2419.9,165.3,481.4,1739,2435,89.5,60.3,9.9
0.073986,493.8,58.8,1744.9,87.8,2418.0,168.7,484.9,1735.8,2433.9,89.3,60.2,9.7
0.075986,498.2,56.8,1734.1,85.6,2416.2,194.4,488.7,1732.5,2432.5,89.2,60.1,9.5
0.077986,502.4,63.7,1722.0,95.7,2413.9,255.7,492.7,1729,2430.7,89,60,9.3
0.079986,504.5,67.0,1712.6,105.3,2409.0,307.3,496.8,1725.4,2428.4,88.8,60,9.2
0.081986,506.1,61.5,1707.5,102.8,2403.8,315.5,501.2,1721.7,2425.7,88.6,60,9
0.083986,508.8,53.3,1705.8,93.6,2403.2,298.0,505.6,1717.8,2422.5,88.4,60,8.8
0.085986,512.8,47.2,1707.3,88.4,2409.7,270.6,510.3,1713.7,2418.9,88.2,60.1,8.6
0.087986,516.9,48.7,1713.3,103.6,2418.2,258.2,515,1709.5,2414.7,88,60.2,8.4
0.089986,520.0,55.2,1719.6,133.3,2416.3,266.7,519.9,1705.1,2410.1,87.8,60.4,8.2
0.091986,522.4,56.7,1717.5,143.1,2406.5,270.9,524.8,1700.5,2404.9,87.7,60.6,7.9
0.093986,525.1,52.3,1709.6,134.1,2395.7,266.1,529.8,1695.7,2399.2,87.5,60.7,7.8
0.095986,528.5,46.2,1699.7,119.5,2386.2,260.7,534.8,1690.7,2393,87.3,60.7,7.7
0.097986,532.5,43.9,1689.3,110.7,2380.0,269.8,539.8,1685.5,2386.3,87.1,60.7,7.8
0.099986,537.6,50.4,1677.6,116.6,2375.5,316.7,544.9,1680.1,2379.1,86.9,60.6,8
0.101986,543.3,61.4,1665.1,138.3,2358.6,405.4,549.9,1674.4,2371.4,86.7,60.5,8.2
0.103986,546.2,61.8,1651.8,164.4,2325.3,481.3,554.8,1668.5,2363.2,86.5,60.5,8.5
0.105986,547.8,53.5,1638.4,175.9,2292.0,498.3,559.7,1662.4,2354.5,86.3,60.3,8.8
0.107986,549.9,46.8,1630.8,170.2,2282.5,465.3,564.4,1656,2345.4,86.1,60.1,9.1
0.109986,553.4,47.5,1631.3,162.8,2299.8,421.5,569,1649.4,2335.9,85.9,59.9,9.5
0.111986,561.3,60.8,1635.0,164.3,2327.0,394.6,573.5,1642.4,2325.9,85.8,59.6,10
0.113986,572.9,76.5,1630.5,164.9,2335.1,379.7,577.8,1635.2,2315.6,85.6,59.4,10.2
0.115986,580.4,75.3,1618.4,152.3,2327.1,348.4,581.9,1627.7,2304.9,85.4,59.2,10.3
0.117986,582.4,64.6,1607.5,133.6,2321.4,298.7,585.8,1619.9,2294,85.2,59,10
0.119986,581.7,55.4,1598.4,121.1,2324.8,252.2,589.6,1611.8,2282.7,85.1,58.9,9.3
0.121986,582.0,55.3,1589.3,125.2,2341.3,220.5,593.1,1603.4,2271.3,84.9,58.8,8.6
0.123986,590.3,69.5,1578.4,150.2,2366.1,207.3,596.3,1594.7,2259.7,84.8,58.7,8
0.125986,606.0,84.7,1567.2,172.2,2381.9,218.9,599.3,1585.7,2247.9,84.7,58.6,7.8
0.127986,615.0,83.2,1559.0,170.4,2381.0,245.7,602.1,1576.4,2236,84.5,58.5,8.2
0.129986,617.5,74.1,1551.6,160.3,2366.4,276.8,604.7,1566.8,2224.1,84.4,58.4,8.8
0.131986,617.0,66.0,1544.3,153.2,2339.4,309.6,607,1556.9,2212.2,84.3,58.3,9.6
0.133986,614.9,65.0,1538.5,162.4,2299.8,360.3,609.1,1546.6,2200.3,84.2,58.3,10.5
0.135986,612.5,72.8,1536.5,211.2,2233.0,477.2,610.9,1536.1,2188.6,84.1,58.3,11.3
0.137986,611.5,74.5,1539.3,290.3,2123.5,631.9,612.5,1525.4,2177,84,58.5,11.9
0.139986,611.0,67.4,1540.4,342.7,2034.4,696.8,613.9,1514.3,2165.6,83.9,58.6,12.6
0.141986,610.8,58.8,1533.7,339.9,2029.5,688.7,615.2,1503,2154.5,83.8,58.7,13.3
0.143986,610.8,53.9,1525.0,327.5,2066.8,663.6,616.2,1491.4,2143.7,83.7,58.8,13.8
0.145986,612.3,59.5,1515.2,364.2,2085.3,628.8,617.1,1479.7,2133.2,83.6,58.8,14.3
0.147986,617.8,76.9,1495.8,462.6,2039.1,579.8,617.8,1467.7,2123.1,83.6,58.9,14.6
0.149986,623.6,84.4,1465.8,515.7,1999.5,504.3,618.4,1455.5,2113.5,83.5,59,14.7
0.151986,625.5,76.9,1447.4,500.6,1991.3,443.7,618.9,1443.1,2104.3,83.4,59.2,14.8
0.153986,625.0,66.7,1439.2,472.1,1993.3,398.8,619.3,1430.6,2095.7,83.4,59.2,14.8
0.155986,623.1,60.1,1435.0,457.9,1998.4,364.7,619.6,1418,2087.6,83.3,59.3,14.9
0.157986,621.0,64.5,1429.2,479.1,2009.6,352.7,619.8,1405.2,2080.1,83.3,59.2,15.1
