time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025587,424.2,93.3,1728.1,94.6,2395.7,140.2,437.6,1764,2393.7,98.8,61.8,9.6
0.027587,426.5,83.6,1728.4,86.1,2397.0,129.5,438.2,1764.3,2395.1,98.7,62.1,11
0.029587,429.9,76.1,1731.7,86.4,2399.3,133.7,439,1764.8,2397.4,98.6,62.3,11.6
0.031587,435.2,81.4,1743.5,101.9,2404.1,167.7,440.2,1765.4,2400.5,98.5,62.3,11.7
0.033587,441.8,98.8,1763.0,122.7,2411.5,223.3,441.7,1766.2,2404.5,98.3,62.3,11.7
0.035587,446.1,110.7,1774.3,125.2,2418.5,245.3,443.5,1767.1,2409.1,98.2,62.2,11.8
0.037587,447.7,107.6,1776.4,115.8,2424.7,234.1,445.6,1767.9,2414.4,98,62,12.2
0.039587,449.5,98.3,1776.4,109.1,2430.4,218.8,448,1768.8,2420.2,97.9,61.9,12.8
0.041587,455.2,96.8,1780.1,114.7,2435.0,216.3,450.7,1769.5,2426.3,97.7,61.9,13.5
0.043587,464.3,106.0,1789.9,129.0,2439.3,224.7,453.6,1770.1,2432.7,97.6,61.9,14.2
0.045587,469.9,110.7,1798.0,133.3,2444.2,227.6,456.7,1770.4,2439.2,97.4,61.9,14.5
0.047587,469.8,103.5,1801.2,127.6,2449.4,223.8,460,1770.4,2445.6,97.3,61.9,14.5
0.049587,468.1,90.1,1800.6,122.5,2454.3,225.7,463.5,1770.1,2451.9,97.1,62,14.1
0.051587,470.3,80.7,1795.3,130.0,2457.8,253.3,467.2,1769.3,2457.8,97,62.1,13.4
0.053587,477.8,80.4,1785.1,154.5,2459.1,314.8,471,1768.1,2463.3,96.8,62.2,12.6
0.055587,483.1,80.4,1776.4,170.4,2459.3,349.8,474.9,1766.2,2468.2,96.6,62.4,11.8
0.057587,483.1,74.5,1771.2,168.3,2460.4,343.9,479,1763.9,2472.4,96.5,62.5,11.2
0.059587,481.0,66.6,1766.8,157.9,2460.3,322.0,483.1,1760.9,2475.7,96.3,62.7,10.7
0.061587,481.4,64.3,1759.7,143.4,2454.3,291.3,487.4,1757.2,2478.1,96.2,62.9,10.2
0.063587,487.7,71.1,1749.9,126.3,2445.6,257.2,491.7,1752.9,2479.5,96,63,9.7
0.065587,495.1,77.2,1742.3,112.3,2443.3,234.2,496.1,1747.9,2479.8,95.9,63.2,9.3
0.067587,498.9,75.5,1735.7,100.7,2445.5,218.5,500.6,1742.3,2478.9,95.8,63.4,8.9
0.069587,500.1,70.9,1727.8,91.1,2450.4,207.5,505.2,1736.1,2476.8,95.7,63.5,8.4
0.071587,501.3,72.7,1717.0,84.7,2457.8,205.8,509.8,1729.2,2473.5,95.5,63.6,8
0.073587,505.5,88.2,1704.1,80.3,2464.9,212.5,514.6,1721.8,2468.9,95.4,63.7,7.7
0.075587,512.4,102.2,1695.5,73.6,2466.8,210.5,519.4,1713.8,2463.2,95.3,63.9,7.4
0.077587,518.6,98.6,1690.2,64.8,2467.6,197.2,524.3,1705.4,2456.3,95.2,64,7.3
0.079587,524.3,86.8,1685.2,56.7,2469.3,182.6,529.3,1696.6,2448.2,95.1,64.2,7.5
0.081587,531.5,77.7,1679.0,52.4,2469.1,177.3,534.4,1687.4,2439.1,95.1,64.3,7.7
0.083587,542.7,79.3,1670.6,55.0,2458.9,195.1,539.7,1677.9,2429.1,95,64.4,8
0.085587,553.9,91.0,1662.9,61.7,2437.1,227.3,545,1668.2,2418.1,94.9,64.5,8.1
0.087587,559.6,95.0,1658.0,62.2,2420.5,236.2,550.5,1658.3,2406.4,94.8,64.6,8
0.089587,561.9,87.2,1653.4,57.5,2413.0,225.1,556.2,1648.3,2394,94.8,64.7,7.5
0.091587,564.7,75.6,1647.2,53.1,2406.9,213.2,561.9,1638.3,2381,94.7,64.8,6.9
0.093587,569.9,70.2,1637.0,54.8,2394.3,217.9,567.9,1628.3,2367.7,94.7,64.9,6.3
0.095587,577.6,77.7,1621.7,67.3,2370.6,249.0,573.9,1618.3,2354.1,94.7,64.9,5.9
0.097587,584.2,89.4,1608.7,80.7,2351.4,277.2,580.1,1608.5,2340.3,94.6,65,5.8
0.099587,588.3,91.6,1600.5,84.8,2343.9,284.4,586.4,1598.8,2326.6,94.6,65,6
0.101587,591.2,87.4,1593.5,85.5,2339.6,283.0,592.8,1589.2,2312.9,94.6,65,6.4
0.103587,595.3,87.9,1583.7,93.9,2324.0,281.4,599.4,1579.8,2299.5,94.6,64.9,6.8
0.105587,602.6,105.8,1568.9,120.4,2284.9,272.9,606,1570.6,2286.5,94.6,64.8,7.1
0.107587,611.5,133.1,1553.1,148.0,2246.1,251.7,612.6,1561.6,2273.9,94.6,64.7,7.1
0.109587,617.1,143.7,1541.8,155.4,2225.2,229.9,619.3,1552.7,2262,94.6,64.6,6.9
0.111587,619.2,138.0,1533.4,153.2,2214.9,212.1,626,1544,2250.7,94.6,64.5,6.7
0.113587,620.9,134.3,1526.6,158.8,2210.4,198.9,632.7,1535.5,2240.2,94.6,64.3,6.4
0.115587,628.9,152.9,1522.6,192.7,2209.8,186.7,639.3,1527,2230.5,94.6,64.2,6.5
0.117587,646.2,191.1,1521.6,246.7,2207.3,174.1,645.8,1518.6,2221.7,94.6,64.1,6.9
0.119587,661.0,209.2,1519.4,275.1,2203.0,160.3,652.1,1510.2,2213.9,94.6,63.9,7.9
0.121587,665.8,201.7,1514.8,278.6,2198.9,147.3,658.3,1501.9,2207,94.7,63.8,9.1
0.123587,664.9,187.3,1506.5,280.6,2193.8,138.6,664.2,1493.5,2201.1,94.7,63.7,10.3
0.125587,665.5,183.5,1493.9,302.5,2186.7,143.5,669.9,1485.1,2196.2,94.7,63.6,11.3
0.127587,674.9,195.9,1481.7,348.9,2178.6,164.9,675.3,1476.6,2192.3,94.8,63.5,11.8
0.129587,686.3,200.4,1475.9,379.4,2174.7,176.1,680.3,1468,2189.4,94.8,63.5,12
0.131587,691.0,189.5,1471.9,385.2,2175.2,168.7,685,1459.3,2187.5,94.9,63.4,11.9
0.133587,691.5,177.5,1465.6,394.2,2177.4,160.2,689.2,1450.5,2186.4,94.9,63.4,11.7
0.135587,694.2,175.9,1454.6,437.5,2182.5,164.4,693,1441.5,2186.3,94.9,63.5,11.6
0.137587,703.8,187.1,1441.8,522.5,2191.4,182.8,696.3,1432.5,2187,95,63.5,11.6
0.139587,712.3,190.3,1434.2,580.6,2197.8,186.3,699.2,1423.4,2188.4,95.1,63.6,11.6
0.141587,712.6,179.6,1427.3,581.3,2199.5,168.2,701.5,1414.2,2190.6,95.1,63.7,11.6
0.143587,708.6,166.9,1415.9,560.1,2199.8,146.9,703.2,1405.1,2193.5,95.2,63.7,11.7
0.145587,704.0,162.5,1395.0,538.2,2203.7,133.3,704.5,1395.9,2196.9,95.2,63.7,12
