time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025474,406.8,58.5,1661.1,64.2,2309.4,180.3,421.6,1685.2,2305.2,97.6,57.7,5.5
0.027474,409.3,61.7,1672.0,64.8,2304.9,161.2,421.9,1686.7,2305.9,97.4,58.4,6
0.029474,412.6,74.2,1685.4,70.0,2302.0,156.0,422.5,1689.2,2307,97.3,59.1,5.6
0.031474,415.9,82.5,1693.6,70.2,2302.0,157.4,423.4,1692.5,2308.6,97.1,59.6,5
0.033474,418.9,78.3,1697.4,64.0,2303.9,153.3,424.4,1696.6,2310.5,96.9,60,4.5
0.035474,422.3,69.5,1700.8,57.1,2307.9,147.3,425.8,1701.3,2312.7,96.7,60.3,4.5
0.037474,427.5,64.2,1707.0,55.0,2314.3,148.7,427.3,1706.5,2315.1,96.6,60.5,5.3
0.039474,435.4,70.8,1717.6,61.6,2320.1,160.4,429,1712.1,2317.6,96.4,60.7,7.3
0.041474,443.8,85.5,1728.0,67.4,2322.4,168.2,431,1717.8,2320,96.2,60.9,9.8
0.043474,447.2,89.8,1732.7,64.2,2323.1,166.4,433.1,1723.4,2322.3,96,61.1,12.2
0.045474,446.9,81.9,1734.9,57.7,2324.0,161.3,435.5,1728.8,2324.5,95.8,61.3,13.9
0.047474,446.6,71.6,1737.9,53.7,2326.0,156.1,438,1733.8,2326.3,95.7,61.4,14.2
0.049474,448.7,70.5,1743.7,59.6,2328.1,152.9,440.7,1738.2,2327.7,95.5,61.6,13.1
0.051474,452.8,81.4,1751.9,74.8,2329.4,148.4,443.6,1741.8,2328.6,95.3,61.8,11.3
0.053474,455.2,89.0,1756.2,80.5,2330.7,140.0,446.6,1744.5,2328.9,95.2,62,9.4
0.055474,455.3,85.0,1756.4,74.9,2332.3,130.4,449.8,1746.2,2328.6,95,62.2,8
0.057474,455.5,75.2,1754.6,67.2,2334.6,122.4,453.2,1746.7,2327.7,94.9,62.3,7.8
0.059474,458.4,69.6,1750.4,66.2,2336.2,122.9,456.6,1746.1,2326.1,94.7,62.5,8.6
0.061474,464.3,73.4,1741.7,76.0,2333.8,133.7,460.2,1744.2,2323.9,94.6,62.7,9.9
0.063474,468.2,77.9,1733.3,82.2,2328.2,137.4,464,1741,2321,94.5,62.9,11.2
0.065474,468.3,75.2,1728.9,77.8,2324.2,132.6,467.8,1736.6,2317.5,94.4,63,12.3
0.067474,466.9,68.5,1726.0,70.2,2320.9,126.1,471.8,1731,2313.4,94.3,63.1,12.5
0.069474,466.5,65.4,1721.5,66.9,2316.1,124.3,475.9,1724.3,2308.9,94.2,63.2,12.2
0.071474,469.8,73.3,1710.4,73.7,2304.6,131.9,480.1,1716.5,2303.9,94.1,63.2,11.5
0.073474,476.0,85.1,1695.9,81.9,2291.1,137.1,484.4,1707.9,2298.7,94,63.2,10.8
0.075474,480.6,86.4,1687.5,79.6,2284.8,131.9,488.8,1698.4,2293.2,93.9,63.2,10.1
0.077474,482.9,80.5,1682.7,72.1,2281.9,123.5,493.3,1688.4,2287.7,93.9,63.2,9.8
0.079474,484.4,76.9,1677.5,67.0,2278.5,118.5,498,1677.9,2282.2,93.8,63.1,9.6
0.081474,489.1,85.7,1666.3,70.0,2269.5,122.4,502.8,1667.1,2276.8,93.7,63,9.5
0.083474,500.6,104.9,1649.3,78.6,2255.1,131.7,507.7,1656.2,2271.6,93.6,62.9,9.4
0.085474,512.3,108.7,1637.7,78.4,2246.5,132.7,512.7,1645.3,2266.8,93.6,62.8,9.4
0.087474,520.0,98.1,1632.0,71.3,2244.3,128.0,517.8,1634.5,2262.4,93.5,62.8,9.2
0.089474,524.9,86.9,1628.5,65.1,2245.0,125.1,523.1,1624.1,2258.4,93.4,62.7,8.9
0.091474,530.3,82.7,1623.6,65.7,2247.5,132.3,528.4,1614,2254.9,93.3,62.6,8.6
0.093474,538.4,88.9,1613.7,79.7,2249.6,158.5,533.9,1604.4,2252.1,93.3,62.6,8.4
0.095474,546.1,90.6,1599.2,94.8,2247.2,184.3,539.5,1595.4,2249.7,93.2,62.6,8.3
0.097474,552.0,82.3,1587.0,94.9,2244.8,188.8,545.3,1586.9,2248,93.1,62.7,8.3
0.099474,557.3,73.8,1580.7,86.7,2247.5,181.6,551.1,1579.1,2246.8,93,62.7,8.6
0.101474,564.2,73.1,1577.2,81.6,2257.0,173.5,557,1571.8,2246,92.9,62.8,8.9
0.103474,573.6,87.7,1573.0,88.0,2269.8,168.9,563.1,1565,2245.7,92.8,62.9,9.3
0.105474,581.9,104.2,1564.8,98.3,2275.6,165.9,569.2,1558.7,2245.7,92.7,63,9.7
0.107474,586.6,104.9,1554.0,99.0,2276.2,160.3,575.3,1552.8,2246,92.6,63.2,9.8
0.109474,588.8,95.1,1544.6,92.8,2276.2,154.0,581.5,1547.1,2246.4,92.5,63.2,9.9
0.111474,590.5,86.0,1536.8,89.3,2275.0,152.7,587.7,1541.6,2246.9,92.4,63.3,9.9
0.113474,593.3,89.4,1533.5,103.7,2265.0,170.5,593.9,1536,2247.2,92.3,63.2,9.9
0.115474,598.6,106.6,1535.3,140.3,2243.3,202.5,600,1530.3,2247.4,92.1,63.2,9.9
