time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025211,381.2,78.4,1707.7,64.8,2365.7,184.1,409.9,1737.5,2364.2,86.3,55.1,5.9
0.027211,388.6,72.0,1711.8,73.6,2357.3,199.0,409.9,1738.2,2364.7,86.3,56.1,7.7
0.029211,398.6,67.6,1717.8,82.3,2353.6,207.1,410,1739.2,2365.5,86.2,56.9,9.1
0.031211,404.3,59.7,1722.5,78.7,2356.7,194.5,410.1,1740.7,2366.6,86.2,57.5,10.4
0.033211,405.9,49.3,1725.4,68.2,2362.5,170.8,410.3,1742.5,2368,86.2,57.9,11.6
0.035211,406.2,39.5,1728.2,59.2,2370.0,148.2,410.5,1744.7,2369.6,86.2,58.2,12.4
0.037211,407.7,34.6,1732.7,59.3,2380.8,138.1,410.8,1747.2,2371.6,86.1,58.4,12.8
0.039211,412.2,37.3,1743.3,76.9,2395.2,145.9,411.1,1750,2373.8,86.1,58.5,12.7
0.041211,416.5,42.5,1757.6,96.3,2404.5,151.4,411.5,1753,2376.2,86,58.7,11.9
0.043211,417.5,42.0,1765.9,94.4,2408.0,139.6,411.9,1756.3,2378.7,86,58.8,11
0.045211,416.5,36.9,1768.9,83.6,2409.1,123.0,412.4,1759.7,2381.5,85.9,58.9,10.1
0.047211,415.8,31.2,1770.6,76.2,2410.0,112.1,413,1763.3,2384.4,85.8,58.9,9.6
0.049211,417.0,29.0,1774.5,80.9,2413.2,116.4,413.7,1766.9,2387.4,85.8,58.9,9.6
0.051211,421.1,33.6,1783.5,105.0,2417.5,146.9,414.5,1770.5,2390.5,85.7,58.9,9.8
0.053211,424.7,39.2,1794.2,120.2,2419.3,171.8,415.4,1774.1,2393.7,85.6,58.8,10.2
0.055211,425.4,38.9,1800.3,112.0,2419.1,167.6,416.4,1777.6,2396.8,85.5,58.8,10.6
0.057211,424.5,34.6,1803.6,98.4,2415.8,155.5,417.5,1781,2400,85.4,58.8,11.1
0.059211,423.2,30.4,1808.0,88.0,2409.6,149.7,418.8,1784.1,2403.1,85.3,58.7,11.6
0.061211,423.2,32.1,1815.2,90.5,2400.4,168.5,420.2,1787,2406,85.2,58.5,12.3
0.063211,426.0,42.0,1819.6,107.1,2386.8,213.7,421.7,1789.5,2408.9,85.1,58.4,13
0.065211,429.1,48.1,1816.2,112.4,2377.1,229.5,423.4,1791.7,2411.6,85,58.4,13.7
0.067211,430.0,45.7,1812.3,102.0,2380.3,213.6,425.3,1793.4,2414.1,84.9,58.4,14.2
0.069211,429.5,40.4,1809.5,87.6,2391.5,189.8,427.3,1794.7,2416.3,84.8,58.3,14.5
0.071211,429.0,37.6,1806.3,77.7,2407.9,168.3,429.4,1795.4,2418.3,84.7,58.2,14.8
0.073211,431.1,43.9,1798.2,81.6,2423.4,160.2,431.8,1795.5,2419.9,84.6,58,15
0.075211,439.3,62.3,1785.2,100.9,2426.4,174.8,434.3,1795.1,2421.3,84.5,57.8,15.1
0.077211,447.7,73.0,1777.1,110.4,2417.4,188.7,436.9,1793.9,2422.2,84.5,57.7,15.1
0.079211,450.8,68.5,1775.4,103.5,2408.3,186.0,439.8,1792.1,2422.8,84.4,57.6,15
0.081211,449.7,58.8,1776.2,91.9,2403.4,174.3,442.8,1789.6,2423,84.3,57.5,14.8
0.083211,447.1,52.3,1776.3,85.8,2399.7,168.1,446,1786.3,2422.7,84.2,57.4,14.5
0.085211,447.1,58.7,1770.4,97.4,2390.7,188.1,449.3,1782.2,2421.9,84.1,57.4,14.1
0.087211,453.8,77.6,1757.7,119.5,2374.4,222.5,452.8,1777.4,2420.7,84,57.4,13.6
0.089211,462.7,85.7,1749.1,121.3,2365.5,228.0,456.5,1771.8,2419,83.9,57.5,13
0.091211,467.1,78.5,1746.5,108.0,2367.0,211.8,460.3,1765.4,2416.8,83.9,57.6,12.3
