time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025898,408.0,57.8,1644.5,65.6,2362.9,181.3,437.9,1664.9,2351.4,94,55.6,13.6
0.027898,417.4,70.0,1647.4,76.6,2370.8,211.6,437.9,1665.1,2351.8,93.6,56.5,18.7
0.029898,427.3,77.5,1650.0,81.7,2374.5,216.0,438,1665.5,2352.4,93.3,57.2,14.4
0.031898,432.2,72.0,1653.0,73.8,2376.8,194.9,438.1,1666,2353.3,93,57.7,6.2
0.033898,434.2,61.6,1656.3,62.4,2380.2,169.3,438.2,1666.6,2354.4,92.7,58.2,-0.2
0.035898,435.7,51.2,1659.9,52.9,2385.4,148.4,438.3,1667.3,2355.7,92.3,58.5,-0.4
0.037898,437.8,46.7,1662.7,52.0,2390.8,146.4,438.5,1668.1,2357.3,92,58.8,1.9
0.039898,440.7,49.8,1664.0,64.1,2390.1,177.4,438.7,1669.1,2359,91.7,59.1,5.2
0.041898,442.9,52.4,1665.0,75.2,2379.2,212.2,439,1670.1,2361,91.4,59.4,8.8
0.043898,444.4,49.7,1667.9,72.4,2373.1,212.2,439.3,1671.2,2363,91.1,59.6,11.9
0.045898,445.7,44.6,1672.3,63.1,2374.9,189.6,439.7,1672.4,2365.2,90.8,59.7,14
0.047898,446.5,41.3,1676.3,56.3,2378.8,166.5,440.2,1673.6,2367.5,90.5,59.7,15.7
0.049898,446.5,44.4,1679.2,58.7,2377.1,164.3,440.7,1674.9,2369.9,90.3,59.7,17.1
0.051898,446.3,54.7,1680.9,71.3,2362.5,196.0,441.3,1676.2,2372.4,90,59.7,18.1
0.053898,447.4,59.5,1682.9,75.6,2347.6,221.7,442,1677.5,2374.8,89.8,59.7,18.9
0.055898,449.4,56.3,1686.0,68.4,2344.7,221.0,442.9,1678.7,2377.3,89.6,59.8,19.3
0.057898,451.1,51.5,1689.3,59.4,2351.7,206.6,443.8,1679.9,2379.7,89.4,59.8,19.3
0.059898,451.8,50.5,1692.8,55.0,2363.1,196.7,444.8,1681.1,2382.1,89.2,59.8,19
