time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025680,439.7,61.4,1769.8,76.6,2436.3,127.6,450.5,1785.1,2464.8,98.7,59.4,6.6
0.027680,440.0,51.7,1766.4,67.4,2436.1,113.7,451.4,1785.2,2464.6,98.7,59.8,7.2
0.029680,444.0,47.5,1767.9,64.7,2440.7,105.7,452.9,1785.4,2464.4,98.6,60.1,8
0.031680,455.3,53.6,1778.1,71.0,2448.9,107.4,454.8,1785.6,2464,98.6,60.2,8.9
0.033680,469.9,63.4,1788.7,74.7,2454.5,109.2,457.3,1785.8,2463.6,98.5,60.2,9.8
0.035680,476.9,67.5,1791.2,70.9,2456.5,105.2,460.3,1786,2463.1,98.4,60.3,10.7
0.037680,476.6,67.4,1789.4,65.8,2458.6,99.9,463.8,1786.1,2462.7,98.4,60.4,11.4
0.039680,475.5,69.1,1788.5,66.1,2466.3,102.4,467.6,1786,2462.4,98.3,60.5,12.2
0.041680,479.9,77.3,1793.8,76.0,2482.8,120.1,471.8,1785.8,2462.2,98.2,60.7,12.9
0.043680,487.4,82.3,1800.8,84.1,2496.5,137.5,476.3,1785.3,2462.3,98.1,60.9,13.5
0.045680,489.6,76.0,1799.3,79.7,2494.9,137.3,481,1784.4,2462.5,98.1,61.1,13.8
0.047680,487.4,64.8,1791.9,69.4,2484.0,126.2,485.9,1783.3,2463,98,61.3,13.8
0.049680,484.7,58.0,1783.8,61.3,2473.2,117.1,491,1781.7,2463.7,97.9,61.6,13.5
0.051680,486.4,63.3,1779.1,62.0,2469.4,125.2,496.1,1779.7,2464.8,97.8,61.8,13
0.053680,493.2,72.0,1776.6,63.9,2470.7,140.3,501.3,1777.2,2466.2,97.8,62,12.5
0.055680,498.3,70.5,1773.7,59.5,2471.9,141.8,506.4,1774.3,2467.9,97.7,62.2,11.9
0.057680,500.6,63.2,1769.9,52.6,2472.6,134.2,511.5,1770.9,2469.8,97.6,62.4,11.2
0.059680,503.0,57.6,1766.4,48.6,2477.4,127.3,516.4,1767.1,2472,97.5,62.6,10.4
0.061680,508.5,60.6,1764.5,53.8,2490.7,131.2,521.2,1762.9,2474.4,97.4,62.8,9.5
0.063680,516.9,67.9,1763.1,66.0,2504.2,140.4,525.9,1758.2,2476.9,97.3,63,8.7
0.065680,522.7,66.1,1759.6,69.4,2505.9,139.2,530.4,1753.2,2479.4,97.2,63.2,8.1
0.067680,526.2,57.0,1753.9,64.3,2499.9,130.5,534.6,1747.9,2481.9,97.2,63.4,7.7
0.069680,530.8,47.6,1747.1,59.2,2490.2,121.7,538.7,1742.3,2484.2,97.1,63.6,7.4
0.071680,538.8,45.0,1740.1,61.9,2481.7,122.7,542.6,1736.6,2486.1,97,63.7,7.2
0.073680,550.1,51.7,1734.0,73.3,2478.6,133.8,546.3,1730.7,2487.7,96.9,63.7,7.1
0.075680,558.2,57.6,1729.2,78.6,2477.2,137.4,549.8,1724.8,2488.8,96.8,63.9,7.1
0.077680,561.4,54.3,1723.8,75.2,2472.6,130.7,553.1,1718.8,2489.1,96.7,64,7.2
0.079680,563.8,45.5,1716.9,71.5,2465.5,123.9,556.3,1712.9,2488.7,96.6,64.3,7.3
0.081680,569.0,39.8,1708.0,75.8,2459.5,131.4,559.5,1707.1,2487.4,96.5,64.5,7.6
0.083680,577.0,41.4,1698.2,88.0,2456.1,161.1,562.5,1701.4,2485.1,96.4,64.8,7.8
0.085680,582.6,45.5,1691.5,93.1,2450.3,185.5,565.5,1695.8,2481.7,96.3,65.1,7.9
0.087680,584.2,46.3,1685.9,90.9,2438.8,190.4,568.5,1690.3,2477.1,96.2,65.4,7.9
0.089680,583.1,43.6,1679.1,88.3,2424.5,188.2,571.6,1684.9,2471.3,96.1,65.6,7.9
0.091680,581.4,41.1,1671.5,91.6,2415.8,199.0,574.8,1679.5,2464.2,96,65.7,7.8
0.093680,581.6,43.1,1664.2,105.7,2423.9,250.1,578,1674.2,2455.8,95.8,65.8,7.8
0.095680,584.5,47.9,1660.0,119.0,2442.0,317.1,581.4,1668.8,2446.2,95.7,66,7.9
0.097680,587.6,49.3,1655.3,122.4,2447.4,343.3,585,1663.3,2435.4,95.6,66,8.3
0.099680,589.6,46.6,1646.9,122.0,2437.9,330.6,588.7,1657.5,2423.3,95.5,66.1,8.8
0.101680,589.8,43.0,1634.8,125.9,2425.8,310.2,592.7,1651.4,2410.3,95.4,66,9.4
0.103680,589.6,43.1,1618.9,145.4,2423.4,314.8,596.9,1644.8,2396.2,95.2,66,10
0.105680,591.7,47.7,1608.7,175.2,2431.3,355.6,601.3,1637.7,2381.3,95.1,65.9,10.4
0.107680,596.1,49.4,1607.2,191.2,2430.8,393.3,606,1629.9,2365.7,95,65.9,10.7
