time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025122,551.5,685.1,1916.4,214.6,2452.9,413.5,413.2,1981.6,2450.7,0,32.2,-200
0.027122,475.2,661.0,1931.4,182.1,2419.2,432.9,412.8,1980.8,2448.2,0,34.3,-187.1
0.029122,409.1,500.3,1948.4,167.0,2374.9,452.3,412.2,1979.5,2444.1,0,37.4,-148.1
0.031122,371.4,280.5,1963.9,161.5,2335.3,478.7,411.4,1977.8,2438.6,0,40.1,-99.5
0.033122,358.4,138.9,1984.7,147.0,2364.0,545.8,410.3,1975.6,2431.6,0,42.8,-50.7
0.035122,366.3,103.3,1999.6,127.1,2479.2,532.0,409.1,1973.1,2423.3,0,45.1,-11.2
0.037122,380.2,92.2,2008.5,134.1,2540.0,460.5,407.7,1970.2,2413.9,82.1,47,10.8
0.039122,388.8,79.4,2015.4,150.5,2546.5,423.7,406.2,1967,2403.4,81.9,48.3,19.4
0.041122,392.4,68.1,2013.0,153.9,2526.7,400.8,404.6,1963.7,2392.2,81.7,49.3,19.4
0.043122,393.3,58.8,1996.0,147.2,2483.1,376.0,403,1960.1,2380.4,81.5,50,15.3
0.045122,391.5,53.1,1964.5,149.6,2402.5,358.4,401.3,1956.6,2368.1,81.3,50.6,11.2
0.047122,390.5,52.5,1936.8,174.5,2316.4,357.6,399.7,1953,2355.6,81.2,51.3,10.3
0.049122,389.7,57.7,1934.1,196.7,2257.2,2983.7,398,1949.5,2343.2,81,52,8.7
0.051122,388.8,58.1,1937.6,189.3,2201.7,2165.1,396.5,1946.1,2330.9,80.8,52.6,6.3
0.053122,389.2,53.9,1937.1,164.5,2251.1,2249.5,395.1,1942.9,2319,80.6,53,3.9
0.055122,390.0,48.6,1936.3,132.1,2281.1,347.1,393.8,1939.9,2307.6,80.4,53.3,2.4
0.057122,390.5,45.5,1935.8,100.2,2278.1,287.6,392.7,1937.2,2296.9,80.2,53.3,2.7
0.059122,390.8,48.6,1936.5,79.8,2275.5,250.0,391.7,1934.9,2287.1,80.1,53.2,4.5
0.061122,391.8,63.6,1937.4,94.7,2268.6,282.6,391,1932.8,2278.3,79.9,53.2,7.2
0.063122,396.0,77.4,1934.8,140.5,2245.5,319.9,390.5,1931.1,2270.6,79.8,53.2,10.1
0.065122,401.1,73.9,1929.8,160.9,2231.0,308.0,390.1,1929.8,2263.9,79.7,53.3,12.5
0.067122,403.6,63.3,1928.6,147.5,2232.0,290.7,390,1928.8,2258.5,79.5,53.4,13.6
0.069122,404.2,53.6,1930.3,124.4,2240.8,277.8,390.1,1928.1,2254.3,79.4,53.4,13.8
0.071122,403.3,47.8,1933.3,102.3,2256.9,272.3,390.3,1927.8,2251.3,79.3,53.3,13.5
0.073122,400.6,52.1,1935.4,93.1,2277.3,288.5,390.8,1927.7,2249.5,79.3,53.1,13
0.075122,395.0,72.2,1933.2,108.6,2284.5,334.2,391.3,1927.8,2248.9,79.2,53,12.8
0.077122,391.4,86.4,1928.0,127.3,2269.1,348.5,392.1,1928.2,2249.3,79.2,53,13.1
0.079122,392.8,81.3,1923.6,125.1,2258.0,323.3,392.9,1928.7,2250.6,79.1,53.1,13.9
0.081122,395.2,69.5,1921.9,111.0,2257.1,294.4,393.8,1929.2,2252.9,79.1,53.1,14.9
0.083122,396.1,60.0,1923.0,96.1,2264.6,278.2,394.7,1929.9,2255.9,79.1,53.1,15.9
0.085122,394.4,57.1,1926.5,88.4,2285.9,293.0,395.7,1930.5,2259.5,79.1,53.1,16.5
0.087122,391.5,66.2,1930.4,104.4,2313.0,360.0,396.6,1931,2263.6,79.2,53.2,16.7
0.089122,392.4,74.5,1929.7,132.0,2304.0,391.9,397.5,1931.5,2268,79.2,53.4,16.2
0.091122,396.5,69.8,1926.7,132.3,2288.1,360.3,398.3,1931.9,2272.7,79.2,53.6,15.4
0.093122,399.6,60.6,1925.9,116.8,2284.4,327.0,399,1932,2277.5,79.3,53.7,14.6
0.095122,401.3,52.5,1926.8,97.0,2289.1,298.2,399.6,1932,2282.3,79.3,53.7,14.1
0.097122,401.4,50.8,1927.9,80.9,2300.1,279.8,400,1931.8,2286.9,79.3,53.6,14.1
0.099122,400.5,62.4,1925.6,83.0,2309.3,303.4,400.3,1931.4,2291.3,79.4,53.6,14.6
0.101122,398.7,76.8,1919.3,116.2,2296.9,372.5,400.4,1930.8,2295.3,79.5,53.6,15.2
0.103122,398.3,74.4,1914.8,142.9,2273.0,388.1,400.3,1930,2298.9,79.5,53.7,16
0.105122,398.9,63.5,1915.1,141.0,2263.3,368.6,400,1929.1,2302.1,79.6,53.8,16.6
0.107122,399.0,53.0,1919.7,123.9,2267.8,347.1,399.6,1928,2304.8,79.6,53.8,16.9
0.109122,398.0,47.1,1927.0,105.2,2284.2,335.6,399,1926.8,2307,79.7,53.8,17
0.111122,395.1,50.4,1935.6,98.5,2313.9,370.6,398.3,1925.5,2308.7,79.7,53.7,17
0.113122,390.8,62.0,1938.6,113.0,2332.5,458.4,397.4,1924.3,2309.8,79.8,53.7,16.9
0.115122,389.0,67.1,1933.6,126.8,2311.1,482.3,396.4,1923,2310.5,79.8,53.8,16.9
0.117122,390.6,60.2,1929.1,121.3,2292.8,440.4,395.3,1921.9,2310.8,79.9,53.8,16.9
0.119122,392.8,50.8,1928.2,106.5,2290.4,395.6,394.1,1920.8,2310.7,79.9,53.8,17
0.121122,393.8,44.8,1930.1,89.9,2301.1,359.0,392.9,1919.9,2310.4,80,53.8,17
0.123122,392.7,46.8,1932.5,78.6,2318.7,337.9,391.7,1919.2,2309.7,80,53.8,17
0.125122,389.0,59.0,1930.9,83.9,2322.9,354.4,390.5,1918.8,2309,80.1,53.8,17.2
0.127122,385.6,64.8,1924.1,105.1,2297.5,373.4,389.3,1918.5,2308.1,80.1,53.9,17.4
0.129122,386.3,57.9,1919.5,111.8,2275.9,348.8,388.2,1918.6,2307.3,80.1,54,17.7
0.131122,388.9,49.2,1919.4,102.6,2270.2,316.6,387.2,1918.8,2306.5,80.2,54,18.1
0.133122,391.5,43.1,1922.5,86.5,2274.9,287.0,386.3,1919.3,2305.8,80.2,53.9,18.5
0.135122,392.6,44.7,1926.9,71.7,2288.7,269.1,385.5,1920.1,2305.4,80.2,53.9,18.8
0.137122,390.7,57.6,1928.8,68.2,2306.5,283.3,384.9,1920.9,2305.1,80.3,53.8,19.1
0.139122,386.3,69.7,1926.4,78.3,2314.5,325.8,384.4,1921.9,2305.2,80.3,53.8,19.3
0.141122,384.9,65.5,1923.4,85.3,2308.8,346.3,384.1,1922.9,2305.5,80.4,53.8,19.5
0.143122,386.6,55.1,1922.4,81.3,2303.5,343.9,384,1923.9,2306.1,80.4,53.8,19.7
0.145122,388.9,46.5,1922.9,70.0,2306.6,336.8,384,1924.7,2307,80.4,53.7,19.7
0.147122,389.9,45.5,1923.6,57.0,2324.3,339.2,384.1,1925.3,2308.2,80.5,53.6,19.5
0.149122,388.6,56.6,1922.7,50.9,2358.0,384.7,384.4,1925.6,2309.6,80.5,53.5,19.2
0.151122,384.6,71.4,1920.0,59.1,2376.8,471.6,384.8,1925.4,2311.3,80.6,53.4,18.8
0.153122,383.4,71.7,1916.8,70.0,2353.4,488.1,385.3,1924.7,2313,80.6,53.4,18.2
0.155122,385.8,61.7,1913.9,73.0,2326.5,452.7,385.9,1923.3,2314.8,80.7,53.4,17.6
0.157122,388.3,51.7,1911.7,70.1,2313.6,420.4,386.5,1921.2,2316.7,80.7,53.4,16.8
0.159122,388.9,47.3,1909.6,67.8,2317.5,411.1,387.2,1918.2,2318.4,80.8,53.3,15.8
0.161122,386.5,52.6,1905.4,75.8,2347.3,456.7,387.8,1914.2,2320,80.8,53.3,14.6
0.163122,383.0,62.1,1896.0,102.3,2386.4,552.8,388.4,1909.3,2321.3,80.9,53.3,13.5
0.165122,383.2,62.5,1887.3,124.8,2391.3,619.7,389,1903.2,2322.3,81,53.3,12.5
0.167122,386.5,54.3,1884.9,120.7,2370.6,651.8,389.5,1896,2323,81,53.5,11.8
0.169122,389.3,46.2,1877.0,107.5,2328.0,666.7,389.9,1887.6,2323.1,81.1,53.6,11.2
0.171122,390.1,44.4,1856.8,92.9,2259.2,627.6,390.2,1878,2322.8,81.2,53.7,10.8
0.173122,388.1,53.7,1838.3,77.3,2213.9,556.2,390.4,1867.3,2321.9,81.2,53.8,10.5
0.175122,383.3,71.5,1832.0,65.0,2206.4,510.1,390.4,1855.4,2320.4,81.3,54,10.3
