time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025927,380.0,128.5,1481.1,225.0,2210.6,743.7,393.9,1512.3,2267,81.6,50.6,7.7
0.027927,385.5,147.1,1532.7,258.5,2204.2,624.1,393.9,1513.6,2267.1,81.5,51,9.9
0.029927,391.3,136.8,1541.3,236.0,2206.8,514.8,393.9,1515.8,2267.1,81.5,51.4,11.1
0.031927,395.7,118.7,1532.3,203.9,2212.2,430.2,393.8,1518.8,2267.1,81.4,51.8,11.8
0.033927,397.2,105.2,1523.8,179.7,2221.7,379.7,393.8,1522.6,2267.2,81.3,52.1,12.2
0.035927,394.7,97.0,1518.2,164.3,2235.5,355.4,393.7,1527.2,2267.3,81.2,52.4,12.3
0.037927,387.1,95.7,1519.7,162.3,2256.2,370.2,393.6,1532.5,2267.5,81.1,52.6,12.1
0.039927,380.9,101.5,1541.1,176.8,2294.9,445.0,393.5,1538.5,2267.8,81,53,11.3
0.041927,386.6,99.2,1567.9,178.4,2331.9,481.0,393.5,1545.2,2268.1,81,53.3,10.1
0.043927,394.4,84.4,1570.3,159.6,2325.2,421.1,393.4,1552.3,2268.6,80.9,53.5,9
0.045927,398.7,68.0,1562.3,135.4,2302.5,340.3,393.4,1560,2269.2,80.8,53.6,8.4
0.047927,400.0,57.5,1557.2,116.2,2288.9,275.7,393.4,1568.1,2270,80.7,53.6,8.6
0.049927,398.4,57.8,1560.9,114.1,2286.3,241.7,393.4,1576.6,2270.9,80.7,53.6,9.7
0.051927,395.1,76.9,1585.1,145.5,2292.8,243.1,393.5,1585.3,2272.1,80.6,53.7,11.2
0.053927,397.0,96.8,1619.4,178.0,2304.7,245.8,393.6,1594.2,2273.4,80.6,53.9,12.8
0.055927,402.3,91.6,1630.2,171.0,2307.9,218.8,393.8,1603.3,2275,80.5,54.2,14.1
0.057927,405.6,75.9,1625.8,146.7,2305.4,183.0,394,1612.4,2276.8,80.5,54.5,14.9
0.059927,406.8,60.2,1619.0,121.2,2302.6,151.2,394.2,1621.6,2278.9,80.4,54.6,15.1
0.061927,406.1,47.6,1613.7,100.8,2301.5,126.9,394.6,1630.7,2281.2,80.4,54.6,15
0.063927,403.0,43.3,1613.1,98.2,2303.0,117.6,394.9,1639.6,2283.8,80.4,54.6,15
0.065927,397.7,50.8,1620.9,127.7,2306.0,121.5,395.4,1648.4,2286.6,80.3,54.5,15.1
0.067927,395.0,59.9,1634.6,166.4,2307.9,119.3,395.9,1657,2289.6,80.3,54.5,15.7
0.069927,396.4,58.3,1643.3,172.7,2310.0,105.3,396.4,1665.3,2292.9,80.3,54.5,16.8
0.071927,398.7,50.9,1647.4,159.5,2313.1,88.1,397,1673.3,2296.4,80.2,54.4,18.2
0.073927,399.4,44.8,1650.4,151.2,2316.5,76.1,397.7,1681,2300.1,80.2,54.3,19.5
0.075927,397.5,44.4,1656.7,170.8,2319.3,77.8,398.4,1688.3,2304,80.2,54.2,20.3
0.077927,394.1,53.5,1677.8,252.7,2318.8,104.0,399.1,1695.3,2308,80.1,54.1,20.5
