time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025134,360.6,41.0,2009.9,69.5,2646.3,67.7,368.7,2043,2662.5,126.7,60.1,5.8
0.027134,360.3,36.0,2014.1,68.7,2652.4,66.5,368.5,2043.2,2662.6,127,60.2,6.6
0.029134,362.2,33.1,2020.0,72.8,2658.3,73.8,368.3,2043.4,2662.8,127.4,60.3,6.1
0.031134,364.6,32.4,2025.4,77.9,2660.5,83.9,368.1,2043.7,2663.1,127.7,60.2,5.2
0.033134,366.8,34.2,2029.6,83.3,2656.9,92.9,367.7,2044.2,2663.4,128.1,60.2,4.4
0.035134,369.6,39.9,2032.8,87.4,2651.1,98.0,367.3,2044.7,2663.7,128.5,60.2,4.2
0.037134,372.0,47.3,2035.4,86.6,2648.8,94.6,366.8,2045.3,2664.1,128.9,60.2,5.2
0.039134,372.1,51.2,2037.2,83.2,2651.3,85.6,366.2,2045.9,2664.6,129.4,60.2,7.4
0.041134,370.5,50.4,2038.1,82.3,2656.6,77.5,365.6,2046.6,2665.1,129.8,60.2,10.2
0.043134,369.4,47.6,2038.2,87.2,2663.4,74.5,364.9,2047.4,2665.6,130.2,60.2,13
0.045134,369.0,45.3,2039.7,95.7,2669.7,75.4,364.2,2048.2,2666.1,130.6,60.2,15
0.047134,368.2,43.4,2045.3,100.1,2673.7,74.3,363.5,2049.1,2666.7,131,60.1,15.6
0.049134,367.6,43.2,2055.9,99.3,2674.7,70.7,362.7,2049.9,2667.2,131.4,60.1,14.7
0.051134,368.0,46.1,2067.5,96.7,2673.8,68.1,361.8,2050.8,2667.7,131.8,60,13.1
0.053134,368.3,50.2,2075.2,94.9,2673.4,66.5,361,2051.7,2668.3,132.2,60,11.4
0.055134,366.6,53.1,2079.0,96.7,2675.4,65.4,360.1,2052.5,2668.7,132.6,59.9,10.2
0.057134,363.7,56.2,2081.4,105.3,2678.9,66.6,359.3,2053.4,2669.1,132.9,59.8,10.1
0.059134,361.2,61.4,2083.2,117.6,2682.1,69.4,358.4,2054.2,2669.5,133.3,59.8,11
0.061134,359.0,66.0,2083.9,124.9,2683.9,70.3,357.6,2054.9,2669.8,133.6,59.7,12.4
0.063134,356.2,67.6,2084.6,125.7,2684.9,69.3,356.7,2055.6,2670,133.8,59.7,13.9
0.065134,353.4,69.0,2086.1,124.9,2685.1,70.1,355.9,2056.2,2670.1,134.1,59.7,14.9
0.067134,351.6,71.0,2086.5,124.0,2683.6,72.4,355.1,2056.8,2670.1,134.3,59.8,15
0.069134,350.4,70.8,2082.3,123.6,2680.2,73.1,354.4,2057.2,2670,134.5,59.9,14.3
0.071134,349.2,68.8,2072.7,125.6,2675.9,73.6,353.7,2057.5,2669.8,134.7,60,13.2
0.073134,348.5,67.3,2060.5,128.9,2672.3,76.6,353,2057.7,2669.4,134.8,60.2,12.1
0.075134,348.8,64.9,2051.8,129.2,2671.2,80.3,352.4,2057.8,2668.9,134.9,60.4,11.4
0.077134,349.1,61.5,2049.0,126.3,2672.5,83.3,351.9,2057.7,2668.3,135,60.6,11.8
0.079134,349.2,59.3,2050.3,123.3,2673.8,89.2,351.4,2057.5,2667.5,135,60.8,13.1
0.081134,349.0,58.3,2052.5,120.5,2672.3,99.4,351,2057.2,2666.5,135,61,15
0.083134,348.1,56.0,2053.1,118.2,2667.6,107.4,350.6,2056.7,2665.4,135,61.2,16.8
0.085134,346.4,53.9,2051.6,118.9,2660.8,110.0,350.4,2056,2664.1,134.9,61.3,18
0.087134,344.4,55.0,2048.6,123.7,2652.8,111.9,350.2,2055.2,2662.6,134.8,61.4,18.2
0.089134,342.9,57.8,2045.6,127.7,2647.1,113.3,350.1,2054.2,2661,134.7,61.5,17.4
0.091134,342.1,58.4,2044.6,125.7,2647.7,110.7,350.1,2053.1,2659.2,134.5,61.5,16
0.093134,342.1,57.5,2046.4,120.8,2653.8,105.7,350.2,2051.8,2657.3,134.3,61.4,14.5
0.095134,342.6,57.8,2049.3,116.7,2660.2,102.7,350.3,2050.3,2655.1,134.1,61.4,13.4
0.097134,343.4,57.8,2050.8,112.8,2662.5,100.7,350.5,2048.7,2652.9,133.8,61.4,13
0.099134,344.2,55.5,2050.2,109.1,2660.2,97.7,350.9,2046.9,2650.4,133.6,61.3,13.3
0.101134,345.4,52.8,2047.9,108.0,2653.2,97.0,351.3,2045,2647.8,133.3,61.3,14
0.103134,347.2,51.1,2043.8,108.9,2642.4,100.3,351.7,2042.9,2645.1,133,61.4,14.6
0.105134,349.1,48.9,2038.6,106.0,2632.8,100.8,352.3,2040.6,2642.3,132.6,61.4,14.9
0.107134,351.2,46.5,2033.0,97.6,2628.1,93.6,352.9,2038.3,2639.3,132.3,61.5,14.4
0.109134,354.2,46.3,2027.3,87.4,2625.7,83.8,353.6,2035.8,2636.2,131.9,61.5,13.2
0.111134,357.5,46.8,2023.0,79.3,2623.1,76.8,354.3,2033.2,2633,131.5,61.6,11.6
0.113134,360.1,44.4,2020.4,74.7,2621.0,72.9,355.2,2030.5,2629.7,131.1,61.7,10.1
0.115134,362.2,39.5,2018.4,75.3,2619.1,73.8,356,2027.7,2626.3,130.7,61.7,9.2
0.117134,365.2,34.9,2016.2,84.9,2616.1,85.2,357,2024.8,2622.9,130.2,61.7,9.3
0.119134,368.3,30.9,2014.1,102.4,2612.5,109.5,357.9,2021.9,2619.4,129.8,61.7,10.4
0.121134,369.9,27.5,2012.5,114.9,2610.1,131.5,359,2018.9,2615.9,129.3,61.7,12
0.123134,370.7,25.4,2010.1,115.1,2607.3,138.9,360,2015.8,2612.3,128.9,61.6,13.7
0.125134,372.6,24.6,2005.9,110.6,2604.1,141.2,361.1,2012.7,2608.8,128.4,61.6,15
0.127134,375.1,23.9,2002.2,104.3,2602.0,142.7,362.2,2009.6,2605.2,127.9,61.6,15.4
0.129134,376.1,22.2,2000.2,96.3,2601.2,140.2,363.3,2006.5,2601.6,127.4,61.7,15.2
0.131134,375.6,20.2,1998.4,91.6,2599.5,139.9,364.5,2003.4,2598.1,126.9,61.7,14.5
0.133134,375.4,18.7,1994.5,94.1,2594.8,152.3,365.7,2000.3,2594.6,126.5,61.9,13.7
0.135134,375.7,17.7,1989.5,97.9,2590.0,171.7,366.8,1997.2,2591.2,126,62.1,13
