time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025968,456.5,93.2,1748.3,66.7,2462.4,110.0,467.1,1774.1,2472,0,54.3,22
0.027968,457.3,85.6,1747.7,58.5,2463.2,95.3,467.1,1774.7,2472.2,0,55.4,23.2
0.029968,458.7,79.4,1746.7,54.8,2464.4,87.6,467.1,1775.6,2472.6,0,56.3,17.8
0.031968,462.0,77.0,1747.2,59.6,2468.3,92.2,467,1776.8,2473,0,57,10.9
0.033968,465.5,73.9,1750.9,70.1,2473.8,106.5,466.9,1778.3,2473.6,0,57.5,7.6
0.035968,466.8,66.8,1756.2,75.0,2477.2,116.2,466.8,1780.2,2474.3,0,57.9,8.1
0.037968,466.3,58.6,1761.5,72.0,2478.5,113.1,466.6,1782.5,2475.2,0,58.2,8.9
0.039968,465.7,52.8,1768.0,68.7,2480.8,104.4,466.5,1785,2476.2,93.9,58.4,9.9
0.041968,467.4,53.2,1779.5,75.3,2486.7,102.8,466.3,1787.8,2477.3,93.9,58.6,10.8
0.043968,471.9,57.0,1797.8,90.0,2494.3,108.8,466.1,1790.9,2478.6,93.8,58.9,11.6
0.045968,474.4,55.9,1812.4,92.9,2498.6,109.0,465.9,1794.3,2480.1,93.8,59.1,12.4
0.047968,473.3,50.5,1819.4,84.4,2499.4,103.4,465.6,1797.9,2481.7,93.8,59.4,13.2
0.049968,470.2,44.7,1824.8,74.3,2498.5,98.8,465.3,1801.8,2483.4,93.8,59.6,13.9
0.051968,467.2,43.1,1833.0,70.3,2496.8,101.1,465,1805.9,2485.3,93.7,59.7,14.4
0.053968,466.5,47.1,1844.8,77.6,2495.7,111.1,464.7,1810.1,2487.4,93.7,59.8,14.6
0.055968,468.4,49.7,1854.6,90.1,2496.5,116.3,464.3,1814.6,2489.6,93.6,59.9,14.4
0.057968,469.5,45.8,1858.1,95.6,2498.2,111.8,463.9,1819.2,2492,93.6,60,13.7
0.059968,468.8,38.9,1857.8,94.2,2500.6,105.9,463.5,1823.9,2494.5,93.6,60.1,12.9
0.061968,466.8,33.9,1856.9,89.9,2502.3,103.4,463,1828.7,2497.2,93.5,60.1,12.4
0.063968,464.3,34.1,1855.3,86.1,2499.0,108.5,462.6,1833.6,2500,93.5,60.1,12.2
0.065968,462.9,38.2,1851.2,84.1,2479.9,128.2,462.1,1838.5,2503,93.4,60.1,12.7
0.067968,462.8,38.1,1847.0,83.8,2449.0,153.3,461.6,1843.5,2506,93.4,60.2,13.7
0.069968,462.7,33.9,1846.6,81.3,2433.1,163.5,461,1848.5,2509.2,93.3,60.2,14.8
0.071968,461.9,30.5,1850.7,79.3,2444.9,163.4,460.4,1853.5,2512.5,93.3,60.2,15.9
0.073968,459.5,30.1,1857.9,87.7,2481.4,165.1,459.8,1858.4,2515.8,93.2,60.2,16.7
0.075968,456.1,33.4,1862.7,113.1,2520.7,168.9,459.2,1863.3,2519.2,93.2,60.2,17.2
0.077968,454.0,34.8,1861.4,136.3,2540.8,168.9,458.6,1868.1,2522.7,93.1,60.2,17.6
0.079968,453.9,31.6,1861.1,137.6,2547.2,160.9,458,1872.8,2526.2,93.1,60.2,17.8
0.081968,454.2,28.0,1867.3,126.7,2546.3,149.4,457.3,1877.4,2529.7,93.1,60.2,17.7
0.083968,454.3,27.1,1881.7,113.7,2541.0,143.0,456.6,1881.8,2533.2,93,60.2,17.4
0.085968,455.0,31.4,1897.4,101.6,2536.8,142.7,455.9,1886.1,2536.6,93,60.2,16.7
0.087968,456.9,37.7,1903.9,90.2,2537.7,137.8,455.2,1890.2,2540,93,60.1,15.8
0.089968,457.9,38.2,1904.1,82.9,2543.4,132.1,454.5,1894.1,2543.4,92.9,60.1,14.5
0.091968,456.6,33.6,1902.9,82.3,2553.7,133.0,453.8,1897.9,2546.6,92.9,60,13.2
0.093968,453.7,29.0,1900.9,90.9,2570.7,143.2,453.1,1901.4,2549.7,92.9,59.9,11.7
0.095968,450.3,28.8,1894.6,118.7,2594.5,170.4,452.4,1904.7,2552.7,92.9,59.8,10
0.097968,447.5,33.1,1878.2,174.9,2616.5,227.8,451.6,1907.9,2555.5,92.9,59.7,8
0.099968,446.2,35.2,1863.2,219.1,2623.4,299.3,450.9,1910.8,2558.1,92.8,59.6,5.9
0.101968,445.5,33.1,1867.2,220.6,2616.3,341.0,450.2,1913.5,2560.5,92.8,59.5,4.1
0.103968,444.6,31.1,1886.7,204.7,2597.5,346.0,449.6,1915.9,2562.8,92.8,59.5,2.8
0.105968,444.2,33.2,1915.0,179.2,2571.8,313.5,448.9,1918.2,2564.8,92.8,59.4,2.3
0.107968,445.5,41.6,1931.5,150.1,2556.3,266.8,448.2,1920.3,2566.6,92.8,59.3,2.4
0.109968,448.8,49.6,1934.3,126.2,2552.1,227.3,447.6,1922.1,2568.2,92.8,59.2,2.7
0.111968,450.7,49.2,1933.1,109.2,2553.7,197.4,447,1923.8,2569.5,92.8,59.1,3.1
0.113968,450.3,44.8,1931.3,96.7,2557.1,172.7,446.4,1925.4,2570.6,92.8,59,3.5
0.115968,447.9,43.0,1927.3,89.5,2557.0,157.7,445.8,1926.7,2571.5,92.9,58.8,3.8
0.117968,444.8,48.8,1918.7,89.4,2545.1,169.4,445.2,1928,2572.1,92.9,58.7,4.1
0.119968,442.7,57.8,1910.2,92.4,2520.2,212.8,444.7,1929.1,2572.5,92.9,58.7,4.5
0.121968,442.3,59.5,1908.0,90.0,2502.3,240.9,444.2,1930.1,2572.7,92.9,58.7,4.9
0.123968,442.0,55.8,1910.1,84.8,2502.6,242.9,443.7,1931,2572.8,92.9,58.7,5.2
0.125968,441.8,52.3,1915.4,82.9,2521.8,228.9,443.3,1931.9,2572.6,92.9,58.8,5.4
0.127968,442.8,54.1,1924.3,92.7,2556.5,203.3,442.8,1932.7,2572.4,93,59,5.4
0.129968,445.0,59.8,1936.2,122.0,2587.6,177.5,442.4,1933.6,2571.9,93,59.1,5.5
0.131968,445.5,59.9,1943.3,142.8,2600.3,160.2,442.1,1934.4,2571.4,93,59.3,5.8
0.133968,443.3,54.1,1945.6,140.1,2606.2,146.8,441.7,1935.3,2570.9,93.1,59.4,6.5
0.135968,440.1,48.4,1948.3,126.2,2610.1,138.2,441.4,1936.2,2570.2,93.1,59.5,7.8
0.137968,438.1,48.8,1953.4,110.4,2606.9,144.6,441.1,1937.2,2569.6,93.2,59.6,9.6
0.139968,439.6,57.5,1957.2,101.3,2584.7,187.2,440.9,1938.4,2569,93.2,59.6,11.6
0.141968,441.9,63.2,1956.7,97.8,2549.4,237.2,440.6,1939.6,2568.5,93.3,59.7,13.4
0.143968,442.1,61.0,1954.9,91.6,2526.1,254.0,440.4,1941,2568,93.3,59.8,14.5
0.145968,441.1,56.0,1954.0,84.1,2526.7,244.0,440.2,1942.5,2567.6,93.4,59.8,15
0.147968,441.3,53.8,1954.4,81.4,2548.2,216.8,440,1944.3,2567.4,93.5,59.8,14.9
0.149968,445.3,59.4,1956.7,88.9,2574.6,181.5,439.9,1946.2,2567.4,93.5,59.9,14.6
0.151968,450.0,67.5,1961.2,98.6,2588.4,158.6,439.7,1948.3,2567.5,93.6,59.9,14.3
0.153968,450.3,68.4,1965.5,98.5,2595.5,143.7,439.6,1950.6,2567.9,93.7,59.9,14.2
0.155968,446.2,62.8,1968.7,92.3,2600.7,130.9,439.5,1953.2,2568.6,93.7,59.9,14.6
0.157968,441.2,58.0,1970.8,88.0,2604.1,120.2,439.4,1955.9,2569.4,93.8,59.9,15.1
0.159968,438.8,61.6,1969.7,91.7,2602.5,118.4,439.4,1958.9,2570.6,93.9,59.9,15.7
0.161968,440.7,71.5,1963.6,99.9,2594.5,131.6,439.3,1962.2,2572,93.9,60,16.2
0.163968,442.3,73.9,1958.4,100.2,2586.1,148.6,439.3,1965.6,2573.8,94,60.1,16.4
0.165968,440.8,66.9,1957.6,93.2,2582.7,158.9,439.3,1969.2,2575.8,94.1,60.1,16.5
0.167968,437.5,58.2,1960.2,85.9,2582.6,165.1,439.3,1973.1,2578.1,94.1,60.2,16.3
0.169968,434.7,54.7,1965.2,84.9,2580.2,179.3,439.3,1977.1,2580.7,94.2,60.2,16
0.171968,434.3,59.7,1971.3,92.8,2570.8,208.8,439.3,1981.3,2583.5,94.2,60.2,15.8
0.173968,435.0,64.9,1976.9,96.6,2561.7,228.9,439.4,1985.6,2586.6,94.3,60.2,15.5
0.175968,433.6,61.7,1982.5,90.5,2562.2,227.7,439.5,1990.1,2589.9,94.3,60.2,15.4
0.177968,430.2,54.1,1989.9,82.9,2569.8,217.9,439.6,1994.6,2593.4,94.4,60.2,15.3
0.179968,426.9,50.8,2000.6,80.4,2578.5,205.7,439.7,1999.3,2597.1,94.5,60.2,15.2
0.181968,426.7,58.0,2011.8,89.1,2584.0,205.8,439.9,2004,2600.9,94.5,60.2,15
0.183968,429.6,69.0,2018.2,98.9,2587.3,214.8,440,2008.7,2604.8,94.5,60.2,14.6
0.185968,432.0,69.9,2020.1,96.1,2592.4,215.6,440.2,2013.3,2608.7,94.6,60.1,14
0.187968,432.6,62.1,2022.2,85.1,2602.0,203.7,440.5,2018,2612.6,94.6,60,13
0.189968,432.9,54.9,2026.7,73.7,2618.6,180.8,440.8,2022.5,2616.4,94.7,59.8,12
0.191968,436.2,57.2,2032.7,70.1,2638.9,158.2,441.1,2027,2620.2,94.7,59.5,11.2
0.193968,445.0,70.5,2036.8,75.9,2654.5,145.5,441.4,2031.3,2623.7,94.7,59.2,10.6
0.195968,454.9,80.9,2036.1,82.3,2659.7,142.1,441.8,2035.4,2627.1,94.8,58.8,10.4
0.197968,459.3,80.5,2033.3,81.8,2660.1,142.2,442.2,2039.3,2630.2,94.8,58.5,10.5
0.199968,458.5,77.8,2031.7,78.4,2660.5,143.8,442.7,2043,2633,94.9,58.2,10.8
0.201968,454.6,83.2,2031.4,80.4,2660.7,150.8,443.2,2046.4,2635.4,94.9,58,11
0.203968,451.0,94.5,2032.7,88.6,2658.7,164.4,443.8,2049.5,2637.5,95,57.9,11.1
0.205968,451.2,93.7,2035.4,90.1,2656.3,171.7,444.5,2052.2,2639,95,57.9,11.2
0.207968,453.5,82.1,2038.0,83.2,2655.0,170.6,445.1,2054.6,2640.1,95.1,57.9,11.2
0.209968,454.9,70.9,2041.1,76.1,2650.3,173.0,445.9,2056.6,2640.6,95.2,58,11.2
0.211968,454.4,68.3,2044.8,75.3,2631.2,194.1,446.7,2058.3,2640.5,95.2,58.1,11.1
0.213968,453.1,75.4,2047.0,75.6,2595.4,217.8,447.5,2059.5,2639.9,95.3,58.2,10.9
0.215968,453.4,82.8,2047.7,70.1,2573.3,217.7,448.4,2060.3,2638.6,95.4,58.2,10.6
0.217968,454.2,82.7,2048.8,62.6,2572.0,211.0,449.3,2060.7,2636.6,95.5,58.2,10.2
0.219968,453.4,79.7,2050.7,55.7,2583.5,204.5,450.3,2060.7,2634.1,95.7,58,9.7
0.221968,448.0,82.1,2053.3,51.3,2603.0,196.5,451.4,2060.3,2630.8,95.8,57.9,9.4
0.223968,438.2,95.0,2056.0,50.7,2620.2,191.0,452.5,2059.4,2627,96,57.7,9.2
