time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025483,279.1,189.2,2071.9,472.9,2815.7,501.7,287.9,2061.3,2768.3,100.4,50.4,-34.9
0.027483,282.8,110.4,2028.9,329.9,2734.5,334.7,288.2,2061.9,2764.6,100.5,52,6.3
0.029483,286.0,71.7,2026.3,248.4,2703.1,265.0,288.6,2063,2758.6,100.6,53.3,19.4
0.031483,287.0,49.6,2044.6,198.9,2699.5,253.6,289.2,2064.4,2750.4,100.7,54.4,20.8
0.033483,287.2,38.2,2067.1,165.0,2713.3,284.1,290,2066.2,2740.2,100.8,55.4,15.7
0.035483,288.9,35.2,2081.4,134.8,2732.2,341.4,290.9,2068.4,2728.1,100.9,56.2,9.1
0.037483,294.0,40.5,2084.2,112.5,2739.6,364.4,292,2070.8,2714.4,101,57,6.4
0.039483,299.6,45.6,2084.3,99.4,2728.9,375.7,293.2,2073.4,2699.5,101.1,57.7,7.6
0.041483,301.7,43.8,2085.0,89.2,2703.6,380.8,294.5,2076.3,2683.5,101.1,58.2,9.3
0.043483,300.6,39.5,2088.9,81.1,2689.5,380.9,295.9,2079.2,2666.9,101.2,58.6,11.3
0.045483,299.2,36.7,2093.6,78.1,2677.4,388.9,297.4,2082.2,2649.9,101.3,58.9,13.1
0.047483,300.7,38.7,2095.0,83.7,2651.5,401.9,299,2085.1,2632.9,101.3,59.1,14.3
0.049483,304.8,43.5,2093.5,90.2,2615.1,407.0,300.6,2088,2616.2,101.4,59.2,15
0.051483,307.5,44.8,2094.8,87.4,2584.2,405.0,302.2,2090.7,2600,101.4,59.3,15.3
0.053483,306.9,42.2,2100.3,77.9,2568.9,397.1,303.9,2093.2,2584.7,101.5,59.3,15.3
0.055483,305.3,39.8,2107.1,67.8,2561.7,383.3,305.6,2095.4,2570.6,101.5,59.2,15.3
0.057483,306.0,41.3,2108.5,64.0,2550.7,362.0,307.3,2097.3,2557.7,101.5,59.2,15.3
0.059483,309.7,45.4,2103.9,64.3,2540.7,335.5,308.9,2098.7,2546.3,101.5,59.2,15.5
0.061483,312.9,46.1,2100.5,61.4,2542.3,313.6,310.6,2099.6,2536.6,101.5,59.1,15.8
0.063483,313.0,42.8,2101.2,56.3,2547.8,302.8,312.2,2100.1,2528.5,101.4,59.1,15.9
