time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025129,307.8,85.4,2120.8,89.3,2836.6,348.5,309.7,2138.1,2854.4,95.8,53.6,6.5
0.027129,306.9,112.6,2129.1,90.6,2863.3,329.9,310.8,2137.8,2852.8,95.7,54.4,8
0.029129,309.1,148.9,2131.0,93.8,2859.9,335.7,312.6,2137.3,2850.2,95.5,55,9
0.031129,313.7,158.8,2130.7,89.2,2846.3,336.0,315,2136.7,2846.6,95.4,55.5,9
0.033129,318.3,147.5,2132.0,79.5,2838.7,323.3,318,2136,2842.3,95.2,55.8,8.6
0.035129,321.3,131.5,2134.7,70.7,2835.7,310.3,321.4,2135.3,2837.4,95.1,56,8.2
0.037129,324.4,126.9,2138.1,70.0,2832.1,314.0,325.2,2134.7,2832.1,94.9,56.2,8.1
0.039129,331.5,144.5,2143.3,85.3,2824.4,345.0,329.2,2134.2,2826.4,94.7,56.4,8.4
0.041129,340.1,159.5,2147.9,102.7,2816.9,366.2,333.3,2133.9,2820.6,94.6,56.7,9.4
0.043129,345.7,149.1,2149.5,104.0,2810.6,361.1,337.5,2133.9,2814.8,94.4,57,10.5
0.045129,347.6,127.0,2148.9,95.5,2805.8,346.3,341.6,2134.1,2809,94.2,57.3,11.6
0.047129,348.0,109.9,2147.2,87.7,2804.0,336.6,345.4,2134.6,2803.2,94.1,57.7,12.3
0.049129,348.5,108.3,2143.6,86.4,2807.5,341.2,349.1,2135.3,2797.4,93.9,58,12.3
0.051129,350.1,117.8,2140.0,88.6,2807.7,350.6,352.4,2136.2,2791.6,93.7,58.4,11.5
0.053129,352.1,116.7,2138.5,86.3,2798.5,349.1,355.3,2137.1,2785.5,93.6,58.8,10.4
0.055129,354.1,103.1,2138.1,80.8,2785.5,338.8,357.9,2138,2778.9,93.4,59.1,9.3
0.057129,356.1,88.0,2137.2,77.4,2770.6,330.1,360,2138.7,2771.8,93.2,59.3,8.5
0.059129,358.7,82.1,2133.7,83.0,2752.9,342.0,361.8,2139.1,2763.7,93.1,59.5,8.4
0.061129,361.3,95.6,2127.6,99.0,2740.6,385.7,363.3,2139,2754.5,92.9,59.7,8.9
0.063129,362.8,114.8,2123.5,107.2,2736.3,422.7,364.5,2138.4,2743.8,92.8,60,9.7
0.065129,363.8,116.9,2121.9,102.5,2730.6,426.9,365.5,2137,2731.6,92.6,60.1,10.7
0.067129,365.1,105.7,2120.7,95.8,2719.9,413.2,366.4,2134.7,2717.5,92.5,60.2,11.4
0.069129,367.3,92.6,2119.8,95.2,2702.6,398.3,367.2,2131.5,2701.5,92.4,60.3,11.7
0.071129,370.0,92.2,2121.4,110.7,2681.3,410.2,368.1,2127.3,2683.6,92.2,60.4,11.7
0.073129,371.5,105.2,2124.4,140.2,2652.4,452.0,369,2122.1,2663.7,92.1,60.5,11.4
0.075129,371.6,109.8,2121.2,151.6,2624.9,466.2,370.1,2115.9,2641.9,92,60.5,11.2
0.077129,372.5,101.7,2114.7,143.3,2613.4,454.6,371.4,2108.7,2618.5,91.8,60.5,11.2
0.079129,375.0,89.8,2106.0,131.3,2606.7,444.2,373,2100.6,2593.7,91.7,60.5,11.5
