time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025980,660.7,1179.1,1923.6,173.2,2727.0,279.7,486.4,1932.4,2686.8,0,41.7,-37.5
0.027980,691.0,945.6,1947.5,122.5,2715.9,297.1,479.4,1934.9,2681.4,0,41.1,-87.9
0.029980,620.4,924.9,1955.6,97.5,2680.8,352.8,468,1938.9,2672.5,0,40.9,-141.3
0.031980,372.6,1032.5,1952.2,96.6,2632.4,399.1,452.9,1944.3,2660.6,0,41.6,-183.5
0.033980,160.1,807.0,1947.5,97.3,2601.6,342.9,434.7,1950.9,2646.2,0,43.5,-200
0.035980,274.6,319.3,1944.6,95.3,2589.1,241.6,414.4,1958.5,2629.8,0,46,-181.2
0.037980,289.0,111.2,1940.3,118.4,2578.9,206.5,393,1966.7,2612.1,0,48.3,-136.7
0.039980,295.8,57.4,1945.5,194.6,2581.6,242.6,371.3,1975.4,2593.7,115.9,50.4,-80.9
0.041980,303.4,49.0,1983.0,273.5,2607.0,300.4,350.4,1984.2,2575.5,115.5,52.2,-28.6
0.043980,311.2,51.3,2024.0,284.9,2620.0,322.8,331.2,1993,2558,115,53.7,5.8
0.045980,318.3,59.9,2032.7,274.9,2588.5,340.1,314.4,2001.5,2541.8,114.6,54.8,18.7
0.047980,324.7,77.0,2024.1,276.7,2534.9,366.9,300.5,2009.6,2527.6,114.1,55.8,19.9
0.049980,329.7,100.1,2016.3,285.2,2485.4,390.7,290.1,2017.2,2515.6,113.6,56.6,14.6
0.051980,330.9,113.2,2013.8,284.8,2458.5,402.3,283.2,2024.2,2506.3,113.2,57.3,7.9
0.053980,328.4,110.1,2014.9,265.7,2453.1,396.7,279.9,2030.7,2499.7,112.7,58,4.9
0.055980,323.5,92.8,2021.2,228.3,2472.2,364.7,279.9,2036.5,2495.9,112.2,58.6,5.8
0.057980,318.5,69.7,2033.9,186.0,2502.9,306.6,282.9,2041.8,2494.7,111.8,59.3,7.2
0.059980,315.4,49.5,2048.5,149.9,2524.0,249.1,288.2,2046.7,2495.9,111.3,59.9,8.8
0.061980,313.9,38.3,2057.2,128.2,2531.7,218.2,295.3,2051.1,2499.1,110.9,60.3,10.5
0.063980,312.8,32.3,2063.2,112.5,2534.8,197.3,303.5,2055.1,2503.8,110.5,60.7,12
0.065980,312.2,30.8,2068.5,100.8,2534.3,176.8,312,2058.7,2509.6,110.1,60.9,13.5
0.067980,313.1,33.9,2071.1,95.2,2527.4,160.5,320.2,2062,2515.7,109.7,61,15.1
0.069980,315.5,38.5,2069.0,93.3,2516.8,152.7,327.5,2064.7,2521.6,109.3,61.1,16.7
0.071980,316.8,38.5,2065.6,90.2,2511.8,152.5,333.3,2066.9,2526.8,108.9,61.1,17.8
0.073980,316.7,35.0,2063.4,86.6,2513.0,158.3,337.5,2068.2,2530.6,108.6,61.2,18.5
0.075980,316.7,31.4,2061.3,91.2,2518.1,179.5,339.7,2068.6,2532.7,108.3,61.3,18.2
0.077980,317.9,29.4,2058.1,106.3,2519.5,211.2,340,2067.8,2532.6,108,61.4,17.3
0.079980,319.2,27.6,2054.3,119.0,2514.0,227.4,338.4,2065.4,2530,107.7,61.5,16.2
0.081980,318.8,25.2,2052.4,118.1,2509.8,218.4,335.3,2061.3,2524.8,107.4,61.5,15.1
0.083980,317.3,23.5,2051.9,111.8,2508.7,196.5,331,2055.2,2517,107.1,61.6,14.5
0.085980,316.4,24.7,2049.0,114.7,2505.7,181.2,325.9,2046.9,2506.5,106.8,61.6,14.5
0.087980,317.3,27.9,2040.6,132.0,2497.6,184.0,320.6,2036.2,2493.7,106.6,61.6,15
0.089980,318.8,29.4,2030.5,148.0,2488.1,190.5,315.4,2023,2478.8,106.4,61.6,15.6
0.091980,319.4,29.3,2024.7,148.4,2481.9,183.9,310.8,2007.3,2462.1,106.1,61.5,16
0.093980,319.1,30.1,2018.1,151.6,2474.0,179.0,307.3,1989.3,2444.2,105.9,61.4,16
0.095980,318.9,33.8,1997.8,183.7,2453.6,198.4,305,1969,2425.6,105.7,61.3,15.5
0.097980,319.9,37.5,1957.5,230.7,2417.1,221.5,304.1,1946.8,2406.7,105.5,61.1,14.6
0.099980,322.0,37.9,1907.3,244.2,2380.6,218.0,304.7,1922.9,2388.2,105.3,60.9,13.6
0.101980,323.7,37.4,1862.3,207.3,2358.0,200.8,306.6,1898,2370.5,105.1,60.7,12.4
0.103980,324.5,40.6,1823.1,141.8,2338.0,189.8,309.7,1872.3,2354.1,104.9,60.5,11.2
0.105980,324.4,49.8,1803.8,94.6,2314.3,192.6,313.6,1846.4,2339.4,104.7,60.2,9.9
0.107980,324.6,58.2,1799.4,71.6,2300.8,186.2,318,1820.9,2326.7,104.5,59.9,8.5
0.109980,326.4,58.5,1800.6,57.9,2304.6,163.8,322.6,1796.3,2316.3,104.4,59.4,7.1
0.111980,328.7,54.0,1802.1,50.4,2315.4,139.2,326.8,1773,2308.4,104.2,58.9,5.7
0.113980,330.6,52.0,1799.8,49.1,2324.3,118.8,330.4,1751.4,2303,104.1,58.3,4.7
0.115980,330.9,62.4,1784.4,59.7,2322.0,108.7,332.9,1731.8,2300,103.9,57.4,3.9
0.117980,326.9,88.3,1747.0,78.1,2307.2,101.0,334.2,1714.6,2299.2,103.8,56.5,3.2
0.119980,315.5,114.9,1701.8,81.4,2293.7,84.9,334.1,1699.7,2300.6,103.7,55.7,2.7
0.121980,303.3,119.1,1678.6,73.3,2292.9,71.8,332.7,1687.3,2303.8,103.6,55,2.5
0.123980,298.0,104.1,1666.5,73.7,2303.6,66.8,329.8,1677.2,2308.4,103.6,54.6,2.7
0.125980,302.0,86.6,1651.5,95.5,2319.7,69.1,325.9,1669.3,2314.1,103.5,54.6,3.5
0.127980,306.8,76.7,1630.3,132.0,2329.6,67.2,321.1,1663.5,2320.4,103.4,54.8,4.8
0.129980,307.9,69.8,1614.6,159.2,2332.0,59.1,315.8,1659.3,2326.9,103.4,55,6.3
