time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025145,379.6,47.0,1789.5,108.6,2300.3,108.6,383.2,1871.9,2355.3,100.6,62.1,9.7
0.027145,378.5,45.9,1813.5,98.7,2314.9,97.3,382.9,1873.3,2356.5,100.6,62.3,10.4
0.029145,378.3,41.2,1827.8,88.6,2328.2,87.1,382.5,1875.5,2358.4,100.6,62.4,10.9
0.031145,379.3,38.0,1843.7,87.4,2344.1,86.4,381.9,1878.5,2361.1,100.6,62.4,11.4
0.033145,380.4,40.1,1868.0,94.6,2362.3,96.6,381.2,1882.3,2364.6,100.6,62.3,11.7
0.035145,379.9,44.8,1892.3,95.9,2375.9,104.6,380.3,1886.9,2368.8,100.6,62.2,12
0.037145,378.2,45.3,1906.9,88.5,2382.5,103.3,379.3,1892.2,2373.7,100.6,62.1,12.1
0.039145,377.3,41.9,1917.1,79.0,2386.3,98.8,378.2,1898.1,2379.2,100.6,62,12
0.041145,378.4,39.5,1926.3,75.0,2388.8,101.6,376.9,1904.7,2385.3,100.6,61.9,11.8
0.043145,380.5,42.1,1935.5,82.3,2391.0,122.6,375.6,1911.7,2391.9,100.6,61.7,11.7
0.045145,380.3,47.3,1944.1,91.7,2395.6,150.2,374.2,1919.2,2399.1,100.7,61.5,11.8
0.047145,377.5,48.8,1951.5,89.4,2404.0,160.0,372.8,1927,2406.7,100.7,61.4,12.3
0.049145,374.1,46.6,1960.0,80.3,2416.3,158.1,371.4,1935,2414.7,100.7,61.3,13.2
0.051145,371.7,45.6,1970.1,75.7,2432.0,158.9,370,1943.2,2423,100.7,61.2,14.3
0.053145,369.6,48.5,1981.8,84.0,2450.2,172.3,368.5,1951.5,2431.5,100.7,61.2,15.4
0.055145,366.6,50.6,1991.5,94.4,2467.1,184.4,367.1,1959.8,2440.3,100.7,61.2,16.3
0.057145,363.9,48.3,1997.2,91.9,2479.1,180.7,365.8,1968,2449.1,100.7,61.2,16.8
0.059145,362.1,44.6,2001.7,81.3,2490.0,169.1,364.5,1976,2458,100.8,61.2,16.9
0.061145,361.6,44.8,2005.7,73.8,2499.9,163.8,363.4,1983.8,2466.9,100.8,61.1,16.8
0.063145,361.5,52.0,2008.9,76.3,2505.5,171.8,362.3,1991.2,2475.7,100.8,61.1,16.7
0.065145,360.6,59.4,2011.2,81.2,2507.2,177.5,361.4,1998.2,2484.3,100.8,61,16.6
0.067145,359.6,59.4,2013.6,79.1,2510.9,171.7,360.5,2004.7,2492.7,100.8,60.8,16.7
0.069145,359.3,55.0,2016.8,72.9,2518.3,159.8,359.9,2010.7,2500.8,100.8,60.7,16.9
0.071145,360.5,53.0,2019.5,71.5,2525.1,150.4,359.3,2016,2508.5,100.9,60.6,17.1
0.073145,362.2,55.8,2020.2,85.0,2523.1,152.4,359,2020.8,2515.8,100.9,60.5,17.3
0.075145,362.2,56.9,2019.6,106.2,2514.5,158.7,358.8,2024.9,2522.6,100.9,60.4,17.7
0.077145,361.0,53.6,2020.9,111.9,2512.1,157.8,358.7,2028.3,2528.9,100.9,60.3,18.1
0.079145,360.1,49.8,2024.0,104.9,2518.6,153.3,358.8,2030.9,2534.6,100.9,60.3,18.6
0.081145,360.5,50.8,2023.8,98.9,2530.5,153.5,359.1,2032.9,2539.7,100.9,60.2,19.2
0.083145,361.7,57.5,2017.0,100.0,2540.4,159.3,359.5,2034.1,2544.1,100.9,60.2,19.8
0.085145,362.2,61.4,2010.7,98.7,2543.8,157.7,360.1,2034.6,2547.8,100.9,60.2,20.4
0.087145,361.8,58.7,2009.8,91.8,2545.2,148.3,360.8,2034.4,2550.8,100.9,60.1,21
0.089145,361.9,54.5,2012.2,84.4,2547.4,137.5,361.6,2033.4,2553.1,100.9,60.1,21.7
0.091145,363.2,54.1,2014.1,85.7,2549.3,134.4,362.5,2031.9,2554.7,100.9,60.2,22.4
0.093145,364.7,56.7,2013.7,98.8,2550.0,140.6,363.6,2029.7,2555.5,100.8,60.2,22.9
0.095145,364.3,55.6,2013.3,106.0,2550.7,141.1,364.7,2026.8,2555.5,100.8,60.3,23.3
0.097145,363.2,51.5,2014.0,99.9,2551.1,132.2,366,2023.5,2554.9,100.8,60.3,23.3
0.099145,363.0,48.4,2014.2,89.4,2550.0,121.3,367.3,2019.6,2553.5,100.8,60.3,23
0.101145,365.2,51.5,2009.2,84.6,2542.6,120.9,368.6,2015.3,2551.4,100.8,60.3,22.4
0.103145,369.2,59.3,1998.0,86.8,2525.0,134.7,370,2010.5,2548.7,100.7,60.3,21.8
0.105145,371.5,61.7,1990.1,84.7,2509.6,141.8,371.4,2005.4,2545.4,100.7,60.3,21.1
0.107145,371.5,57.6,1989.0,76.5,2507.1,135.8,372.8,2000,2541.5,100.7,60.3,20.5
0.109145,371.4,52.6,1989.4,69.2,2512.1,125.8,374.3,1994.3,2537,100.6,60.3,20
0.111145,372.6,52.0,1986.4,71.2,2517.3,122.3,375.7,1988.4,2532.1,100.6,60.4,19.4
0.113145,374.8,55.3,1981.0,80.0,2519.0,124.4,377.1,1982.4,2526.8,100.6,60.4,18.9
0.115145,376.3,55.9,1978.4,80.9,2518.9,120.2,378.5,1976.2,2521.1,100.5,60.5,18.3
0.117145,377.0,52.4,1978.6,74.4,2518.8,110.7,379.9,1969.9,2515.1,100.5,60.6,17.8
0.119145,378.2,48.6,1977.9,68.7,2517.9,103.7,381.3,1963.6,2508.9,100.5,60.7,17.2
0.121145,380.6,49.0,1970.4,74.0,2510.6,112.1,382.6,1957.2,2502.5,100.4,60.9,16.6
0.123145,383.1,51.7,1956.0,88.4,2493.9,132.7,383.9,1950.8,2496.1,100.4,61,16
0.125145,384.4,50.6,1946.8,92.8,2481.2,139.7,385.1,1944.5,2489.6,100.3,61.2,15.5
0.127145,385.6,45.9,1946.1,86.0,2479.2,134.0,386.4,1938.2,2483.1,100.3,61.4,15.1
0.129145,387.6,40.4,1947.9,77.5,2481.6,128.4,387.6,1931.9,2476.8,100.3,61.5,14.7
0.131145,390.3,37.8,1944.4,78.1,2480.4,138.1,388.8,1925.7,2470.6,100.2,61.7,14.4
0.133145,392.1,38.0,1932.6,88.6,2470.8,162.9,390.1,1919.6,2464.6,100.2,61.8,14.1
0.135145,392.8,37.3,1922.4,90.6,2463.5,169.7,391.3,1913.5,2458.9,100.2,61.9,13.8
0.137145,393.9,34.5,1919.1,81.7,2464.4,157.2,392.5,1907.5,2453.5,100.1,62.1,13.4
0.139145,396.1,31.2,1917.3,71.1,2468.2,141.2,393.8,1901.4,2448.4,100.1,62.2,12.9
0.141145,398.7,30.5,1909.8,67.8,2467.0,134.8,395.1,1895.4,2443.8,100.1,62.3,12.4
0.143145,400.2,32.6,1893.7,73.3,2455.9,138.4,396.5,1889.4,2439.6,100.1,62.4,11.9
0.145145,400.9,33.4,1880.8,73.9,2446.3,134.4,397.9,1883.4,2435.8,100.1,62.5,11.4
0.147145,402.5,31.7,1877.2,66.4,2445.2,123.6,399.4,1877.4,2432.4,100,62.6,11.2
0.149145,405.1,30.1,1875.4,58.1,2447.0,114.8,401,1871.2,2429.6,100,62.7,11
