time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025170,323.2,30.2,2015.4,128.0,2388.5,273.9,335.4,2043.3,2417.5,114.8,60.9,2.7
0.027170,328.1,30.6,2021.5,128.0,2400.9,276.2,335.6,2044,2419.2,115,61.5,2.7
0.029170,332.7,31.4,2027.9,125.7,2404.7,275.0,335.8,2045.1,2422.1,115.2,62,3.4
0.031170,335.6,29.4,2036.2,118.9,2406.6,284.3,336.1,2046.6,2426,115.4,62.4,4.6
0.033170,337.8,25.9,2045.4,112.7,2411.6,314.3,336.5,2048.4,2430.8,115.6,62.7,6
0.035170,340.3,23.9,2054.1,111.6,2422.3,368.9,336.9,2050.5,2436.5,115.9,62.9,7.5
0.037170,342.1,24.0,2060.4,113.8,2435.5,417.3,337.5,2052.9,2442.9,116.2,63.2,9.4
0.039170,342.3,24.6,2066.0,111.6,2449.9,434.5,338.2,2055.3,2449.9,116.4,63.4,11.7
0.041170,341.9,24.7,2071.9,103.1,2469.0,430.9,339,2057.9,2457.2,116.7,63.5,14.1
0.043170,342.5,25.4,2076.5,96.8,2491.4,422.5,339.9,2060.3,2464.8,117,63.7,16.2
0.045170,344.1,27.4,2077.8,97.2,2506.0,410.8,340.9,2062.7,2472.4,117.3,63.8,17.6
0.047170,345.2,29.2,2078.0,97.1,2511.1,398.8,342,2064.8,2479.8,117.6,63.9,18.2
0.049170,345.3,29.8,2079.3,93.2,2514.9,394.2,343.3,2066.6,2487,117.9,64,18.2
0.051170,345.8,30.2,2079.5,92.5,2517.1,406.0,344.6,2067.9,2493.6,118.2,64.1,17.8
0.053170,347.8,32.0,2076.2,99.3,2513.4,426.9,346.1,2068.8,2499.6,118.6,64.2,17.3
0.055170,349.9,33.6,2072.7,104.9,2509.1,438.0,347.7,2069.1,2504.8,118.9,64.4,16.9
0.057170,351.0,32.9,2072.9,104.1,2511.1,448.5,349.3,2068.8,2509.2,119.3,64.6,16.6
0.059170,352.3,30.4,2075.3,103.2,2517.7,474.1,351,2067.7,2512.5,119.6,64.8,16.2
0.061170,354.1,28.8,2074.9,109.8,2522.9,503.4,352.9,2065.9,2514.8,120,65.1,15.8
0.063170,355.5,28.5,2068.9,119.3,2527.0,493.7,354.7,2063.3,2515.9,120.4,65.3,15.2
0.065170,355.8,27.9,2060.7,120.2,2534.3,450.1,356.6,2059.9,2515.9,120.8,65.6,14.4
0.067170,356.5,26.7,2051.8,118.2,2533.5,406.3,358.6,2055.7,2514.7,121.2,65.8,13.1
0.069170,358.3,25.8,2037.9,120.4,2516.0,364.2,360.5,2050.7,2512.4,121.5,66.1,11.5
0.071170,360.2,25.6,2024.5,120.4,2495.5,328.4,362.5,2044.9,2509.1,121.9,66.3,9.8
0.073170,361.1,25.6,2019.9,113.4,2485.2,310.8,364.4,2038.3,2504.7,122.3,66.4,8.4
0.075170,361.8,25.5,2020.2,107.2,2479.7,313.0,366.3,2031,2499.4,122.7,66.5,7.6
0.077170,363.9,26.1,2017.7,109.6,2469.2,328.9,368.2,2023,2493.3,123.1,66.5,7.6
0.079170,367.4,27.8,2009.4,119.5,2452.5,343.6,370,2014.5,2486.5,123.5,66.4,8.3
0.081170,370.4,29.5,1999.4,125.4,2442.8,345.9,371.8,2005.4,2479.2,123.9,66.3,9.2
0.083170,372.1,30.8,1989.8,126.8,2441.1,347.0,373.5,1995.8,2471.5,124.3,66.3,10.1
0.085170,374.1,32.5,1976.4,128.8,2441.2,346.7,375.1,1985.9,2463.5,124.7,66.2,10.5
0.087170,376.8,34.5,1962.8,126.9,2443.4,337.3,376.7,1975.6,2455.5,125.1,66.2,10.3
0.089170,379.6,35.3,1955.9,117.2,2448.3,324.7,378.2,1965.2,2447.4,125.4,66.3,9.7
0.091170,381.6,34.4,1954.7,106.0,2450.8,317.9,379.7,1954.6,2439.5,125.8,66.5,9
