time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025433,287.8,171.9,2286.3,137.6,3364.0,486.7,285.9,2291.5,3311.8,102.6,51.4,2.6
0.027433,291.9,120.3,2281.3,110.7,3336.5,489.8,285.9,2290.8,3311,102.3,52.5,4.1
0.029433,293.0,92.3,2277.3,98.9,3324.0,469.7,285.9,2289.6,3309.6,102.1,53.4,5.9
0.031433,292.3,81.0,2272.3,100.4,3320.0,434.2,285.9,2287.9,3307.8,101.9,54.2,7.7
0.033433,290.2,75.9,2268.3,103.3,3314.7,401.1,285.9,2285.8,3305.5,101.6,54.8,9.3
0.035433,287.2,67.5,2268.9,95.4,3307.0,392.3,285.9,2283.5,3302.8,101.4,55.3,10.8
0.037433,283.9,54.2,2273.6,78.5,3294.3,405.3,285.9,2280.9,3299.8,101.1,55.7,12.1
0.039433,281.8,41.8,2279.4,61.3,3276.8,436.8,285.9,2278.2,3296.6,100.9,56.1,13.3
0.041433,281.5,34.9,2281.9,51.0,3255.3,501.3,285.8,2275.4,3293.2,100.6,56.3,14.4
0.043433,281.8,33.1,2280.2,47.6,3231.5,595.2,285.7,2272.7,3289.9,100.4,56.6,15.4
0.045433,281.1,31.7,2277.9,45.5,3217.4,677.3,285.6,2270.1,3286.5,100.1,56.8,16.2
0.047433,279.9,29.3,2277.4,42.4,3239.2,719.4,285.5,2267.7,3283.4,99.9,57,16.9
0.049433,280.1,28.6,2278.4,41.6,3318.7,566.8,285.4,2265.7,3280.4,99.6,57.1,17.4
0.051433,282.3,31.5,2278.0,48.2,3306.5,361.7,285.2,2264.1,3277.8,99.4,57.3,17.8
0.053433,284.1,35.5,2274.5,59.7,3291.0,301.9,284.9,2262.9,3275.5,99.1,57.4,18.1
0.055433,283.1,35.8,2270.8,64.6,3283.9,306.6,284.7,2262.3,3273.7,98.9,57.6,18.3
0.057433,280.8,32.6,2269.7,61.7,3273.7,339.8,284.3,2262.2,3272.3,98.7,57.7,18.5
0.059433,280.1,30.4,2270.5,58.6,3261.1,353.1,284,2262.7,3271.5,98.5,57.9,18.5
0.061433,282.5,33.7,2271.1,60.2,3266.4,332.3,283.6,2263.8,3271.2,98.3,58,18.5
0.063433,285.3,40.7,2271.8,61.1,3282.8,308.6,283.2,2265.5,3271.5,98.1,58.1,18.5
0.065433,285.2,44.4,2274.1,56.4,3296.8,292.2,282.7,2267.8,3272.3,97.9,58.3,18.5
0.067433,282.9,43.1,2277.9,49.4,3304.8,282.4,282.2,2270.5,3273.5,97.7,58.4,18.3
