time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025800,263.2,69.0,2239.4,63.1,3439.3,282.9,264.9,2241.7,3469,100.3,51.6,8
0.027800,264.0,86.5,2238.0,72.5,3472.4,432.3,264.9,2241.8,3468.3,100.2,52.2,9.4
0.029800,264.7,96.8,2236.1,73.3,3468.8,568.3,265,2242,3467.1,100.2,52.7,10.3
0.031800,264.7,91.4,2236.6,63.7,3453.1,581.5,265,2242.3,3465.5,100.2,53.2,11
0.033800,264.1,75.3,2239.1,52.6,3442.1,562.8,265.1,2242.6,3463.4,100.1,53.5,11.5
0.035800,264.1,59.3,2242.3,47.4,3421.2,551.9,265.2,2243,3461.1,100.1,53.8,12
0.037800,265.8,52.8,2245.3,51.7,3395.3,517.1,265.3,2243.4,3458.4,100,54,12.5
0.039800,267.5,53.9,2247.1,60.6,3385.8,469.1,265.4,2243.9,3455.5,100,54.1,12.9
0.041800,267.1,53.7,2247.9,61.9,3386.5,420.3,265.5,2244.5,3452.4,99.9,54.3,13.2
0.043800,265.5,49.0,2248.6,55.7,3397.5,377.7,265.6,2245.1,3449.3,99.9,54.4,13.4
0.045800,265.5,45.6,2248.6,51.7,3421.6,346.1,265.7,2245.7,3446.1,99.8,54.5,13.6
0.047800,267.7,49.6,2247.2,54.7,3446.4,312.1,265.8,2246.4,3443,99.7,54.6,14
0.049800,269.7,57.7,2245.3,58.5,3457.3,280.5,265.9,2247.2,3440,99.7,54.8,14.5
0.051800,268.9,61.1,2245.5,55.5,3462.7,260.1,266,2247.9,3437.3,99.6,54.9,15.1
0.053800,266.9,57.7,2247.7,49.3,3468.3,246.1,266,2248.7,3434.8,99.5,55,15.7
0.055800,267.0,56.0,2250.5,48.2,3474.2,232.7,266,2249.5,3432.7,99.4,55.1,16.2
0.057800,269.3,62.1,2251.8,55.5,3479.8,222.1,265.9,2250.3,3431.1,99.3,55.2,16.6
0.059800,270.7,70.6,2251.4,61.6,3484.7,218.3,265.9,2251.2,3429.9,99.2,55.3,16.7
0.061800,268.8,73.0,2252.1,56.1,3485.4,218.2,265.7,2252,3429.3,99.1,55.4,16.5
0.063800,265.4,66.4,2255.1,44.1,3482.8,216.1,265.6,2252.9,3429.2,99,55.5,16.3
0.065800,263.6,56.3,2259.0,33.3,3483.2,210.9,265.3,2253.7,3429.8,98.8,55.5,16.1
0.067800,264.4,50.5,2261.5,27.3,3490.2,205.9,265,2254.5,3431,98.7,55.6,16.1
0.069800,265.0,50.2,2261.3,24.7,3494.6,199.8,264.7,2255.3,3432.8,98.6,55.6,16.3
0.071800,262.7,49.2,2259.8,22.4,3492.0,198.5,264.3,2256.1,3435.3,98.4,55.6,16.6
0.073800,258.9,45.1,2258.3,20.3,3486.4,203.6,263.9,2256.8,3438.4,98.3,55.7,16.9
0.075800,256.8,41.9,2257.7,20.6,3478.3,214.8,263.4,2257.6,3442.1,98.1,55.7,17.2
0.077800,257.5,45.0,2258.2,25.9,3464.2,222.0,262.8,2258.2,3446.3,98,55.8,17.2
0.079800,258.9,51.9,2259.6,33.6,3451.7,215.0,262.2,2258.9,3451.1,97.8,55.8,17
0.081800,258.0,54.8,2261.0,35.8,3447.2,205.4,261.5,2259.5,3456.3,97.7,55.8,16.5
0.083800,255.1,51.1,2261.9,32.0,3446.4,193.9,260.7,2260.1,3461.8,97.5,55.9,15.9
0.085800,253.3,47.0,2262.3,28.9,3451.5,178.7,260,2260.6,3467.6,97.3,55.9,15.5
0.087800,254.7,49.7,2260.9,31.5,3464.4,164.1,259.1,2261.1,3473.7,97.1,56,15.3
0.089800,257.4,58.3,2256.8,39.2,3474.3,149.0,258.3,2261.5,3479.8,97,56,15.5
0.091800,258.0,63.0,2252.8,43.1,3476.9,136.5,257.4,2261.9,3485.9,96.8,56,16
0.093800,255.7,59.2,2252.2,39.4,3476.8,130.5,256.4,2262.2,3491.9,96.6,56.1,16.7
