time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025272,309.0,100.6,1973.1,113.2,2559.7,321.4,298.4,2018.1,2624.7,93.1,55.7,10.2
0.027272,308.1,117.2,1986.8,116.2,2600.1,295.2,298.4,2018.8,2626.3,93.2,56.1,10.6
0.029272,308.5,141.7,2002.0,116.5,2620.3,262.6,298.4,2019.9,2628.9,93.2,56.5,11.4
0.031272,308.5,145.4,2008.3,106.5,2626.7,233.4,298.3,2021.4,2632.6,93.3,56.8,12.5
0.033272,307.2,126.1,2008.7,92.5,2628.2,206.7,298.3,2023.4,2637.4,93.3,57,13.3
0.035272,304.1,101.1,2008.8,79.8,2630.4,183.7,298.2,2025.8,2643.1,93.4,57.1,13.8
0.037272,300.4,86.5,2013.4,74.3,2640.2,166.9,298.1,2028.6,2649.8,93.4,57.1,13.6
0.039272,297.0,91.2,2027.2,81.0,2658.8,156.2,298,2031.8,2657.4,93.5,57.2,12.9
0.041272,295.4,102.4,2042.4,90.6,2670.3,147.3,297.9,2035.4,2666,93.6,57.3,12.1
0.043272,294.9,97.9,2050.2,90.7,2673.2,136.2,297.8,2039.3,2675.4,93.6,57.4,11.5
0.045272,294.1,82.8,2054.2,85.4,2674.1,128.5,297.7,2043.6,2685.6,93.7,57.6,11.4
0.047272,292.4,72.6,2060.1,83.3,2679.4,136.2,297.5,2048.1,2696.7,93.8,57.7,11.8
0.049272,290.2,77.9,2072.0,89.9,2696.8,172.4,297.3,2053,2708.4,93.8,57.9,12.8
0.051272,289.0,91.1,2082.9,97.1,2717.2,208.4,297.1,2058.1,2720.8,93.9,58.1,13.9
0.053272,289.0,92.0,2085.9,97.4,2725.4,211.9,296.9,2063.5,2733.9,94,58.3,14.9
0.055272,289.2,81.3,2084.8,94.0,2727.6,201.6,296.6,2069.1,2747.5,94.1,58.3,15.5
0.057272,289.1,70.0,2084.2,93.4,2736.8,201.8,296.4,2074.8,2761.6,94.1,58.4,15.7
0.059272,289.7,70.2,2090.4,102.6,2772.6,241.7,296.1,2080.7,2776.1,94.2,58.4,15.7
0.061272,291.7,80.6,2103.3,111.4,2834.1,306.4,295.8,2086.7,2791,94.3,58.5,15.5
0.063272,292.9,83.3,2111.0,107.9,2871.9,332.8,295.4,2092.9,2806.2,94.3,58.5,15.3
0.065272,292.2,74.6,2113.5,100.5,2881.8,331.9,295,2099,2821.7,94.4,58.6,15.2
0.067272,290.5,64.0,2115.3,96.7,2888.5,331.6,294.6,2105.3,2837.3,94.4,58.7,15.3
0.069272,289.4,59.8,2120.4,105.5,2909.4,349.3,294.2,2111.5,2853,94.4,58.7,15.4
0.071272,290.7,64.2,2129.5,132.6,2929.9,384.6,293.8,2117.7,2868.8,94.5,58.7,15.6
0.073272,293.0,66.4,2136.5,150.8,2922.6,408.7,293.3,2123.9,2884.6,94.5,58.7,15.8
0.075272,293.5,61.4,2138.7,141.2,2901.6,400.5,292.8,2130,2900.3,94.5,58.6,16
0.077272,292.1,55.3,2139.0,121.1,2883.2,373.6,292.2,2136,2915.8,94.5,58.5,16.3
0.079272,290.1,54.9,2138.2,105.7,2878.1,350.7,291.7,2141.9,2931.1,94.4,58.3,16.7
0.081272,290.0,65.3,2136.2,107.7,2898.9,356.9,291.1,2147.6,2946.2,94.4,58.2,17.1
0.083272,292.3,77.5,2135.7,120.7,2938.1,371.8,290.4,2153.2,2961,94.4,58.1,17.5
0.085272,293.7,79.8,2139.8,126.5,2974.2,364.9,289.8,2158.5,2975.4,94.3,58,17.9
0.087272,292.6,76.0,2146.5,120.3,2996.1,346.8,289.1,2163.7,2989.4,94.3,57.9,18.4
0.089272,289.5,72.2,2153.6,112.0,3009.4,340.4,288.5,2168.7,3003,94.2,57.8,19.1
0.091272,286.5,74.3,2162.5,118.6,3029.6,360.0,287.8,2173.4,3016,94.1,57.7,19.7
0.093272,287.0,78.0,2175.7,148.3,3058.1,385.1,287,2177.8,3028.6,94.1,57.7,20.1
0.095272,289.3,73.8,2190.3,183.9,3074.5,399.1,286.3,2182,3040.5,94,57.6,20.4
0.097272,289.9,65.9,2201.6,202.8,3080.2,402.2,285.5,2186,3051.9,93.9,57.6,20.3
0.099272,288.1,60.1,2209.2,204.3,3083.2,399.3,284.8,2189.6,3062.7,93.8,57.5,19.9
0.101272,284.3,63.2,2213.9,194.7,3093.1,388.8,284,2193,3072.8,93.7,57.4,19.4
0.103272,281.3,74.9,2215.7,179.6,3113.0,367.7,283.2,2196.1,3082.2,93.6,57.2,19
0.105272,281.8,79.1,2213.1,163.5,3127.1,352.5,282.4,2198.9,3091,93.5,57.2,18.7
0.107272,282.9,73.0,2207.6,149.6,3133.2,349.2,281.7,2201.4,3099.2,93.4,57.1,18.7
0.109272,281.9,66.5,2200.4,141.8,3133.6,354.0,280.9,2203.6,3106.6,93.3,57,18.7
0.111272,279.3,68.7,2193.2,152.7,3121.5,353.6,280.1,2205.6,3113.3,93.2,57,18.8
0.113272,278.3,82.2,2189.8,188.1,3099.7,331.1,279.3,2207.3,3119.4,93.1,57,19
0.115272,281.0,88.2,2190.6,213.2,3086.5,313.4,278.6,2208.7,3124.8,93,57,19.2
0.117272,282.9,78.9,2190.0,211.0,3082.6,312.3,277.8,2209.8,3129.6,92.9,57,19.4
0.119272,281.7,66.8,2191.0,198.1,3088.9,317.8,277.1,2210.7,3133.7,92.8,57.1,19.7
0.121272,278.2,62.1,2199.1,188.6,3109.8,314.9,276.4,2211.4,3137.2,92.7,57,20
0.123272,274.8,68.5,2211.4,192.1,3131.9,302.7,275.7,2211.9,3140.1,92.6,57,20.3
0.125272,275.3,77.8,2214.8,193.5,3134.9,287.2,275,2212.1,3142.4,92.6,57.1,20.5
0.127272,277.4,75.7,2207.6,175.9,3129.2,270.5,274.3,2212.1,3144.2,92.5,57.1,20.6
0.129272,277.3,66.0,2197.6,150.4,3125.9,258.9,273.7,2211.9,3145.5,92.4,57.1,20.6
0.131272,274.7,58.1,2190.3,130.9,3122.8,255.7,273.1,2211.6,3146.3,92.4,57.2,20.6
0.133272,271.5,59.7,2191.2,130.2,3109.7,253.7,272.5,2211.1,3146.6,92.3,57.2,20.6
0.135272,270.8,72.1,2201.9,149.3,3092.2,245.9,272,2210.5,3146.6,92.3,57.2,20.7
0.137272,272.7,80.1,2211.0,162.7,3083.6,237.3,271.5,2209.8,3146.2,92.2,57.3,21.1
0.139272,273.7,73.7,2208.3,154.7,3082.7,232.5,271,2208.9,3145.4,92.2,57.3,21.6
0.141272,272.6,62.2,2199.1,135.1,3086.9,233.6,270.6,2208,3144.4,92.2,57.4,22.2
0.143272,270.4,54.9,2191.7,117.3,3099.6,241.1,270.2,2207,3143.1,92.2,57.4,22.7
0.145272,268.7,57.0,2191.9,115.0,3121.9,253.3,269.8,2205.9,3141.6,92.2,57.4,23.2
0.147272,268.6,62.9,2197.9,127.3,3137.8,262.5,269.5,2204.8,3139.9,92.2,57.4,23.6
0.149272,269.3,62.1,2203.5,137.4,3145.4,261.9,269.2,2203.6,3138.2,92.2,57.4,24
0.151272,269.1,54.9,2205.5,136.6,3149.8,253.3,269,2202.5,3136.3,92.2,57.4,24.4
0.153272,268.0,47.8,2206.3,132.7,3151.6,243.8,268.7,2201.3,3134.4,92.2,57.4,24.6
0.155272,266.7,46.0,2212.1,139.5,3148.2,240.4,268.5,2200.1,3132.5,92.2,57.3,24.5
0.157272,266.0,50.9,2224.4,160.2,3143.9,246.1,268.4,2199,3130.7,92.2,57.3,24
0.159272,266.2,54.3,2231.2,173.3,3142.4,252.3,268.2,2197.8,3128.9,92.2,57.3,22.9
0.161272,266.2,50.7,2227.5,165.5,3144.3,246.9,268.1,2196.8,3127.2,92.3,57.2,21.8
0.163272,265.7,44.5,2219.7,147.1,3150.0,234.2,268.1,2195.7,3125.6,92.3,57.2,21
0.165272,265.1,40.8,2211.9,129.8,3157.5,223.5,268,2194.7,3124.2,92.3,57.2,20.7
0.167272,265.4,41.8,2206.3,122.1,3163.7,221.5,268,2193.8,3123,92.4,57.2,21.4
0.169272,266.7,44.4,2202.8,122.6,3169.8,226.2,268,2192.9,3122.1,92.4,57.2,22.7
0.171272,267.3,42.6,2199.6,123.2,3175.5,232.5,268,2192.2,3121.3,92.5,57.3,24.2
0.173272,266.6,37.6,2196.7,121.8,3180.3,239.3,268,2191.4,3120.8,92.5,57.3,25.4
0.175272,265.3,33.7,2197.1,124.2,3181.8,245.7,268,2190.8,3120.6,92.6,57.3,25.9
0.177272,265.0,33.2,2204.0,138.7,3173.6,253.2,268,2190.2,3120.7,92.7,57.2,25.2
0.179272,266.4,35.2,2215.7,163.1,3157.4,260.4,268.1,2189.7,3121.1,92.8,57.2,23.8
0.181272,267.9,35.3,2218.6,172.3,3146.5,260.1,268.1,2189.3,3121.8,92.8,57.2,22.1
0.183272,267.7,31.8,2207.7,160.6,3142.3,260.6,268.2,2188.9,3122.7,92.9,57.3,20.5
0.185272,266.3,27.4,2188.9,137.9,3136.6,272.4,268.2,2188.6,3124,93,57.3,19.3
0.187272,265.6,25.3,2171.3,111.8,3115.8,290.2,268.2,2188.4,3125.7,93.1,57.3,18.7
0.189272,266.9,26.6,2160.1,91.6,3078.5,307.1,268.3,2188.3,3127.6,93.2,57.3,18.3
0.191272,269.0,28.5,2155.2,80.6,3054.1,315.7,268.3,2188.2,3129.8,93.3,57.4,18.1
