time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025338,298.0,30.0,1934.9,133.2,2406.0,226.4,299.2,2009.2,2502.8,98.6,55.8,12
0.027338,297.7,31.3,1946.0,131.8,2413.8,203.6,299.2,2009.7,2504.2,98.7,56.1,12.2
0.029338,298.4,36.1,1960.2,121.5,2427.9,182.7,299.2,2010.6,2506.4,98.7,56.4,13.8
0.031338,299.2,36.5,1968.5,109.9,2444.0,176.0,299.2,2011.7,2509.5,98.8,56.6,16.1
0.033338,299.5,32.5,1973.1,104.6,2465.7,178.9,299.1,2013.3,2513.5,98.8,56.8,18.3
0.035338,299.7,29.7,1977.9,107.8,2497.5,177.0,299.1,2015.1,2518.2,98.9,57,20
0.037338,300.4,32.7,1985.4,122.0,2525.4,164.9,299.1,2017.2,2523.8,98.9,57.2,20.8
0.039338,301.7,39.9,1996.4,137.6,2540.5,153.8,299.1,2019.7,2530.2,99,57.5,20.7
0.041338,302.6,42.2,2007.5,138.0,2546.7,147.1,299,2022.4,2537.2,99,57.7,20.2
0.043338,302.7,38.1,2019.9,129.8,2551.6,145.0,299,2025.4,2545,99,57.9,19.5
0.045338,302.1,32.2,2037.8,122.5,2563.0,153.1,299,2028.7,2553.4,99.1,58.1,18.9
0.047338,300.8,28.9,2060.2,123.0,2586.9,170.7,298.9,2032.2,2562.3,99.1,58.3,18.5
0.049338,299.1,28.3,2080.3,131.6,2613.9,178.6,298.9,2035.9,2571.8,99.1,58.5,18.2
0.051338,297.8,27.7,2089.5,140.1,2626.9,168.0,298.8,2039.8,2581.8,99.1,58.7,17.8
0.053338,297.2,25.6,2092.6,142.5,2631.6,149.9,298.8,2043.9,2592.1,99.1,58.8,17.6
0.055338,296.8,23.2,2094.4,144.0,2634.3,136.2,298.7,2048.1,2602.9,99.1,58.9,17.5
0.057338,296.7,22.4,2095.8,159.6,2639.4,144.8,298.6,2052.5,2613.9,99.1,59,17.7
0.059338,297.0,23.8,2099.9,197.1,2656.2,190.2,298.5,2057,2625.1,99.1,59.1,18.2
0.061338,297.5,25.2,2109.3,215.5,2688.1,235.5,298.4,2061.6,2636.5,99.1,59.2,18.9
0.063338,297.7,24.6,2118.9,195.2,2718.9,235.7,298.3,2066.3,2648,99.1,59.3,19.6
0.065338,297.3,22.6,2123.9,169.2,2732.1,221.3,298.2,2071,2659.5,99.1,59.4,20.2
0.067338,296.9,21.3,2125.0,171.1,2734.0,231.2,298.1,2075.8,2671,99.1,59.5,20.7
0.069338,297.1,22.4,2125.7,215.1,2734.7,254.3,298,2080.5,2682.5,99.1,59.5,21.2
0.071338,297.8,23.4,2123.2,297.3,2731.0,261.6,297.9,2085.3,2693.7,99.1,59.6,21.6
0.073338,298.1,22.7,2117.0,390.9,2724.8,245.7,297.7,2090,2704.8,99.1,59.6,22
0.075338,297.6,21.1,2106.1,455.3,2719.0,224.1,297.6,2094.6,2715.6,99.1,59.6,22.4
0.077338,296.8,20.5,2090.6,452.2,2714.7,224.8,297.4,2099.1,2726.2,99,59.6,22.9
0.079338,296.4,22.0,2082.7,406.8,2716.7,265.5,297.2,2103.6,2736.3,99,59.6,23.4
0.081338,296.7,23.2,2085.8,365.8,2725.9,309.4,297.1,2107.9,2746.1,99,59.6,23.9
0.083338,297.0,22.1,2090.9,332.9,2735.1,327.3,296.9,2112.1,2755.5,99,59.6,24.4
0.085338,296.6,20.0,2097.9,302.9,2745.9,330.4,296.7,2116.2,2764.4,98.9,59.6,24.8
0.087338,295.7,19.6,2108.1,277.3,2766.2,330.2,296.5,2120.1,2772.8,98.9,59.6,25.1
0.089338,294.9,21.4,2117.4,255.1,2787.7,325.2,296.3,2123.8,2780.6,98.9,59.7,25.4
0.091338,294.6,22.4,2121.2,236.2,2794.1,317.5,296.1,2127.3,2788,98.9,59.7,25.6
0.093338,294.5,21.1,2122.9,218.3,2793.1,309.4,295.9,2130.7,2794.8,98.9,59.7,25.8
0.095338,294.2,19.1,2123.3,204.8,2790.9,303.7,295.7,2133.8,2801,98.9,59.8,25.9
0.097338,294.0,18.7,2121.2,204.7,2791.4,305.1,295.4,2136.7,2806.7,98.8,59.8,26.1
